"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"20","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Schaedlerella;NA;","0.573394","1.244168","1.107011","0.921659","0.917431","0.192308","1.204819","1.385041","1.059322","0.696864","0.875657","0.365408","0.751174","0.573614","0.41841","0","0","0"
"21","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;","0.458716","0.777605","0.738007","0.921659","0.764526","1.153846","0.481928","0.277008","0.847458","1.219512","0.175131","0.852619","0.657277","0.382409","1.25523","0.263852","0.340136","0"
"22","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;","0.458716","0.622084","1.107011","1.612903","0.764526","0.769231","0.722892","0.277008","0.847458","0.87108","0.525394","0.730816","0.56338","0.764818","0.209205","1.319261","1.70068","0.487805"
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;NA;","0.458716","0.311042","0.184502","0.230415","0.30581","0.384615","0.240964","0.554017","0.423729","0","0.175131","0.365408","0.469484","0.191205","0.41841","0.527704","0.340136","0"
"24","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;NA;","0.458716","0.311042","0.369004","0.230415","0.458716","0.192308","0.481928","0.831025","0.847458","0.87108","0.700525","0.609013","0.28169","0.191205","0.209205","0.263852","0","8.292684"
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;NA;","0.458716","0.466563","0.184502","0.230415","0.764526","0.769231","1.445783","0.277008","0.211864","0.174216","0.175131","0.609013","0.469484","0","0","0.791557","0.680272","0.487805"
"26","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;NA;","0.458716","0.311042","0.369004","0.691244","0.917431","0.192308","0.240964","0.554017","0.635593","0.522648","0.350263","0.487211","0.187793","0.191205","0","0.263852","0","0"
"27","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA;","0.344037","0.622084","0","0.230415","0.30581","0.192308","0.481928","0.277008","0.211864","0","0","0.243605","0.093897","0.573614","0","0.527704","0","0"
"28","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;","0.344037","0.155521","0","0.115207","0.152905","0","0.722892","0.277008","0.423729","0.174216","0","0.365408","0.469484","0.191205","0","0","0","0"
"29","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;NA;","0.344037","0.311042","0","0","0.152905","0.192308","0.481928","0.554017","0.211864","0.174216","0.175131","0.487211","0","0","0.41841","0","0","0"
"30","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;NA;","0.344037","0.311042","0.184502","0.345622","0.611621","0.192308","0.240964","0.554017","0.423729","0.522648","0.175131","0","0.375587","0","0","0.527704","0.680272","0"
"31","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;NA;","0.344037","0.155521","0.184502","0.115207","0.152905","0.192308","0.240964","0","0","0.174216","0","0.243605","0.187793","0.382409","0","0.263852","0.340136","0"
"32","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;NA;","0.344037","0.622084","0.369004","0.230415","0.152905","0.192308","0.481928","0","0.211864","0.522648","0.175131","0.365408","0.187793","0.382409","0.627615","0","0","0"
"33","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;NA;","0.344037","0.155521","0.184502","0","0.152905","0.384615","0.240964","0","0.211864","0","0","0.365408","0.187793","0.382409","0.41841","0","0","0"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;","0.344037","0.155521","0.369004","0.115207","0.152905","0.192308","0","0","0.423729","0.174216","0.175131","0.121803","0.28169","0.191205","0.41841","0.263852","0","0"
"35","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;NA;","0.344037","0.155521","0","0.115207","0.152905","0.384615","0.240964","0","0.211864","0","0.175131","0.243605","0.187793","0.382409","0","0","0.340136","0"
"36","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Natranaerovirga;NA;","0.344037","0","0","0","0.152905","0","0.240964","0","0.211864","0.174216","0","0.121803","0.093897","0","0","0.263852","0.340136","0"
"37","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cuneatibacter;NA;","0.344037","0.155521","0.184502","0.115207","0.611621","0.192308","0.481928","0","0","0.174216","0.175131","0.121803","0.375587","0","0","0","0","0"
"38","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;NA;","0.229358","0","0","0","0","0","0.240964","0","0.211864","0","0.175131","0.243605","0.093897","0","0","0","0","0"
"39","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;NA;","0.229358","0","0","0","0","0","0.481928","0","0","0","0","0.121803","0","0","0","0","0","0"
"40","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA;","0.229358","0.155521","0.369004","0.345622","0","0.576923","0","0.277008","0.211864","0.348432","0.175131","0.121803","0.093897","0.191205","0","0","0","0"
"41","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;NA;","0.229358","0.155521","0","0","0.30581","0","0","0","0","0.174216","0","0.121803","0.093897","0","0.209205","0","0","0"
"43","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;","0.229358","0.155521","0.184502","0.691244","0.611621","0.192308","0.722892","0.831025","0.211864","1.045296","0.350263","0.243605","0.187793","0.573614","0.627615","0.527704","0.680272","0.487805"
"44","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;","0.229358","0.311042","0","0.115207","0.152905","0","0","0.277008","0.635593","0.348432","0","0.121803","0.375587","0.191205","0","0.263852","1.020408","0.97561"
"45","Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;NA;","0.229358","0.311042","0","0.115207","0","0","0","0","0","0.174216","0","0","0.28169","0","0","0","0","0"
"46","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;NA;","0.229358","0","0.369004","0","0.152905","0","0.240964","0.277008","0","0.174216","0.525394","0.121803","0.093897","0","0","0.263852","0.340136","0.487805"
"47","Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Pseudoclostridium;NA;","0.229358","0.155521","0","0.115207","0","0","0","0","0","0","0","0.121803","0","0.191205","0","0","0","0"
"48","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;NA;","0.229358","0.311042","0.369004","0.115207","0.764526","0.192308","0","0","0.211864","0.174216","0.525394","0.243605","0.375587","0.573614","0.41841","0.263852","0","0.487805"
"49","Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon;NA;","0.114679","0","0.184502","0","0","0.192308","0","0","0","0","0.175131","0","0.093897","0","0","0","0","0"
"50","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;NA;","0.114679","0.155521","0.184502","0","0.30581","0.384615","0","0","0.423729","0","0.175131","0.121803","0.093897","0","0.41841","0","1.020408","0.487805"
"51","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;NA;","0.114679","0","0.184502","0","0.152905","0.192308","0","0","0","0","0.175131","0.121803","0","0","0","0","0","0"
"52","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA;","0.114679","0","0","0","0.152905","0","0","0","0","0","0.175131","0","0.093897","0.382409","0","0.263852","0","0"
"53","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;","0.114679","0.466563","0.553506","0.460829","0.152905","0.384615","0.240964","0.277008","0.211864","0.87108","0.525394","0.487211","0.375587","0.191205","0.209205","0","0.680272","0"
"54","Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;NA;","0.114679","0","0","0.115207","0","0","0.481928","0","0.211864","0.174216","0.175131","0","0.093897","0.191205","0.209205","0","0.340136","0"
"55","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;NA;","0.114679","0.155521","0","0","0","0","0","0","0","0.348432","0.175131","0.365408","0.28169","0.382409","0","0","0","0"
"58","Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;NA;","0.114679","1.244168","0.553506","0.230415","0","0.384615","0","0","0.211864","0.174216","0.175131","0.121803","0.657277","0.573614","0.41841","0.263852","0.340136","0"
"60","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Microlunatus;NA;","0.114679","0","0","0","0","0","0","0","0","0","0.175131","0.121803","0","0","0","0","0","0"
"61","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;NA;","0.114679","0","0.184502","0.230415","0.152905","0","0.240964","0.277008","0","0.174216","0.350263","0.121803","0.093897","0","0.209205","0","0.340136","0.487805"
"62","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;NA;","0.114679","0","0.184502","0","0.152905","0","0.240964","0","0","0.174216","0","0","0.187793","0","0","0.263852","0","0.487805"
"63","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;NA;","0.114679","0","0","0.115207","0","0","0","0","0","0","0.175131","0","0","0.191205","0.209205","0","0","0"
"65","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;NA;","0.114679","0.155521","0","0","0","0","0","0","0.211864","0","0.175131","0.243605","0.093897","0","0.209205","0","0","0"
"66","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;NA;","0.114679","0","0","0","0","0","0","0","0","0","0","0","0.187793","0","0","0.263852","0","0"
"67","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;NA;","0.114679","0","0","0","0","0.192308","0","0","0","0","0.175131","0","0","0","0","0","0","0"
"68","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;NA;","0.114679","0","0","0.115207","0","0","0.240964","0","0.211864","0","0","0","0","0","0.209205","0","0","0"
"70","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA;","0.114679","0.155521","0","0.115207","0.152905","0","0","0","0","0","0.175131","0.121803","0.093897","0.191205","0.209205","0","0.340136","0"
"71","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;NA;","0.114679","0","0.184502","0","0","0","0","0","0","0","0","0.121803","0","0","0","0","0","0"
"72","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter;NA;","0.114679","0","0.184502","0.115207","0.152905","0","0","0","0.423729","0","0","0","0.093897","0","0.209205","0.263852","0.340136","0"
"73","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;NA;","0.114679","0","0","0","0","0.192308","0","0","0","0","0","0","0","0","0.209205","0","0","0"
"74","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;NA;","0.114679","0","0","0","0","0","0.240964","0","0.423729","0","0","0.243605","0","0","0.209205","0","0","0"
"75","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;NA;","0.114679","0","0","0","0","0","0","0.277008","0.211864","0.174216","0","0.121803","0.093897","0","0","0","0.340136","0"
"76","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;NA;","0.114679","0.466563","0","0.115207","0.152905","0.384615","0.240964","0.554017","0.211864","0.522648","0","0.243605","0.469484","0.382409","0","0.263852","0","0.487805"
"77","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;","0.114679","0.155521","0","0.115207","0","0","0","0.277008","0","0","0.175131","0.121803","0","0","0","0","0","0"
"79","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Geofilum;NA;","0.114679","0.155521","0.184502","0.115207","0","0","0.240964","0","0.211864","0.174216","0","0","0","0.191205","0.209205","0.527704","0","0"
"80","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Intestinimonas;NA;","0.114679","0","0.184502","0","0","0","0.481928","0","0","0","0","0.121803","0.093897","0","0","0.527704","0.340136","0.487805"
"81","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;","0.114679","0.155521","0.738007","0.230415","0.30581","0.192308","0.240964","0.277008","0","0.174216","0.175131","0.243605","0.28169","0.191205","0","0","0","0"
"83","Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Ruminiclostridium;NA;","0.114679","0.466563","0.184502","0.115207","0.152905","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mangrovibacterium;NA;","0.114679","0","0.184502","0","0","0","0","0","0.211864","0","0","0","0.093897","0","0","0","0","0"
"85","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Herbinix;NA;","0.114679","0","0.184502","0","0","0","0.722892","0","0","0.522648","0","0","0.093897","0.382409","0.209205","0.263852","0.340136","0"
"87","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;NA;","0.114679","0","0","0","0","0","0.240964","0","0.423729","0","0","0.121803","0","0","0","0","0","0"
"88","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;NA;","0.114679","0","0","0.115207","0.458716","0.192308","0","0","0.211864","0.174216","0","0.121803","0.187793","0","0.41841","0.263852","0","0"
"89","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;NA;","0.114679","0","0","0.115207","0","0","0","0","0","0","0","0","0","0","0","0.263852","0","0"
"92","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;NA;","0.114679","0","0","0.115207","0.152905","0.192308","0","0.277008","0","0.174216","0.175131","0","0.093897","0","0.209205","0.263852","0.340136","0"
"93","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Monoglobus;NA;","0.114679","0","0","0","0","0","0","0","0","0","0","0.121803","0.093897","0","0.209205","0","0","0"
"96","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;NA;","0.114679","0.466563","0.184502","0.460829","0.30581","0","0.240964","0.831025","0.211864","0","0.175131","0.121803","0.187793","0.191205","0","0","0","0"
"100","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;NA;","0","1.088647","0.369004","0.691244","0.458716","0","1.204819","3.047091","0.211864","0.87108","0.525394","0.365408","0.375587","0.191205","0.627615","2.110818","3.741496","4.878048"
"101","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Colidextribacter;NA;","0","0.466563","0","0","0.152905","0","0.240964","0.277008","0","0","0","0.243605","0.093897","0","0.209205","0","0","0"
"102","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;NA;","0","0.311042","0","0.115207","0","0","0","0","0","0","0","0.121803","0","0","0","0.263852","0","0"
"103","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;NA;","0","0.155521","0","0.115207","0.152905","0","0","0","0","0","0","0.243605","0.187793","0","0.209205","0.263852","0.340136","0"
"104","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;NA;","0","0.155521","0.184502","0","0.152905","0.192308","0","0.277008","0.211864","0.174216","0.175131","0.121803","0.187793","0","0","0.263852","0.340136","0.487805"
"105","Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;NA;","0","0.155521","0","0.115207","0","0","0","0","0","0","0.175131","0.121803","0.093897","0","0","0","0","0"
"106","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;NA;","0","0.155521","0.184502","0","0","0","0","0","0","0.174216","0","0","0.093897","0","0","0","0","0"
"107","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;NA;","0","0.155521","0.184502","0","0","0","0","0","0.211864","0","0","0","0","0","0","0","0","0"
"109","Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;NA;","0","0.155521","0.184502","0.115207","0.152905","0.192308","0","0","0.211864","0.348432","0","0","0","0.191205","0.41841","0","0","0.487805"
"110","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;NA;","0","0.155521","0","0","0.152905","0","0.240964","0","0","0","0.175131","0.121803","0.093897","0.191205","0","0","0","0"
"111","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Prolixibacter;NA;","0","0.155521","0","0","0","0","0","0","0","0.174216","0.175131","0","0.093897","0.191205","0","0.263852","0.340136","0"
"114","Bacteria;NA;NA;Haloplasmatales;Haloplasmataceae;Haloplasma;NA;","0","0.155521","0.184502","0.115207","0","0","0","0","0","0.174216","0","0.121803","0","0","0","0","0","0"
"115","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum;NA;","0","0.155521","0.369004","0","0","0","0","0","0","0","0.175131","0.121803","0.093897","0","0","0","0.340136","0"
"116","Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitalea;NA;","0","0.155521","0","0.115207","0.152905","0","0","0.277008","0.211864","0","0","0","0.093897","0","0","0","0","0"
"117","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;NA;","0","0.155521","0","0","0","0","0","0","0","0","0","0","0.093897","0.191205","0","0","0","0"
"118","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;NA;","0","0.155521","0","0.345622","0","0","0.240964","0","0","0","0","0.121803","0.187793","0.191205","0","0","0","0"
"119","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerobium;NA;","0","0.155521","0.184502","0.230415","0.152905","0","0","0","0","0","0.350263","0.365408","0.375587","0","0","0.263852","0","0"
"120","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;","0","0.155521","0.184502","0.115207","0.152905","0","0","0","0","0","0.175131","0","0","0.191205","0.209205","0","0","0"
"121","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Mediterranea;NA;","0","0.155521","0","0","0","0","0","0","0.211864","0","0.175131","0","0","0","0","0","0","0"
"122","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Intestinibacillus;NA;","0","0.155521","0","0","0","0.192308","0","0","0","0","0.175131","0.243605","0","0.191205","0","0","0","0"
"124","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Schaalia;NA;","0","0.155521","0","0.230415","0.458716","0.192308","0","0.277008","0","0","0.175131","0.121803","0.093897","0.191205","0","0","0","0"
"125","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;NA;","0","0","0.369004","0.115207","0.152905","0","0.240964","0","0","0","0.175131","0.121803","0","0.191205","0","0","0","0"
"126","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;NA;","0","0","0.184502","0","0","0","0","0","0","0","0","0","0","0","0","0.263852","0","0.487805"
"127","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;NA;","0","0","0.184502","0.115207","0.152905","0.192308","0","0","0","0","0","0.121803","0.093897","0.191205","0.209205","0","0","0"
"128","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Propionispora;NA;","0","0","0.184502","0.115207","0.152905","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Isoptericola;NA;","0","0","0.184502","0.230415","0","0","0","0","0","0","0","0","0","0.191205","0.209205","0.263852","0","0"
"132","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA;","0","0","0.184502","0.115207","0.152905","0.192308","0","0","0","0.174216","0","0","0","0","0","0","0","0"
"134","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Candidatus Stoquefichus;NA;","0","0","0.184502","0","0","0","0","0.277008","0.211864","0","0","0","0","0.191205","0","0","0","0"
"135","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus Soleaferrea;NA;","0","0","0.184502","0.115207","0.152905","0","0","0.277008","0.211864","0","0","0","0","0","0","0","0.340136","0"
"138","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pararcticibacter;NA;","0","0","0.184502","0","0","0.192308","0","0","0","0.174216","0","0","0.093897","0","0.209205","0","0.340136","0"
"141","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Marinilabilia;NA;","0","0","0","0.115207","0.152905","0","0","0","0","0","0.175131","0","0.093897","0","0.209205","0","0.340136","0"
