"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"53","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus typhae;","0","1.587302","0","1.020408","0","0","0","0","1.538462","0.970874","0","0","0","0","0","0","0","0"
"54","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. CAG:268;","0","1.587302","1.538462","1.020408","0","0","0","0","1.538462","0.970874","1.075269","0","0.729927","0","0","0","0","0"
"55","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Niameybacter;Niameybacter massiliensis;","0","1.587302","0","0","0","0","0","0","1.538462","0.970874","0","0","0","1.639344","0","0","0","0"
"56","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium 41_12_two_minus;","0","1.587302","0","0","0","0","0","0","0","1.941748","0","0","0.729927","0","0","0","0","0"
"61","Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-87;","0","1.587302","0","0","0","0","0","0","0","0.970874","3.225806","1.282051","1.459854","1.639344","0","0","0","0"
"64","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium;","0","0","3.076923","0","2.564103","1.818182","0","0","1.538462","0","0","1.282051","0","1.639344","0","2.857143","0","3.125"
"67","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides heparinolyticus;","0","0","1.538462","0","2.564103","0","0","0","0","0.970874","0","0","0","0","0","2.857143","0","3.125"
"68","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium ruminantium;","0","0","1.538462","1.020408","0","1.818182","0","0","1.538462","0","0","0","2.189781","0","0","0","0","0"
"69","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis;","0","0","1.538462","2.040816","2.564103","0","2.083333","0","3.076923","0","1.075269","0","1.459854","1.639344","0","0","0","0"
"70","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus sp. CAG:528;","0","0","1.538462","0","0","0","0","0","1.538462","0","0","1.282051","0","0","0","0","0","0"
"72","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium sp. CAG:180;","0","0","1.538462","1.020408","0","0","0","0","1.538462","0","0","1.282051","0","0","0","0","0","0"
"74","Bacteria;NA;NA;NA;NA;NA;bacterium;","0","0","1.538462","1.020408","0","0","0","0","0","0","0","0","0","1.639344","0","0","0","0"
"76","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. 224;","0","0","1.538462","0","0","0","0","0","0","0.970874","0","0","0","0","0","2.857143","4.761905","0"
"77","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae;Labilibaculum;Labilibaculum sp. A4;","0","0","1.538462","0","0","1.818182","2.083333","0","1.538462","0","0","0","0.729927","0","0","0","0","0"
"78","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;","0","0","0","2.040816","1.282051","7.272727","0","2.564103","0","2.912621","0","1.282051","1.459854","1.639344","4.166667","0","9.523809","3.125"
"81","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta;","0","0","0","1.020408","0","0","0","0","0","0","0","0","0","0","0","2.857143","4.761905","0"
"82","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens;","0","0","0","1.020408","0","0","0","0","0","0","0","2.564103","0","0","4.166667","0","0","0"
"93","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium;","0","0","0","0","2.564103","0","2.083333","0","0","0","0","0","0","0","0","2.857143","0","0"
"97","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. CAG:303;","0","0","0","0","1.282051","0","2.083333","2.564103","1.538462","0.970874","1.075269","1.282051","0","0","2.083333","0","0","3.125"
