OTU,Genus,Mean,SD,SE
Otu0056,Lachnospiraceae_unclassified,0.008642824,0.008654285,0.004996554
Otu0058,Prevotella_1,1.529300566,1.853486694,1.070111042
Otu0062,Lachnospiraceae_unclassified,0.005769508,0.009993081,0.005769508
Otu0064,Prevotellaceae_Ga6A1_group,0.025962787,0.044968866,0.025962787
Otu0066,Escherichia-Shigella,0.008610163,0.008588199,0.004958399
Otu0068,WCHB1-41_ge,0.002873316,0.004976728,0.002873316
Otu0070,Alistipes,0.002884754,0.004996541,0.002884754
Otu0071,Alistipes,0.011450819,0.0198334,0.011450819
Otu0073,Clostridiales_vadinBB60_group_ge,0.011539016,0.019986162,0.011539016
Otu0076,Prevotella_1,3.377588553,3.36777269,1.944384469
Otu0079,Muribaculaceae_ge,0.008610163,0.008588199,0.004958399
Otu0081,uncultured_ge,0.005769508,0.009993081,0.005769508
Otu0083,Muribaculaceae_ge,0.002884754,0.004996541,0.002884754
Otu0087,Bacteroidales_unclassified,0.002862705,0.00495835,0.002862705
Otu0088,Christensenellaceae_R-7_group,0.120983276,0.153931115,0.088872171
Otu0089,Alloprevotella,0.031732295,0.054961947,0.031732295
Otu0091,uncultured,0.005769508,0.009993081,0.005769508
Otu0092,Prevotella_1,0.074744658,0.034887313,0.020142199
Otu0095,Prevotellaceae_UCG-001,2.436582998,4.212792962,2.43225715
Otu0096,Lachnospiraceae_unclassified,0.002873316,0.004976728,0.002873316
Otu0099,Lachnospiraceae_unclassified,0.002884754,0.004996541,0.002884754
Otu0100,Muribaculaceae_unclassified,0.023055983,0.032779087,0.018925015
Otu0102,Muribaculaceae_ge,0.002884754,0.004996541,0.002884754
Otu0103,Bacteroidales_unclassified,0.002862705,0.00495835,0.002862705
Otu0104,Akkermansia,0.008631385,0.008619969,0.004976742
Otu0106,Alistipes,0.011539016,0.019986162,0.011539016
Otu0107,Selenomonas,0.017251332,0.022799758,0.013163446
Otu0108,Alistipes,0.002884754,0.004996541,0.002884754
Otu0112,uncultured,0.830938661,0.322020024,0.185918348
Otu0118,Lachnospiraceae_unclassified,0.002884754,0.004996541,0.002884754
Otu0129,Lachnospiraceae_NK3A20_group,1.048816679,1.592602955,0.919489745
Otu0131,Succiniclasticum,1.069717941,0.617186447,0.356332761
Otu0132,Muribaculaceae_ge,0.002884754,0.004996541,0.002884754
Otu0133,Lachnoclostridium_10,0.002862705,0.00495835,0.002862705
Otu0134,Lachnospiraceae_unclassified,0.008632213,0.008654346,0.004996589
Otu0136,Lachnospiraceae_unclassified,0.014412332,0.018020788,0.010404307
Otu0138,Muribaculaceae_ge,0.049040819,0.084941191,0.049040819
Otu0139,Ruminococcus_1,0.005769508,0.009993081,0.005769508
Otu0140,Muribaculaceae_ge,0.005747459,0.004977555,0.002873793
Otu0141,Ruminococcaceae_NK4A214_group,1.694259784,0.930222023,0.537063936
Otu0142,Ruminococcaceae_UCG-014,0.002884754,0.004996541,0.002884754
Otu0143,Phascolarctobacterium,0.002884754,0.004996541,0.002884754
Otu0144,Erysipelotrichaceae_UCG-004,0.005746631,0.009953457,0.005746631
Otu0145,Lachnospiraceae_NK3A20_group,1.126101877,1.075853543,0.621144332
Otu0147,Prevotella_1,0.840675977,0.623943731,0.360234081
Otu0155,Lachnospiraceae_unclassified,0.002884754,0.004996541,0.002884754
Otu0156,Muribaculaceae_ge,0.002862705,0.00495835,0.002862705
Otu0158,Clostridiales_vadinBB60_group_ge,0.002873316,0.004976728,0.002873316
Otu0162,Ruminococcaceae_unclassified,0.008588114,0.01487505,0.008588114
Otu0168,Ruminococcaceae_UCG-014,0.011493262,0.019906914,0.011493262
Otu0174,Ruminococcaceae_UCG-005,0.020171229,0.027833302,0.016069564
Otu0180,Prevotella_1,1.160491052,0.169068266,0.097611609
Otu0181,Olsenella,0.005746631,0.009953457,0.005746631
Otu0182,Anaeroplasma,0.002884754,0.004996541,0.002884754
Otu0186,Treponema_2,0.465345944,0.392818868,0.226794079
Otu0194,Ruminococcaceae_UCG-014,0.40804128,0.355846067,0.205447822
Otu0201,Butyricimonas,0.002884754,0.004996541,0.002884754
Otu0202,Coprococcus_2,0.011539016,0.019986162,0.011539016
Otu0204,Ruminococcaceae_unclassified,0.011516967,0.013226874,0.00763654
Otu0210,Muribaculaceae_ge,0.002884754,0.004996541,0.002884754
Otu0212,Prevotella_1,0.221566552,0.124816279,0.072062713
Otu0214,Muribaculaceae_ge,0.002884754,0.004996541,0.002884754
Otu0219,Prevotella_1,0.622981858,0.233436598,0.134774683
Otu0220,Sharpea,0.022997963,0.032627043,0.018837232
Otu0221,Bifidobacterium,0.022986524,0.039813828,0.022986524
Otu0222,Prevotella_1,0.534936442,0.220720423,0.127432996
Otu0227,Gastranaerophilales_ge,0.014335573,0.017867031,0.010315535
Otu0231,Prevotella_1,0.939793152,0.732845404,0.423108491
Otu0238,Lachnospiraceae_NK3A20_group,0.988445483,1.302451815,0.751970906
Otu0243,Gastranaerophilales_ge,0.011539016,0.019986162,0.011539016
Otu0248,Lachnospiraceae_ge,0.008619947,0.014930185,0.008619947
Otu0249,Ruminococcaceae_NK4A214_group,0.002873316,0.004976728,0.002873316
Otu0251,Gastranaerophilales_ge,0.017241549,6.62E-05,3.82E-05
Otu0254,Succinivibrionaceae_UCG-002,1.2922808,2.20105737,1.270781065
Otu0256,Mogibacterium,0.680760998,0.133674437,0.077176972
Otu0261,Prevotella_7,0.002873316,0.004976728,0.002873316
Otu0263,Prevotellaceae_UCG-001,0.443623984,0.465170798,0.268566485
Otu0269,Prevotella_1,0.35075287,0.434868331,0.251071348
Otu0271,Muribaculaceae_ge,1.21828578,2.110132869,1.21828578
Otu0275,Ruminobacter,1.158219057,1.465415381,0.846057965
Otu0276,Butyrivibrio_2,0.964844245,0.815513357,0.470836856
Otu0285,Acidaminococcus,0.002873316,0.004976728,0.002873316
Otu0287,Ruminococcus_1,0.01147204,0.009935129,0.00573605
Otu0289,Gastranaerophilales_ge,0.028627047,0.0495835,0.028627047
Otu0290,Prevotella_1,0.339634598,0.301909336,0.174307436
Otu0291,Fibrobacter,0.456264237,0.352068091,0.203266607
Otu0293,Prevotellaceae_UCG-003,0.103634642,0.082442194,0.047598023
Otu0297,Lactobacillus,0.014401721,0.018025913,0.010407266
Otu0301,Muribaculaceae_ge,0.005747459,0.004977555,0.002873793
Otu0303,Megasphaera,0.020124647,0.027702141,0.015993838
Otu0304,Prevotella_1,0.530484377,0.449240172,0.259368934
Otu0306,Saccharofermentans,0.389745798,0.433595782,0.250336641
Otu0309,Lachnospiraceae_unclassified,0.008654262,0.014989622,0.008654262
Otu0316,Ruminococcaceae_unclassified,0.040237856,0.062349535,0.035997521
Otu0330,Ruminococcaceae_NK4A214_group,0.195728761,0.153298352,0.088506845
Otu0332,Prevotellaceae_UCG-001,0.353003308,0.217987252,0.125854999
Otu0334,Christensenellaceae_R-7_group,0.531569085,0.177710589,0.102601256
Otu0335,Prevotella_1,0.017239893,0.029860371,0.017239893
Otu0336,Lachnospiraceae_XPB1014_group,0.738698094,0.362545696,0.209315855
Otu0343,Ruminococcaceae_ge,0.002862705,0.00495835,0.002862705
Otu0346,Family_XIII_AD3011_group,0.465499612,0.201559918,0.116370673
Otu0349,Muribaculaceae_ge,0.123479947,0.135311986,0.078122412
Otu0350,Lachnospiraceae_ge,0.089082714,0.024895408,0.014373371
Otu0351,Gastranaerophilales_ge,0.014378016,0.017938365,0.01035672
Otu0355,Streptococcus,0.017220327,0.017176398,0.009916798
Otu0356,Lachnospiraceae_unclassified,0.002873316,0.004976728,0.002873316
Otu0357,Olsenella,0.020113209,0.034837099,0.020113209
Otu0358,Succinivibrionaceae_unclassified,0.002873316,0.004976728,0.002873316
Otu0360,Prevotellaceae_UCG-003,0.616818797,0.894832268,0.516631651
Otu0361,Prevotella_1,0.234741784,0.406584697,0.234741784
Otu0363,Christensenellaceae_R-7_group,0.111807128,0.10714022,0.061857435
Otu0364,Rikenellaceae_RC9_gut_group,0.55146549,0.399482078,0.230641086
Otu0366,Prevotella_1,0.674966305,1.146835713,0.662125908
Otu0370,Lachnospiraceae_unclassified,0.146425683,0.121570336,0.070188666
Otu0375,Prevotella_9,0.014412332,0.018020788,0.010404307
Otu0376,Gastranaerophilales_ge,0.005769508,0.009993081,0.005769508
Otu0381,Ruminococcus_2,0.258883004,0.150568615,0.08693083
Otu0384,Lachnospiraceae_ge,0.73305566,1.144094745,0.660543409
Otu0385,Lachnospiraceae_unclassified,0.028779737,0.018030501,0.010409914
Otu0388,Prevotellaceae_NK3B31_group,0.53914032,0.831868159,0.480279305
Otu0389,Prevotella_1,0.31695127,0.358839265,0.207175946
Otu0395,Selenomonas_1,0.232784461,0.172183066,0.099409939
Otu0410,Prevotellaceae_UCG-003,0.39906967,0.160190179,0.092485843
Otu0413,Erysipelotrichaceae_UCG-004,0.023078033,0.039972325,0.023078033
Otu0417,Prevotellaceae_UCG-003,0.741321347,0.977928743,0.564607423
Otu0418,Prevotella_1,0.370267205,0.317930206,0.18355709
Otu0421,Ruminococcaceae_UCG-014,0.031654708,0.026476024,0.015285939
Otu0423,Christensenellaceae_R-7_group,0.578772654,0.82719083,0.477578848
Otu0425,Erysipelotrichaceae_UCG-004,0.097452817,0.125060038,0.072203447
Otu0429,p-251-o5_ge,0.229786149,0.236449603,0.136514242
Otu0431,Prevotellaceae_UCG-003,0.043193724,0.045844619,0.026468403
Otu0436,Veillonellaceae_UCG-001,0.290521307,0.118583324,0.068464114
Otu0440,Prevotella_1,0.391896177,0.53561006,0.309234613
Otu0442,Intestinimonas,0.002884754,0.004996541,0.002884754
Otu0443,Prevotella_1,0.545130323,0.914604614,0.52804722
Otu0444,Succiniclasticum,0.374754943,0.487580741,0.281504872
Otu0445,Saccharofermentans,0.321312778,0.20575587,0.118793207
Otu0448,Lachnospiraceae_XPB1014_group,0.546708368,0.462437732,0.266988549
Otu0449,Succiniclasticum,0.310663187,0.171052151,0.098757006
Otu0450,Gastranaerophilales_ge,0.005747459,0.004977555,0.002873793
Otu0451,Clostridiales_unclassified,0.002884754,0.004996541,0.002884754
Otu0452,Fibrobacter,0.149066388,0.154486017,0.089192544
Otu0457,Ruminococcaceae_ge,0.373498656,0.237322165,0.137018016
Otu0459,Roseburia,0.002862705,0.00495835,0.002862705
Otu0463,Butyrivibrio_2,0.436433233,0.237226665,0.136962879
Otu0466,Mollicutes_RF39_ge,0.020171229,0.027833302,0.016069564
Otu0469,Ruminococcaceae_ge,0.011450819,0.0198334,0.011450819
Otu0473,Acinetobacter,0.002884754,0.004996541,0.002884754
Otu0475,Muribaculaceae_ge,0.157830069,0.101416539,0.058552866
Otu0477,Veillonellaceae_UCG-001,0.094940419,0.052851548,0.030513855
Otu0479,Prevotella_1,0.315302532,0.383020647,0.221137073
Otu0480,Rikenellaceae_RC9_gut_group,0.541457857,0.790354524,0.456311397
Otu0481,Prevotella_1,0.129315603,0.126973045,0.073307922
Otu0482,Rikenellaceae_RC9_gut_group,0.295808063,0.133324055,0.076974679
Otu0489,DNF00809,0.12646682,0.078233356,0.045168049
Otu0490,Bacteroidales_BS11_gut_group_ge,0.532749713,0.827231869,0.477602542
Otu0498,Prevotella_1,0.215361551,0.267284254,0.154316636
Otu0499,Firmicutes_unclassified,0.002884754,0.004996541,0.002884754
Otu0500,F082_ge,0.352355219,0.529995935,0.305993296
Otu0503,Ruminococcaceae_UCG-014,0.002884754,0.004996541,0.002884754
Otu0505,Bacteria_unclassified,0.002873316,0.004976728,0.002873316
Otu0506,Ruminococcus_1,0.011527578,0.013223362,0.007634512
Otu0507,Succiniclasticum,0.132135037,0.110828612,0.063986929
Otu0512,Muribaculaceae_ge,0.289186227,0.464060407,0.267925401
Otu0513,Muribaculaceae_ge,0.152275112,0.256346673,0.14800182
Otu0515,Atopobium,0.281827763,0.121283224,0.070022902
Otu0526,Acetitomaculum,0.103425586,0.031001382,0.017898656
Otu0528,Christensenellaceae_R-7_group,0.419637489,0.311568691,0.179884268
Otu0531,Lachnospiraceae_unclassified,0.146584846,0.224581136,0.129661979
Otu0533,Prevotellaceae_UCG-001,0.109143546,0.160215435,0.092500425
Otu0534,Bacteroidales_RF16_group_ge,0.395914529,0.250409217,0.144573829
Otu0539,Alistipes,0.080773114,0.139903137,0.080773114
Otu0540,Prevotellaceae_NK3B31_group,0.418267291,0.717035533,0.413980658
Otu0542,Pseudoscardovia,0.002873316,0.004976728,0.002873316
Otu0544,Prevotella_7,0.002873316,0.004976728,0.002873316
Otu0548,Spirochaetaceae_unclassified,0.267251153,0.268867315,0.155230617
Otu0550,Prevotella_1,0.201049154,0.150247242,0.086745285
Otu0551,Prevotella_1,0.066177765,0.06470376,0.037356733
Otu0553,Ruminococcaceae_UCG-014,0.002862705,0.00495835,0.002862705
Otu0557,Lachnospiraceae_unclassified,0.002884754,0.004996541,0.002884754
Otu0559,Pseudobutyrivibrio,0.240915481,0.232179691,0.134049007
Otu0561,Prevotellaceae_UCG-004,0.169441706,0.041999054,0.024248165
Otu0562,Megasphaera,0.002873316,0.004976728,0.002873316
Otu0568,Prevotella_1,0.434589766,0.289896631,0.167371898
Otu0575,Christensenellaceae_R-7_group,0.266964511,0.288019423,0.166288091
Otu0576,uncultured_ge,0.384818006,0.229837314,0.132696635
Otu0578,Prevotella_1,0.002873316,0.004976728,0.002873316
Otu0579,Oribacterium,0.048952622,0.057656226,0.033287838
Otu0581,Prevotellaceae_UCG-001,0.028769954,0.021808705,0.012591262
Otu0585,Muribaculaceae_ge,0.100745071,0.097372893,0.056218266
Otu0586,Prevotellaceae_unclassified,0.140815338,0.229073232,0.132255492
Otu0589,Christensenellaceae_R-7_group,0.287446915,0.210168187,0.121340659
Otu0590,Acetitomaculum,0.312817828,0.175790813,0.101492873
Otu0593,Ruminococcus_2,0.19265038,0.055279049,0.031915374
Otu0596,Bacteroidales_UCG-001_ge,0.322097751,0.253292481,0.146238482
Otu0598,probable_genus_10,0.209907505,0.076052789,0.043909098
Otu0599,Lachnospiraceae_XPB1014_group,0.351873849,0.587292111,0.339073258
Otu0602,Prevotellaceae_UCG-004,0.071832888,0.124418212,0.071832888
Otu0604,Schwartzia,0.106315157,0.139346282,0.080451613
Otu0605,Lachnospiraceae_NK3A20_group,0.071774189,0.027416729,0.015829056
Otu0607,Ruminococcaceae_NK4A214_group,0.264425098,0.406663653,0.234787369
Otu0608,F082_ge,0.31893885,0.537485958,0.310317663
Otu0614,Prevotella_1,0.157745861,0.13669412,0.078920387
Otu0617,Prevotellaceae_unclassified,0.0717921,0.066955876,0.038656993
Otu0621,Prevotella_1,0.337009091,0.424308079,0.244974383
Otu0625,Prevotellaceae_UCG-003,0.346541612,0.548600841,0.316734843
Otu0629,Prevotella_1,0.155257168,0.096053558,0.055456548
Otu0632,Prevotellaceae_YAB2003_group,0.112027622,0.034211712,0.019752141
Otu0637,Eggerthellaceae_unclassified,0.238992773,0.267835387,0.154634833
Otu0647,Elusimicrobium,0.002873316,0.004976728,0.002873316
Otu0648,F082_ge,0.316240873,0.249804121,0.144224476
Otu0651,Staphylococcus,0.002873316,0.004976728,0.002873316
Otu0654,Bacteria_unclassified,0.005769508,0.009993081,0.005769508
Otu0656,uncultured_ge,0.103618386,0.093736001,0.054118506
Otu0659,Family_XIII_unclassified,0.094843945,0.119738209,0.069130887
Otu0662,Prevotellaceae_unclassified,0.063286539,0.036149437,0.020870887
Otu0664,Prevotella_1,0.367795825,0.629561116,0.36347728
Otu0665,Rikenellaceae_RC9_gut_group,0.261590535,0.105842915,0.061108435
Otu0668,Prevotella_1,0.28791424,0.227862813,0.131556657
Otu0669,Fibrobacter,0.051714035,0.008510505,0.004913542
Otu0670,Gastranaerophilales_ge,0.005725409,0.0099167,0.005725409
Otu0671,Rikenellaceae_RC9_gut_group,0.227031507,0.122085906,0.070486331
Otu0672,Treponema_2,0.037310658,0.038874267,0.022444069
Otu0675,Prevotella_1,0.267139251,0.30061491,0.173560099
Otu0676,Prevotella_1,0.229810153,0.201765294,0.116489247
Otu0677,Spirochaetaceae_unclassified,0.278217862,0.206100365,0.118992101
Otu0678,WCHB1-41_ge,0.220985818,0.141396223,0.081635148
Otu0679,Prevotellaceae_NK3B31_group,0.068846164,0.052113229,0.030087587
Otu0680,Prevotella_1,0.068955583,0.008480131,0.004896006
Otu0681,Prevotella_1,0.226846157,0.172949558,0.099852474
Otu0682,Prevotella_1,0.275392934,0.303734266,0.17536106
Otu0687,Muribaculaceae_ge,0.022901637,0.0396668,0.022901637
Otu0689,Burkholderia-Caballeronia-Paraburkholderia,0.005725409,0.0099167,0.005725409
Otu0696,Prevotella_1,0.09191923,0.048973195,0.028274687
Otu0698,U29-B03,0.089122674,0.052705035,0.030429266
Otu0704,Ruminiclostridium_6,0.002884754,0.004996541,0.002884754
Otu0707,Ruminococcus_1,0.008588114,0.01487505,0.008588114
Otu0711,Alysiella,0.002873316,0.004976728,0.002873316
Otu0713,Prevotellaceae_UCG-003,0.301142377,0.227459277,0.131323675
Otu0717,Acetitomaculum,0.252622765,0.227956939,0.131611
Otu0720,Prevotellaceae_UCG-003,0.148913698,0.221650701,0.127970092
Otu0723,uncultured_ge,0.017239893,0.029860371,0.017239893
Otu0725,Saccharofermentans,0.080739626,0.124942518,0.072135596
Otu0727,Lachnospiraceae_XPB1014_group,0.261587225,0.053467583,0.030869523
Otu0730,Ruminococcus_1,0.143607077,0.117334715,0.067743229
Otu0733,Bacteroides,0.002884754,0.004996541,0.002884754
Otu0736,Rikenellaceae_RC9_gut_group,0.11492547,0.070128777,0.040488868
Otu0738,Succinivibrionaceae_UCG-002,0.143531146,0.10770189,0.062181715
Otu0741,Prevotella_1,0.206720682,0.186097278,0.107443313
Otu0742,Saccharofermentans,0.077411401,0.070212991,0.040537489
Otu0743,Olsenella,0.083161343,0.094129969,0.054345963
Otu0746,Family_XIII_ge,0.146511547,0.047738702,0.027561952
Otu0747,Gastranaerophilales_ge,0.002884754,0.004996541,0.002884754
Otu0749,Prevotella_1,0.315995398,0.406760871,0.234843498
Otu0750,Olsenella,0.008619947,0.014930185,0.008619947
Otu0753,Clostridiales_unclassified,0.27576898,0.337313439,0.194748005
Otu0755,Christensenellaceae_R-7_group,0.158158327,0.044877034,0.025909768
Otu0761,Rikenellaceae_RC9_gut_group,0.261432051,0.035111039,0.020271368
Otu0767,Ruminococcus_1,0.091992,0.073443361,0.042402544
Otu0768,Lachnospiraceae_NK3A20_group,0.063212941,0.109488026,0.063212941
Otu0770,Ruminococcaceae_NK4A214_group,0.025806785,0.022746183,0.013132515
Otu0773,Muribaculaceae_ge,0.140389249,0.167878725,0.096924827
Otu0774,Anaerovibrio,0.057484371,0.027769896,0.016032957
Otu0776,Ruminococcaceae_ge,0.040253433,0.021794568,0.0125831
Otu0779,Lachnospiraceae_unclassified,0.117819858,0.151842691,0.087666419
Otu0781,Ruminococcaceae_UCG-004,0.109296386,0.04119599,0.023784516
Otu0782,Rikenellaceae_RC9_gut_group,0.086184038,0.031020518,0.017909704
Otu0786,Prevotellaceae_UCG-001,0.158195954,0.108326346,0.062542245
Otu0789,Syntrophococcus,0.005746631,0.009953457,0.005746631
Otu0793,Prevotellaceae_Ga6A1_group,0.051550734,0.081908058,0.047289639
Otu0795,Ruminococcaceae_UCG-010,0.002873316,0.004976728,0.002873316
Otu0796,Erysipelotrichaceae_UCG-009,0.077559125,0.104878463,0.060551609
Otu0799,Moryella,0.054522858,0.044001224,0.025404119
Otu0800,Prevotellaceae_unclassified,0.094897976,0.065341646,0.037725017
Otu0801,Bacteria_unclassified,0.126340318,0.046991588,0.027130606
Otu0802,Prevotellaceae_unclassified,0.017285647,0.01730857,0.009993107
Otu0805,Ruminococcaceae_UCG-014,0.002873316,0.004976728,0.002873316
Otu0808,F082_ge,0.126319774,0.150665748,0.08698691
Otu0809,Olsenella,0.060268661,0.030828322,0.01779874
Otu0811,Prevotella_1,0.002873316,0.004976728,0.002873316
Otu0815,Saccharofermentans,0.043078511,0.060353278,0.034844981
Otu0819,uncultured,0.071710524,0.074967388,0.043282442
Otu0824,Acetitomaculum,0.068846164,0.052113229,0.030087587
Otu0827,Corynebacteriaceae_unclassified,0.002873316,0.004976728,0.002873316
Otu0828,Lachnospiraceae_unclassified,0.025861495,0.014928898,0.008619203
Otu0830,Ruminococcaceae_UCG-014,0.008588114,0.01487505,0.008588114
Otu0831,Syntrophococcus,0.097656906,0.026144306,0.015094422
Otu0833,Prevotella_1,0.028767471,0.03026743,0.017474909
Otu0845,DNF00809,0.054584867,0.042516675,0.024547014
Otu0850,Family_XIII_AD3011_group,0.112137869,0.039881602,0.023025654
Otu0851,DNF00809,0.034493708,0.008668353,0.005004676
Otu0852,Prevotella_1,0.215053009,0.190102812,0.10975591
Otu0855,F082_ge,0.181529624,0.242459359,0.139983976
Otu0859,Lachnospiraceae_unclassified,0.002862705,0.00495835,0.002862705
Otu0860,Desulfovibrio,0.120706417,0.082288895,0.047509516
Otu0864,Ruminococcaceae_ge,0.11779713,0.035757135,0.020644392
Otu0866,Eggerthellaceae_unclassified,0.077662072,0.048076586,0.02775703
Otu0868,Prevotellaceae_NK3B31_group,0.287331552,0.497672846,0.287331552
Otu0870,Mollicutes_RF39_ge,0.031652225,0.030278875,0.017481516
Otu0874,Rikenellaceae_RC9_gut_group,0.068959572,0.119441483,0.068959572
Otu0877,Butyrivibrio_2,0.177893535,0.15823406,0.091356477
Otu0879,Ruminococcaceae_ge,0.017220327,0.017176398,0.009916798
Otu0881,Prevotellaceae_UCG-003,0.05746631,0.099534569,0.05746631
Otu0883,Prevotella_1,0.025806785,0.022746183,0.013132515
Otu0887,Acetitomaculum,0.129246144,0.187903913,0.108486375
Otu0895,Succiniclasticum,0.037501803,0.064955028,0.037501803
Otu0896,Prevotellaceae_UCG-001,0.147042388,0.204665126,0.118163466
Otu0899,Erysipelotrichaceae_ge,0.077477549,0.045276915,0.026140639
Otu0902,Prevotella_1,0.123272697,0.157409694,0.090880529
Otu0906,Selenomonas_1,0.063199997,0.055352181,0.031957597
Otu0907,Lachnospiraceae_ge,0.060433618,0.034716367,0.020043504
Otu0908,Erysipelotrichaceae_unclassified,0.008619947,0.014930185,0.008619947
Otu0910,Treponema_2,0.008619947,0.014930185,0.008619947
Otu0911,Lachnospiraceae_ge,0.074926019,0.100364752,0.057945617
Otu0913,Pseudomonas,0.005746631,0.009953457,0.005746631
Otu0914,Lachnospiraceae_unclassified,0.080339426,0.047162935,0.027229533
Otu0916,Lachnospiraceae_ge,0.051768744,0.017440873,0.010069492
Otu0918,Muribaculaceae_ge,0.085955416,0.101224099,0.058441761
Otu0924,Christensenellaceae_R-7_group,0.111931297,0.098979147,0.057145637
Otu0925,Prevotella_1,0.103439359,0.179162225,0.103439359
Otu0926,Christensenellaceae_R-7_group,0.135025585,0.012669428,0.007314698
Otu0931,Erysipelotrichaceae_UCG-004,0.131914692,0.141054001,0.081437565
Otu0932,F082_ge,0.132327009,0.062708752,0.036204915
Otu0936,Muribaculaceae_ge,0.008631385,0.008619969,0.004976742
Otu0941,Rikenellaceae_RC9_gut_group,0.151943842,0.193136126,0.111507195
Otu0943,Muribaculaceae_ge,0.002884754,0.004996541,0.002884754
Otu0944,Anaerovibrio,0.020125475,0.013173689,0.007605833
Otu0948,WCHB1-41_ge,0.051646231,0.037495623,0.021648108
Otu0950,F082_ge,0.13761888,0.167073736,0.096460067
Otu0951,Lachnospiraceae_unclassified,0.00573602,0.004967565,0.002868025
Otu0952,Treponema_2,0.060323371,0.008389681,0.004843785
Otu0953,uncultured,0.088969984,0.047248131,0.027278721
Otu0957,Ruminococcaceae_UCG-001,0.135561392,0.22740224,0.131290744
Otu0958,Muribaculaceae_ge,0.002873316,0.004976728,0.002873316
Otu0959,Prevotellaceae_NK3B31_group,0.140316628,0.228210061,0.13175714
Otu0961,Prevotellaceae_unclassified,0.086200293,0.134370956,0.077579107
Otu0962,Prevotellaceae_UCG-001,0.017251332,0.022799758,0.013163446
Otu0964,Muribaculaceae_ge,0.166588635,0.245271779,0.141607728
Otu0965,Ruminococcaceae_unclassified,0.002884754,0.004996541,0.002884754
Otu0967,Prevotella_1,0.103839708,0.172444427,0.099560836
Otu0968,Blautia,0.043078511,0.060353278,0.034844981
Otu0969,Syntrophococcus,0.091982895,0.092962486,0.053671916
Otu0972,Ruminococcaceae_UCG-002,0.060300493,0.02268081,0.013094772
Otu0977,Clostridium_sensu_stricto_1,0.132183952,0.221496782,0.127881227
Otu0978,Prevotellaceae_NK3B31_group,0.01719745,0.017176267,0.009916723
Otu0982,Family_XIII_unclassified,0.002862705,0.00495835,0.002862705
Otu0983,Ruminococcus_2,0.1003016,0.110697654,0.06391132
Otu0989,Treponema_2,0.137696467,0.151867133,0.08768053
Otu0990,Ruminococcaceae_unclassified,0.123395888,0.086180515,0.049756343
Otu0991,Prevotella_1,0.140515073,0.167827627,0.096895326
Otu0992,Treponema_2,0.037322097,0.030262133,0.017471851
Otu0995,uncultured,0.08332615,0.144325125,0.08332615
Otu1005,Prevotella_1,0.097508354,0.114299121,0.065990628
Otu1006,Christensenellaceae_R-7_group,0.07465646,0.038788392,0.022394489
