,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,3I-P0,3I-P1,3I-S0,3I-S2,3I-S3,3I-W3,3S-P0,3S-P1,3S-S0,3S-S3,3S-W2,3S-W3
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458716,0,0.115207,0.152905,0,0.211864,0.175131,0.487211,0.187793,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933126,1.107011,1.958525,0.764526,0.961538,1.271186,0.700525,1.218027,0.956023,0.418410,0.487805,1.700680
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777605,0.184502,0.230415,0.152905,0,0.277008,0.174216,0.121803,0.573614,0,0,0.340136
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777605,0.184502,0.230415,0.458716,0.384615,0.423729,0.175131,0.365408,0.573614,0,0.487805,0.340136
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0,0.230415,0.611621,0.576923,0.211864,0.350263,0.609013,0.191205,0.418410,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.115207,0.152905,0,0.423729,0.174216,0.365408,0.191205,0,0,0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0,0.115207,0.152905,0.576923,0,0.175131,0.121803,0.093897,0.209205,0,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0.184502,0.460829,0,0.384615,0.847458,0.525394,0.121803,0.573614,0.209205,0,0.340136
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622084,0.369004,0.230415,0.152905,0.192308,0.211864,0.175131,0.365408,0.382409,0.627615,0,0
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0,0,0,0,0,0.174216,0,0.281690,0,0,0.263852
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.369004,0.115207,0.152905,0.192308,0.423729,0.175131,0.121803,0.191205,0.418410,0,0.263852
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.369004,0.345622,0,0.576923,0.423729,0.175131,0.121803,0.191205,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0.305810,0,0,0.174216,0.121803,0.093897,0.209205,0,0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0,0.115207,0,0,0,0.174216,0,0.281690,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0,0.305810,0,0.211864,0.175131,0.121803,0.191205,0,0,0.340136
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0.184502,0.115207,0.152905,0,0.635593,0.348432,0.121803,0.191205,0,0.975610,1.020408
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229358,0.184502,0.115207,0.305810,0.192308,0.423729,0.175131,0,0.093897,0.209205,0,0.340136
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.806452,0.611621,0.192308,0.211864,0.525394,0.243605,0.573614,0.627615,0.487805,0.680272
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0.152905,0.192308,0,0.175131,0.121803,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0.305810,0,0,0.175131,0,0.382409,0,0,0.263852
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0.192308,0.277008,0.175131,0,0.187793,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0,0,0,0.175131,0.365408,0.382409,0,0,0
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244168,0.553506,0.230415,0,0.384615,0.211864,0.175131,0.121803,0.573614,0.418410,0,0.340136
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0.115207,0,0,0.211864,0.175131,0,0.191205,0.209205,0,0.340136
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0,0,0.175131,0.121803,0.093897,0,0,0.263852
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622084,0.369004,0.460829,0.917431,0.769231,0.423729,0.525394,0.609013,0.382409,1.046025,0.487805,1.700680
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.369004,0.230415,0.305810,0.192308,0.211864,0.696864,0.365408,0.375587,0.209205,0,0.680272
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0.152905,0,0.240964,0.174216,0,0.187793,0,0.487805,0.263852
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.369004,0.345622,0.305810,0.192308,0.211864,0.350263,0.121803,0.187793,0.209205,0.487805,0.340136
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0.345622,0.152905,0,0.211864,0,0,0.093897,0,0.975610,0.263852
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0.553506,0.460829,0.458716,0.384615,0.423729,0.700525,0.730816,0.382409,0.627615,0.487805,1.020408
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0.115207,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0,0,0.211864,0.175131,0.243605,0.093897,0.209205,0,0
Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0,0.192308,0,0.175131,0,0.093897,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0,0,0.211864,0.175131,0.121803,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0.115207,0,0,0.211864,0.175131,0,0.187793,0,0,0.263852
Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0,0.115207,0.152905,0.384615,0.211864,0.522648,0.243605,0.382409,0,0.487805,0.263852
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0.305810,0.192308,0.277008,0.175131,0.121803,0.191205,0.209205,0,0.263852
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0.192308,0,0,0,0,0.209205,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0.115207,0.152905,0,0.277008,0,0,0.191205,0.418410,0,0.680272
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.345622,0.458716,0,0.635593,0.175131,0,0.573614,0.418410,0,0.340136
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.115207,0.152905,0,0,0.175131,0.121803,0.191205,0.209205,0,0.340136
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.552099,16.420664,17.972351,16.972477,21.346153,18.432203,18.038528,18.392204,18.355640,15.481171,9.268292,17.006802
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.239502,15.498155,18.894009,16.207951,15.961538,12.711865,16.987741,19.732034,17.590822,21.338913,6.829268,16.326530
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0,0,0,0.211864,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.230415,0,0,0,0.350263,0.121803,0.093897,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.115207,0.152905,0,0,0,0.243605,0.187793,0.209205,0,0.340136
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.115207,0.152905,0.192308,0.211864,0.348432,0,0.191205,0.418410,0.487805,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0,0,0,0,0,0.191205,0,0,0
Bacteria;NA;NA;Haloplasmatales;Haloplasmataceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.115207,0,0,0,0.174216,0.121803,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.115207,0.152905,0,0.211864,0,0,0.093897,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184502,0.230415,0,0,0,0,0,0.191205,0.209205,0,0.263852
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184502,0.230415,0.152905,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207,0,0,0,0,0,0.191205,0,0,0.263852
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207,0,0,0,0.175131,0,0.191205,0,0,0
Bacteria;Firmicutes;Clostridia;Candidatus Borkfalkiales;Candidatus Borkfalkiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207,0,0,0,0.175131,0.121803,0,0,0,0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305810,0,0,0,0,0.191205,0,0,0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0,0.093897,0,0,0.340136
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0.121803,0.093897,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0.384615,0.277008,0.175131,0.121803,0.187793,0.209205,0,0
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0.211864,0,0,0.191205,0,0,0.340136
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615,0,0,0.121803,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192308,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192308,0,0,0,0.187793,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192308,0,0,0.121803,0,0,0.487805,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192308,0,0.174216,0,0.191205,0,0,0.680272
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192308,0,0,0.243605,0,0,0,0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192308,0.211864,0,0.121803,0.187793,0,0,0.263852
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481928,0,0,0.093897,0,0,0.263852
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240964,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0.174216,0,0,0.209205,0,0
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423729,0,0.121803,0.191205,0.209205,0,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277008,0.175131,0,0,0.209205,0,0
Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0,0,0,0,0,0
Bacteria;Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0,0,0,0,0,0
Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0,0,0,0,0,0
Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174216,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175131,0,0.093897,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Sanguibacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121803,0.093897,0.209205,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121803,0,0.209205,0,0
Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093897,0,0,0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093897,0,0,0
Bacteria;Thermotogae;Thermotogae;Thermotogales;Fervidobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093897,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191205,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191205,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191205,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209205,0,0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263852
