,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
GT76,6.0,4.0,5.0,10.0,3.0,5.0,0.0,4.0,1.0
GT77,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GT8,97.0,126.0,136.0,192.0,100.0,102.0,42.0,71.0,82.0
GT80,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0
GT81,2.0,4.0,2.0,7.0,1.0,1.0,1.0,5.0,2.0
GT83,40.0,47.0,45.0,61.0,38.0,33.0,26.0,43.0,35.0
GT84,11.0,15.0,28.0,39.0,18.0,14.0,4.0,16.0,12.0
GT9,68.0,73.0,67.0,85.0,61.0,62.0,28.0,69.0,57.0
GT90,10.0,10.0,3.0,9.0,6.0,6.0,3.0,6.0,6.0
GT92,5.0,5.0,3.0,13.0,8.0,5.0,3.0,6.0,4.0
GT94,10.0,8.0,8.0,11.0,5.0,3.0,7.0,12.0,11.0
GT99,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0
PL1,81.0,80.0,65.0,184.0,63.0,55.0,17.0,41.0,32.0
PL10,15.0,8.0,9.0,25.0,15.0,11.0,6.0,12.0,17.0
PL11,71.0,43.0,35.0,69.0,34.0,29.0,8.0,15.0,4.0
PL12,32.0,23.0,32.0,53.0,19.0,22.0,24.0,34.0,27.0
PL13,4.0,3.0,3.0,7.0,2.0,5.0,5.0,4.0,3.0
PL15,12.0,11.0,7.0,18.0,9.0,6.0,15.0,10.0,8.0
PL17,11.0,5.0,9.0,15.0,6.0,6.0,5.0,8.0,10.0
PL21,4.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0
PL22,4.0,0.0,1.0,4.0,0.0,2.0,4.0,2.0,2.0
PL26,14.0,10.0,11.0,11.0,9.0,6.0,5.0,2.0,1.0
PL27,5.0,2.0,6.0,7.0,5.0,2.0,1.0,0.0,0.0
PL29,12.0,7.0,8.0,16.0,7.0,8.0,11.0,10.0,6.0
PL30,5.0,4.0,2.0,6.0,3.0,2.0,7.0,3.0,0.0
PL31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PL33,32.0,19.0,27.0,32.0,20.0,10.0,22.0,18.0,12.0
PL34,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
PL35,9.0,11.0,6.0,13.0,7.0,5.0,12.0,10.0,5.0
PL37,11.0,3.0,3.0,9.0,4.0,3.0,8.0,5.0,7.0
PL4,5.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0
PL6,5.0,6.0,4.0,11.0,3.0,3.0,2.0,7.0,5.0
PL7,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
PL8,45.0,27.0,20.0,46.0,24.0,27.0,37.0,39.0,22.0
PL9,20.0,16.0,24.0,33.0,9.0,8.0,5.0,5.0,4.0
SLH,53.0,41.0,59.0,128.0,47.0,52.0,23.0,69.0,37.0
cohesin,10.0,3.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0
