,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33
GT6,2.0,2.0,4.0,4.0,5.0,1.0,2.0,2.0,3.0
GT66,1.0,3.0,5.0,2.0,4.0,3.0,1.0,0.0,2.0
GT7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT73,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GT74,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
GT76,12.0,11.0,9.0,7.0,2.0,4.0,6.0,4.0,4.0
GT77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GT8,143.0,137.0,103.0,193.0,136.0,113.0,58.0,75.0,83.0
GT80,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
GT81,3.0,5.0,2.0,6.0,4.0,1.0,0.0,2.0,6.0
GT83,51.0,40.0,39.0,57.0,64.0,36.0,27.0,32.0,42.0
GT84,24.0,18.0,8.0,30.0,20.0,17.0,20.0,16.0,14.0
GT89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GT9,73.0,100.0,52.0,105.0,99.0,70.0,46.0,51.0,82.0
GT90,7.0,10.0,7.0,9.0,12.0,8.0,6.0,5.0,7.0
GT92,9.0,11.0,7.0,9.0,11.0,5.0,0.0,5.0,7.0
GT94,9.0,9.0,8.0,18.0,15.0,2.0,10.0,7.0,13.0
GT99,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0
PL1,91.0,92.0,73.0,95.0,75.0,74.0,30.0,28.0,43.0
PL10,8.0,17.0,19.0,19.0,20.0,18.0,10.0,8.0,10.0
PL11,57.0,38.0,36.0,67.0,35.0,37.0,10.0,18.0,18.0
PL12,34.0,25.0,31.0,35.0,35.0,22.0,22.0,24.0,30.0
PL13,4.0,3.0,7.0,4.0,3.0,3.0,3.0,3.0,4.0
PL15,17.0,17.0,22.0,10.0,9.0,8.0,11.0,6.0,7.0
PL17,7.0,8.0,9.0,10.0,12.0,10.0,11.0,6.0,14.0
PL21,3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0
PL22,0.0,1.0,0.0,1.0,8.0,0.0,2.0,2.0,3.0
