"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"23","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;NA;","0.022316","0.026733","0.022358","0.028825","0.029066","0.01239","0.015779","0.030169","0.026118","0.028733","0.027187","0.023963","0.017556","0.028186","0.014506","0.022432","0.051727","0.031241"
"24","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;NA;NA;NA;","0.021729","0.019834","0.024026","0.02258","0.018102","0.018999","0.013379","0.014547","0.015346","0.022105","0.01717","0.02443","0.025252","0.023897","0.023292","0.007375","0.011495","0.008454"
"25","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;NA;NA;NA;","0.020222","0.023153","0.184916","0.023141","0.016763","0.021273","0.015136","0.397563","0.014751","0.419499","0.016125","0.036875","0.021665","0.015708","0.015611","0.005775","0.025493","0.010849"
"26","Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;NA;NA;NA;","0.020064","0.015597","0.004374","0.050868","0.058117","0.000209","0.000379","0.00168","0.014867","0.022481","0.000538","0.000466","0.008637","0.029987","0.000697","0.000244","0.005968","0.033744"
"27","Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;NA;NA;NA;","0.01928","0.036709","0.002259","0.034418","0.003428","0.005019","0.006187","0.038364","0.002907","0.00327","0.005115","0.017617","0.029657","0.00369","0.00236","0.000241","0.020533","0.004494"
"28","Bacteria;Synergistetes;Synergistia;Synergistales;NA;NA;NA;","0.018592","0.010233","0.015685","0.012772","0.012858","0.014434","0.013901","0.018106","0.011846","0.011456","0.011006","0.016366","0.016667","0.012931","0.01216","0.004297","0.011595","0.009107"
"29","Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;NA;NA;NA;","0.01812","0.018831","0.01593","0.017985","0.013185","0.022527","0.014721","0.010932","0.017045","0.014329","0.018376","0.016149","0.019241","0.016143","0.019819","0.004988","0.013615","0.014452"
"30","Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;NA;NA;NA;","0.017225","0.021882","0.014165","0.01874","0.017936","0.011033","0.01021","0.016867","0.009959","0.015577","0.019366","0.020593","0.015685","0.011976","0.009389","0.010072","0.014521","0.009285"
"31","Eukaryota;Preaxostyla;NA;Oxymonadida;NA;NA;NA;","0.017178","0.04762","0.047011","0.004458","0.028672","0.00855","0.016614","0.00376","0.005173","0.001371","0.006933","0.031377","0.001374","0.06423","0.014487","0.00325","0.002046","0.001973"
"32","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;NA;","0.013088","0.010974","0.015694","0.014554","0.010708","0.010304","0.009949","0.031426","0.014828","0.012385","0.013009","0.015451","0.010478","0.014786","0.009851","0.005144","0.023052","0.024833"
"33","Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;NA;NA;NA;","0.012105","0.00144","0.001252","0.001259","0.000679","0.004229","0.001548","0.000505","0.003876","0.002551","0.000881","0.024126","0.018535","0.002212","0.000697","0.000147","0.000777","0.000552"
"34","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;NA;NA;NA;","0.011825","0.014408","0.013447","0.015283","0.009149","0.014336","0.010364","0.010257","0.012559","0.009626","0.011929","0.01357","0.012945","0.010765","0.014402","0.003619","0.009115","0.008778"
"35","Bacteria;Firmicutes;Clostridia;Candidatus Borkfalkiales;NA;NA;NA;","0.011825","0.029399","0.037259","0.022637","0.005811","0.007347","0.002529","0.002324","0.00307","0.033013","0.015593","0.027935","0.025901","0.022355","0.011199","0.000128","0.004253","0.002092"
"36","Bacteria;Candidatus Melainabacteria;NA;Candidatus Gastranaerophilales;NA;NA;NA;","0.011003","0.022309","0.021938","0.077393","0.048531","0.025437","0.116081","0.032718","0.117418","0.00397","0.041657","0.015312","0.024526","0.078316","0.027798","0.000244","0.028489","0.066654"
"37","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;NA;NA;NA;","0.010107","0.00957","0.009642","0.049918","0.017464","0.007551","0.082989","0.021395","0.033591","0.002772","0.025222","0.007763","0.011464","0.020588","0.021197","0.000538","0.013997","0.02513"
"38","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA;NA;NA;","0.009705","0.006721","0.008622","0.008611","0.007237","0.005732","0.007721","0.015752","0.007876","0.009441","0.007398","0.00971","0.008882","0.00852","0.009496","0.002534","0.008081","0.007804"
