"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"22","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;","0.06241","0.080963","0.059788","0.077245","0.09496","0.035309","0.04793","0.092189","0.080508","0.074468","0.07456","0.064903","0.050053","0.081902","0.042054","0.043554","0.139128","0.092685"
"23","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;NA;","0.062248","0.030308","0.033454","0.03164","0.040763","0.137412","0.02793","0.031574","0.037485","0.044086","0.044692","0.055184","0.052069","0.039366","0.05419","0.009869","0.025775","0.028629"
"24","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;","0.057749","0.059537","0.054468","0.06559","0.049198","0.05959","0.039088","0.043196","0.050146","0.052743","0.051685","0.059445","0.065417","0.052522","0.057826","0.01476","0.047105","0.040976"
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;NA;NA;","0.050239","0.038595","0.045171","0.067705","0.04165","0.050383","0.069026","0.12671","0.110312","0.039922","0.046608","0.054071","0.065928","0.063861","0.048609","0.047173","0.079921","0.03834"
"26","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;NA;","0.047063","0.099664","0.206941","0.07917","0.073855","0.013748","0.005184","0.043982","0.010122","0.217092","0.070148","0.11458","0.023472","0.335324","0.261997","0.004","0.305281","0.021132"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;NA;NA;","0.044309","0.02985","0.035411","0.043013","0.0333","0.049647","0.034257","0.041692","0.03706","0.036867","0.032155","0.043422","0.048551","0.034222","0.036189","0.021457","0.027603","0.027595"
"28","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;NA;NA;","0.042064","0.035407","0.042027","0.046296","0.03191","0.034974","0.151911","0.0635","0.064774","0.037017","0.037403","0.038072","0.057296","0.045879","0.037369","0.023854","0.065564","0.038738"
"29","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA;","0.040326","0.029624","0.025371","0.046185","0.046698","0.026339","0.02011","0.03832","0.022162","0.041439","0.032109","0.034612","0.0497","0.046126","0.030343","0.007822","0.017604","0.017752"
"30","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;NA;NA;","0.038654","0.042819","0.029408","0.030293","0.039646","0.057545","0.017875","0.020128","0.019585","0.028345","0.027613","0.033438","0.036436","0.025317","0.041427","0.007266","0.015966","0.013855"
"31","Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;NA;NA;","0.037486","0.044045","0.030183","0.042471","0.027331","0.038931","0.021224","0.019006","0.023743","0.03033","0.029991","0.037221","0.043921","0.025643","0.032952","0.00521","0.014383","0.014288"
