"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"48","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;NA;","0.040356","0.041151","0.042299","0.036165","0.024916","0.045781","0.010691","0.009881","0.010948","0.031683","0.041178","0.032054","0.045191","0.029757","0.051666","0.002672","0.006639","0.007507"
"49","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;NA;","0.039478","0.027471","0.049572","0.06243","0.077034","0.018124","0.047364","0.595286","0.153614","0.053495","0.084004","0.058701","0.045025","0.02863","0.018701","0.354258","0.400079","0.383368"
"50","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;NA;","0.039374","0.040842","0.036865","0.038044","0.027157","0.059862","0.011357","0.009794","0.010851","0.054002","0.029312","0.030902","0.049139","0.027449","0.04162","0.003041","0.005756","0.006365"
"51","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;NA;","0.037053","0.082537","0.045075","0.074325","0.092761","0.022251","0.048783","0.081526","0.06472","0.105211","0.063156","0.035635","0.032534","0.115592","0.031802","0.023426","0.129756","0.037519"
"52","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;","0.036192","0.027676","0.023405","0.042673","0.044618","0.02384","0.017717","0.036388","0.019217","0.038145","0.028826","0.031753","0.044273","0.043278","0.028135","0.007328","0.015507","0.015647"
"53","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Frisingicoccus;NA;","0.035627","0.049503","0.074409","0.062423","0.056699","0.012071","0.048283","0.102612","0.014477","0.1063","0.081109","0.017419","0.038024","0.074551","0.091741","0.021041","0.010846","0.021824"
"54","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;NA;","0.034565","0.024418","0.029697","0.04014","0.051045","0.03374","0.026625","0.022122","0.03053","0.026497","0.028788","0.039167","0.041846","0.031122","0.025926","0.005841","0.017061","0.020336"
"55","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;NA;","0.033819","0.069193","0.035424","0.037267","0.021791","0.071767","0.014467","0.01406","0.012157","0.036851","0.041364","0.035289","0.049636","0.028789","0.04026","0.010032","0.009729","0.008691"
"56","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;NA;","0.033028","0.045753","0.028261","0.027703","0.019841","0.03014","0.014055","0.017009","0.016335","0.022116","0.028795","0.037561","0.035842","0.035939","0.029503","0.005956","0.010766","0.010971"
"57","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;NA;","0.031299","0.028768","0.029916","0.038037","0.029708","0.021599","0.017331","0.019653","0.01855","0.042945","0.033267","0.025922","0.034212","0.036182","0.030804","0.004469","0.006745","0.007392"
