RelTime,Delta,CO2,Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,BinTime,NormDelta,Slope
3.016666667,67.6,0.92,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,3.189393939,,
3.3,60.74,0.98,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,3.189393939,,
3.583333333,50.28,1.06,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,3.676666667,,
3.9,45.48,1.03,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,3.676666667,,
4.183333333,39.7,0.73,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,4.154166667,,
-0.166666667,-22.32,0.6,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,-0.188412698,,
0.083333333,59.9,0.71,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,0.291428571,,
0.366666667,178.06,0.68,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,0.291428571,,
0.633333333,300.16,0.91,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,0.874761905,,
0.916666667,283.05,0.76,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,0.874761905,,
1.2,380.02,0.91,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,1.36962963,,
1.5,883.27,1.06,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,1.36962963,,
1.8,1594.97,0.96,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,1.853846154,,
2.1,2018.15,0.91,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,1.853846154,,
2.4,2504.23,0.99,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,2.398484848,,
2.683333333,2813.17,0.82,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,2.901111111,,
2.983333333,3219.1,1.09,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,2.901111111,,
3.3,3176.33,0.98,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,3.418055556,,
3.6,3137.39,0.99,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,3.418055556,,
3.933333333,2615.54,0.79,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,3.948148148,,
4.216666667,2781.66,1.04,4118,P36,Spring,Female,No,Inulin,2,4070,AgStation,141.7,37,4.407575758,,
-0.166666667,-21.79,1,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,-0.188412698,,
0.183333333,24.34,1.04,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,0.291428571,,
0.483333333,61.9,1.07,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,0.291428571,,
0.783333333,107.88,1.07,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,0.874761905,,
1.083333333,140.28,0.81,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,0.874761905,,
1.366666667,141.35,0.7,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,1.36962963,,
1.633333333,146.18,0.85,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,1.853846154,,
1.916666667,134.81,0.96,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,1.853846154,,
2.2,114.75,0.76,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,2.398484848,,
2.483333333,103.59,0.99,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,2.398484848,,
2.766666667,93.57,1.02,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,2.901111111,,
3.066666667,72.97,0.62,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,2.901111111,,
3.333333333,165.83,0.88,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,3.418055556,,
3.616666667,447.93,1.05,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,3.418055556,,
3.916666667,738.69,0.97,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,3.948148148,,
4.216666667,830.46,0.89,4167,P38,Spring,Male,No,Inulin,2,4063,AgStation,152.8,37,4.407575758,,
-0.116666667,-24.35,0.96,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,-0.188412698,,
0.166666667,9.34,0.89,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,0.295238095,,
0.45,71.42,0.77,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,0.295238095,,
0.783333333,110.9,0.71,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,0.829166667,,
1.066666667,118.68,0.99,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,1.255555556,,
1.35,188.79,0.85,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,1.255555556,,
1.633333333,103.72,0.66,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,1.738461539,,
