OTU,Genus,Mean,SD,SE
Otu0220,Sharpea,0.030922604,0.043354138,0.025030523
Otu0222,Prevotella_1,0.756376081,0.321094769,0.185384151
Otu0227,Gastranaerophilales_ge,0.020957077,0.026381271,0.015231234
Otu0231,Prevotella_1,1.354922212,1.06409683,0.614356591
Otu0238,Lachnospiraceae_NK3A20_group,1.438451557,1.931716506,1.115277045
Otu0251,Gastranaerophilales_ge,0.024287907,0.001175883,0.000678896
Otu0256,Mogibacterium,0.957296329,0.181743175,0.104929471
Otu0263,Prevotellaceae_UCG-001,0.625772943,0.66298366,0.382773794
Otu0269,Prevotella_1,0.474237478,0.575666784,0.332361373
Otu0276,Butyrivibrio_2,1.32991596,1.065987712,0.615448292
Otu0287,Ruminococcus_1,0.016094879,0.013985813,0.008074713
Otu0290,Prevotella_1,0.465686214,0.409631081,0.236500615
Otu0291,Fibrobacter,0.657805465,0.530869815,0.306497831
Otu0293,Prevotellaceae_UCG-003,0.143101467,0.113710322,0.065650685
Otu0297,Lactobacillus,0.020601196,0.025526498,0.01473773
Otu0301,Muribaculaceae_ge,0.008311655,0.007200303,0.004157097
Otu0303,Megasphaera,0.027090306,0.036795441,0.021243858
Otu0304,Prevotella_1,0.750613375,0.652829101,0.376911057
Otu0306,Saccharofermentans,0.561563589,0.645192381,0.372501995
Otu0316,Ruminococcaceae_unclassified,0.053916396,0.082970734,0.047903176
Otu0330,Ruminococcaceae_NK4A214_group,0.277317352,0.218952384,0.126412218
Otu0332,Prevotellaceae_UCG-001,0.494451105,0.300669695,0.173591729
Otu0334,Christensenellaceae_R-7_group,0.756830532,0.280594196,0.162001134
Otu0336,Lachnospiraceae_XPB1014_group,1.05486383,0.540282631,0.311932322
Otu0346,Family_XIII_AD3011_group,0.647097515,0.24644879,0.142287275
Otu0349,Muribaculaceae_ge,0.16876285,0.17813587,0.102846792
Otu0350,Lachnospiraceae_ge,0.126565946,0.039970174,0.023076791
Otu0351,Gastranaerophilales_ge,0.019425708,0.023809832,0.013746613
Otu0355,Streptococcus,0.025053591,0.025294183,0.014603603
Otu0360,Prevotellaceae_UCG-003,0.879118171,1.268554652,0.73240037
Otu0363,Christensenellaceae_R-7_group,0.16058903,0.160111277,0.092440289
Otu0364,Rikenellaceae_RC9_gut_group,0.761694412,0.515799978,0.297797256
Otu0366,Prevotella_1,0.958940126,1.628189739,0.940035784
Otu0370,Lachnospiraceae_unclassified,0.202246723,0.15974233,0.092227277
Otu0375,Prevotella_9,0.020218354,0.025713405,0.014845641
Otu0381,Ruminococcus_2,0.367807319,0.217508944,0.125578847
Otu0384,Lachnospiraceae_ge,1.073096155,1.689640381,0.975514329
Otu0385,Lachnospiraceae_unclassified,0.040026905,0.024941192,0.014399804
Otu0389,Prevotella_1,0.446426824,0.511541224,0.295338464
Otu0395,Selenomonas_1,0.320267637,0.22104599,0.127620962
Otu0410,Prevotellaceae_UCG-003,0.567970309,0.252939222,0.146034528
Otu0417,Prevotellaceae_UCG-003,1.002057033,1.292813956,0.746406486
Otu0418,Prevotella_1,0.536209562,0.47273077,0.272931237
Otu0421,Ruminococcaceae_UCG-014,0.045153318,0.037785456,0.021815443
Otu0425,Erysipelotrichaceae_UCG-004,0.14233881,0.185059243,0.106844004
Otu0429,p-251-o5_ge,0.314176028,0.309765028,0.178842922
Otu0431,Prevotellaceae_UCG-003,0.061539374,0.065134585,0.03760547
Otu0436,Veillonellaceae_UCG-001,0.408814077,0.168813276,0.09746439
Otu0440,Prevotella_1,0.559115582,0.759053883,0.438239964
Otu0444,Succiniclasticum,0.526469852,0.695552253,0.401577281
Otu0445,Saccharofermentans,0.456005615,0.306251497,0.176814384
Otu0448,Lachnospiraceae_XPB1014_group,0.781281729,0.659940836,0.381017019
Otu0449,Succiniclasticum,0.440698,0.247202092,0.142722195
Otu0450,Gastranaerophilales_ge,0.008311655,0.007200303,0.004157097
Otu0452,Fibrobacter,0.215148607,0.230782153,0.133242138
Otu0457,Ruminococcaceae_ge,0.516289466,0.301787857,0.1742373
Otu0463,Butyrivibrio_2,0.60861276,0.312038745,0.180155654
Otu0466,Mollicutes_RF39_ge,0.028794224,0.039432009,0.022766081
Otu0475,Muribaculaceae_ge,0.226197956,0.154903618,0.089433645
Otu0477,Veillonellaceae_UCG-001,0.134284466,0.075988373,0.043871907
Otu0479,Prevotella_1,0.459206187,0.568403777,0.328168074
Otu0481,Prevotella_1,0.176599997,0.165749018,0.09569524
Otu0482,Rikenellaceae_RC9_gut_group,0.412763481,0.171319098,0.098911128
Otu0489,DNF00809,0.174590244,0.099185119,0.057264555
Otu0498,Prevotella_1,0.293046402,0.353346273,0.204004566
Otu0500,F082_ge,0.517157421,0.781597501,0.451255528
Otu0506,Ruminococcus_1,0.01612184,0.018864423,0.01089138
Otu0507,Succiniclasticum,0.181699449,0.143778537,0.083010577
Otu0515,Atopobium,0.391849545,0.155300651,0.089662872
Otu0526,Acetitomaculum,0.144551951,0.036974966,0.021347507
Otu0528,Christensenellaceae_R-7_group,0.577040071,0.400491227,0.231223718
Otu0531,Lachnospiraceae_unclassified,0.19650409,0.298795508,0.172509667
Otu0534,Bacteroidales_RF16_group_ge,0.560767916,0.369587469,0.213381425
Otu0548,Spirochaetaceae_unclassified,0.364696891,0.351402428,0.202882286
Otu0550,Prevotella_1,0.290206933,0.222227014,0.128302827
Otu0551,Prevotella_1,0.09025659,0.086508766,0.049945859
Otu0559,Pseudobutyrivibrio,0.348728216,0.347254959,0.200487744
Otu0561,Prevotellaceae_UCG-004,0.238610002,0.060676739,0.035031732
Otu0568,Prevotella_1,0.602823125,0.398967317,0.230343888
Otu0575,Christensenellaceae_R-7_group,0.366239041,0.38147701,0.220245854
Otu0576,uncultured_ge,0.534508848,0.297066502,0.171511425
Otu0579,Oribacterium,0.070115243,0.081653579,0.047142716
Otu0581,Prevotellaceae_UCG-001,0.041056804,0.031237297,0.018034862
Otu0585,Muribaculaceae_ge,0.143917197,0.13845503,0.079937049
Otu0586,Prevotellaceae_unclassified,0.188311063,0.305125811,0.176164469
Otu0589,Christensenellaceae_R-7_group,0.39531366,0.270177602,0.155987112
Otu0590,Acetitomaculum,0.44676803,0.270285254,0.156049264
Otu0593,Ruminococcus_2,0.269376236,0.069782795,0.040289115
Otu0596,Bacteroidales_UCG-001_ge,0.462206592,0.363702861,0.209983945
Otu0598,probable_genus_10,0.297163645,0.112404902,0.064897
Otu0604,Schwartzia,0.143736221,0.184176275,0.106334222
Otu0605,Lachnospiraceae_NK3A20_group,0.101986863,0.043223484,0.02495509
Otu0608,F082_ge,0.426032203,0.716315132,0.413564734
Otu0614,Prevotella_1,0.221113162,0.191738012,0.110699993
Otu0617,Prevotellaceae_unclassified,0.098632949,0.087678436,0.050621169
Otu0629,Prevotella_1,0.214234307,0.122821359,0.070910945
Otu0632,Prevotellaceae_YAB2003_group,0.159402761,0.055750937,0.032187818
Otu0637,Eggerthellaceae_unclassified,0.341736132,0.37978579,0.219269428
Otu0656,uncultured_ge,0.147749496,0.133505097,0.077079204
Otu0659,Family_XIII_unclassified,0.1282884,0.158178098,0.091324167
Otu0662,Prevotellaceae_unclassified,0.089778206,0.052152893,0.030110487
Otu0664,Prevotella_1,0.490798438,0.839467265,0.484666651
Otu0669,Fibrobacter,0.073246562,0.015522556,0.008961952
Otu0671,Rikenellaceae_RC9_gut_group,0.325015758,0.181905889,0.105023414
Otu0672,Treponema_2,0.051351251,0.051740324,0.02987229
Otu0675,Prevotella_1,0.36399591,0.395103115,0.22811289
Otu0677,Spirochaetaceae_unclassified,0.393608892,0.300580405,0.173540178
Otu0678,WCHB1-41_ge,0.309187449,0.19393344,0.111967524
Otu0679,Prevotellaceae_NK3B31_group,0.09877466,0.078837488,0.045516845
Otu0680,Prevotella_1,0.097534468,0.016679015,0.009629634
Otu0681,Prevotella_1,0.327641731,0.256989151,0.148372756
Otu0696,Prevotella_1,0.127664427,0.062026716,0.035811141
Otu0698,U29-B03,0.123093405,0.066988758,0.038675977
Otu0725,Saccharofermentans,0.1145568,0.177511266,0.102486177
Otu0727,Lachnospiraceae_XPB1014_group,0.369617561,0.083683025,0.048314417
Otu0730,Ruminococcus_1,0.197794328,0.152392355,0.087983767
Otu0736,Rikenellaceae_RC9_gut_group,0.165057605,0.104301555,0.060218531
Otu0738,Succinivibrionaceae_UCG-002,0.199180109,0.142782406,0.08243546
Otu0742,Saccharofermentans,0.110891652,0.104880362,0.060552705
Otu0743,Olsenella,0.121144479,0.139528227,0.080556659
Otu0746,Family_XIII_ge,0.208625632,0.076645723,0.044251429
Otu0755,Christensenellaceae_R-7_group,0.22247738,0.06343379,0.036623516
Otu0767,Ruminococcus_1,0.132485005,0.105984791,0.061190348
Otu0773,Muribaculaceae_ge,0.202330635,0.249084162,0.143808808
Otu0774,Anaerovibrio,0.082086647,0.041488814,0.023953578
Otu0776,Ruminococcaceae_ge,0.057415898,0.031915786,0.018426588
Otu0779,Lachnospiraceae_unclassified,0.159329631,0.200619503,0.115827724
Otu0781,Ruminococcaceae_UCG-004,0.153828801,0.058697499,0.033889017
Otu0782,Rikenellaceae_RC9_gut_group,0.120264045,0.037879671,0.021869838
Otu0786,Prevotellaceae_UCG-001,0.225858256,0.156004648,0.090069325
Otu0793,Prevotellaceae_Ga6A1_group,0.075753907,0.120723046,0.069699483
Otu0796,Erysipelotrichaceae_UCG-009,0.104884804,0.138762771,0.080114723
Otu0799,Moryella,0.078728856,0.06609237,0.038158448
Otu0800,Prevotellaceae_unclassified,0.135815835,0.094374223,0.054486983
Otu0802,Prevotellaceae_unclassified,0.024050653,0.024596119,0.014200576
Otu0809,Olsenella,0.085746396,0.047256395,0.027283492
Otu0819,uncultured,0.104283916,0.111251355,0.064231
Otu0824,Acetitomaculum,0.09877466,0.078837488,0.045516845
Otu0828,Lachnospiraceae_unclassified,0.035784802,0.018795841,0.010851784
Otu0831,Syntrophococcus,0.137005981,0.033821287,0.019526729
Otu0833,Prevotella_1,0.039115632,0.040286161,0.023259226
Otu0845,DNF00809,0.075137688,0.054838429,0.031660982
Otu0850,Family_XIII_AD3011_group,0.158809627,0.059186902,0.034171574
Otu0851,DNF00809,0.048192971,0.009809783,0.005663681
Otu0860,Desulfovibrio,0.173514848,0.120430175,0.069530394
Otu0864,Ruminococcaceae_ge,0.167595789,0.057605763,0.033258703
Otu0866,Eggerthellaceae_unclassified,0.107262742,0.062982397,0.036362904
Otu0870,Mollicutes_RF39_ge,0.043212146,0.040567282,0.023421531
Otu0879,Ruminococcaceae_ge,0.025053591,0.025294183,0.014603603
Otu0883,Prevotella_1,0.036404898,0.032684672,0.018870504
Otu0899,Erysipelotrichaceae_ge,0.110535771,0.069199392,0.039952287
Otu0902,Prevotella_1,0.180302038,0.232406262,0.134179818
Otu0906,Selenomonas_1,0.091546828,0.080583447,0.046524875
Otu0907,Lachnospiraceae_ge,0.084533165,0.048750985,0.028146395
Otu0911,Lachnospiraceae_ge,0.106601026,0.142442785,0.08223938
Otu0914,Lachnospiraceae_unclassified,0.114103855,0.070862307,0.040912372
Otu0916,Lachnospiraceae_ge,0.072626466,0.024075175,0.013899809
Otu0924,Christensenellaceae_R-7_group,0.162201283,0.147124718,0.084942495
Otu0926,Christensenellaceae_R-7_group,0.190325365,0.02215812,0.012792997
Otu0931,Erysipelotrichaceae_UCG-004,0.191680307,0.20982302,0.121141377
Otu0936,Muribaculaceae_ge,0.011761111,0.011506,0.006642992
Otu0944,Anaerovibrio,0.027737363,0.016893963,0.009753734
Otu0948,WCHB1-41_ge,0.072308328,0.05199061,0.030016793
Otu0951,Lachnospiraceae_unclassified,0.008047439,0.006992906,0.004037356
Otu0952,Treponema_2,0.0851263,0.01429165,0.008251288
Otu0953,uncultured,0.125217908,0.067297295,0.038854111
Otu0961,Prevotellaceae_unclassified,0.115616016,0.17865859,0.103148585
Otu0969,Syntrophococcus,0.125367374,0.121753632,0.070294492
Otu0972,Ruminococcaceae_UCG-002,0.084597869,0.030713383,0.01773238
Otu0977,Clostridium_sensu_stricto_1,0.176549951,0.295214388,0.170442106
Otu0983,Ruminococcus_2,0.144348563,0.164617549,0.095041986
Otu1005,Prevotella_1,0.142365771,0.168758698,0.09743288
Otu1006,Christensenellaceae_R-7_group,0.104142205,0.050844656,0.029355176
Otu1013,uncultured_ge,0.082760666,0.080037472,0.046209656
Otu1016,p-251-o5_ge,0.011761111,0.011506,0.006642992
Otu1022,DNF00809,0.111328417,0.072725232,0.041987932
Otu1027,p-1088-a5_gut_group,0.110776902,0.087195266,0.05034221
Otu1036,Christensenellaceae_R-7_group,0.143189255,0.054366411,0.031388462
Otu1037,Prevotellaceae_unclassified,0.016240467,0.007244251,0.00418247
Otu1054,Lachnospiraceae_unclassified,0.055857568,0.022048061,0.012729454
Otu1055,Fibrobacter,0.13279084,0.031793077,0.018355741
Otu1064,Moryella,0.070658332,0.068569956,0.039588883
Otu1069,Lachnospiraceae_UCG-006,0.103254016,0.086147025,0.049737008
Otu1072,Flexilinea,0.063759419,0.039449183,0.022775997
Otu1074,Prevotella_1,0.081903316,0.110217591,0.063634156
Otu1077,Lachnospiraceae_UCG-002,0.06850299,0.016910644,0.009763365
Otu1078,Ruminococcus_1,0.035283333,0.034518001,0.019928977
Otu1085,Mollicutes_RF39_ge,0.071274551,0.113640025,0.065610099
Otu1097,Ruminococcaceae_UCG-014,0.011761111,0.011506,0.006642992
Otu1100,WCHB1-41_ge,0.12364492,0.077304842,0.044631972
Otu1110,Lachnospiraceae_unclassified,0.056213449,0.038108863,0.022002162
Otu1113,Acetitomaculum,0.071715193,0.032814656,0.018945551
Otu1124,Treponema_2,0.028357459,0.025842585,0.014920223
Otu1138,Christensenellaceae_R-7_group,0.065900103,0.083472266,0.048192735
Otu1149,Oribacterium,0.020455608,0.00776663,0.004484066
Otu1160,Family_XIII_UCG-001,0.067473091,0.041700181,0.024075611
Otu1176,Prevotellaceae_NK3B31_group,0.054058107,0.053277953,0.03076004
Otu1177,Lachnospiraceae_NK3A20_group,0.036286271,0.020908341,0.012071436
Otu1185,Coprococcus_1,0.066110395,0.04754974,0.027452855
Otu1193,Prevotellaceae_UCG-001,0.060574178,0.020816747,0.012018555
Otu1211,Lachnospiraceae_unclassified,0.085417476,0.033733916,0.019476286
Otu1237,DNF00809,0.024670749,0.013219924,0.007632527
Otu1241,Erysipelotrichaceae_ge,0.053529677,0.053370426,0.03081343
Otu1253,WCHB1-41_ge,0.084597869,0.030713383,0.01773238
Otu1266,Ruminococcaceae_NK4A214_group,0.065581965,0.02792164,0.016120566
Otu1276,Lachnoclostridium_1,0.035903429,0.022665942,0.013086188
Otu1281,Mollicutes_RF39_ge,0.052817915,0.028811284,0.016634203
Otu1283,Lachnospiraceae_unclassified,0.082829247,0.062581715,0.03613157
Otu1284,Rikenellaceae_RC9_gut_group,0.044716553,0.031810547,0.018365828
Otu1296,Ruminococcaceae_UCG-005,0.008047439,0.006992906,0.004037356
Otu1301,Prevotella_1,0.020455608,0.00776663,0.004484066
Otu1317,Bacteroidales_unclassified,0.008047439,0.006992906,0.004037356
Otu1331,Mailhella,0.061895254,0.045065807,0.026018756
Otu1355,Lachnospiraceae_unclassified,0.054176734,0.062934986,0.036335531
Otu1369,Howardella,0.028503047,0.008207772,0.004738759
Otu1397,DNF00809,0.035903429,0.022665942,0.013086188
Otu1414,DNF00809,0.036167645,0.010813278,0.006243049
Otu1416,Lachnospiraceae_unclassified,0.027090306,0.036795441,0.021243858
Otu1424,Family_XIII_AD3011_group,0.039617101,0.025432697,0.014683575
Otu1425,Rikenellaceae_RC9_gut_group,0.016623309,0.014400606,0.008314194
Otu1442,DNF00809,0.04114847,0.030082367,0.017368062
Otu1448,Oribacterium,0.039234259,0.036213319,0.020907769
Otu1462,Christensenellaceae_R-7_group,0.031305446,0.032628797,0.018838244
Otu1463,Oribacterium,0.028265793,0.018818624,0.010864938
Otu1484,DNF00809,0.035903429,0.022665942,0.013086188
Otu1493,Coriobacteriales_unclassified,0.007928812,0.006877981,0.003971004
Otu1494,Ruminococcus_1,0.015857625,0.013755962,0.007942008
Otu1581,Prevotella_1,0.015976252,0.006079972,0.003510274
Otu1583,WCHB1-41_ge,0.012526795,0.012647092,0.007301802
Otu1699,Prevotellaceae_UCG-001,0.008047439,0.006992906,0.004037356
