OTU,Mean,SD,SE,Min,Max
Unclassified,57.39058965,6.384145983,1.548382836,43.809528,64.998622
Eukaryota;Basidiomycota;NA;NA;NA;NA;NA;,0.001300824,0.0007329,0.000177754,0.000527,0.002915
Eukaryota;Evosea;NA;NA;NA;NA;NA;,0.001285,0.00102435,0.000248441,0.000141,0.003441
Bacteria;Aquificae;NA;NA;NA;NA;NA;,0.001148471,0.000475312,0.00011528,0.00062,0.002814
Eukaryota;Apicomplexa;NA;NA;NA;NA;NA;,0.001131882,0.00082581,0.000200288,0.000246,0.002816
Bacteria;Armatimonadetes;NA;NA;NA;NA;NA;,0.001129647,0.000619085,0.00015015,0.000418,0.002971
Bacteria;Deferribacteres;NA;NA;NA;NA;NA;,0.001085706,0.000432449,0.000104884,0.000679,0.002527
Bacteria;Candidatus Marinimicrobia;NA;NA;NA;NA;NA;,0.001055941,0.000432112,0.000104802,0.000384,0.002037
Bacteria;Candidatus Cloacimonetes;NA;NA;NA;NA;NA;,0.000970588,0.000320616,7.78E-05,0.000362,0.001571
Bacteria;candidate division Zixibacteria;NA;NA;NA;NA;NA;,0.000916824,0.000504412,0.000122338,0.000525,0.002768
Bacteria;Candidatus Peregrinibacteria;NA;NA;NA;NA;NA;,0.000885353,0.000405326,9.83E-05,0.000471,0.002281
Bacteria;Candidatus Margulisbacteria;NA;NA;NA;NA;NA;,0.000863647,0.000454712,0.000110284,0.000303,0.002114
Eukaryota;Ciliophora;NA;NA;NA;NA;NA;,0.000719941,0.00057808,0.000140205,8.80E-05,0.00176
Bacteria;Candidatus Rokubacteria;NA;NA;NA;NA;NA;,0.000695824,0.000300334,7.28E-05,0.000201,0.001384
Bacteria;Thermodesulfobacteria;NA;NA;NA;NA;NA;,0.000634765,0.000309481,7.51E-05,0.000271,0.001559
Eukaryota;Rhodophyta;NA;NA;NA;NA;NA;,0.000587,0.000316855,7.68E-05,0.000154,0.001304
Bacteria;Candidatus Aminicenantes;NA;NA;NA;NA;NA;,0.000581235,0.000415311,0.000100728,0.000201,0.002012
Bacteria;Candidatus Parcubacteria;NA;NA;NA;NA;NA;,0.000555,0.00023692,5.75E-05,0.000294,0.001294
Bacteria;Nitrospinae;NA;NA;NA;NA;NA;,0.000534529,0.000216949,5.26E-05,0.000279,0.001054
Eukaryota;Microsporidia;NA;NA;NA;NA;NA;,0.000510294,0.000511949,0.000124166,1.80E-05,0.001581
Eukaryota;Euglenozoa;NA;NA;NA;NA;NA;,0.000496353,0.000227582,5.52E-05,0.000168,0.000898
Bacteria;Candidatus Tectomicrobia;NA;NA;NA;NA;NA;,0.000479294,0.00037006,8.98E-05,0.000154,0.001395
Bacteria;Candidatus Moranbacteria;NA;NA;NA;NA;NA;,0.000475529,0.000475305,0.000115278,0.000131,0.001697
Bacteria;Candidatus Atribacteria;NA;NA;NA;NA;NA;,0.000446294,0.000121022,2.94E-05,0.00023,0.000662
Bacteria;Candidatus Latescibacteria;NA;NA;NA;NA;NA;,0.000436588,0.000211787,5.14E-05,0.000209,0.001131
Bacteria;Rhodothermaeota;NA;NA;NA;NA;NA;,0.000430294,0.000215681,5.23E-05,0.000195,0.001162
Bacteria;Candidatus Dadabacteria;NA;NA;NA;NA;NA;,0.000411471,0.000259521,6.29E-05,8.90E-05,0.001103
Bacteria;Candidatus Magasanikbacteria;NA;NA;NA;NA;NA;,0.000393706,0.000238297,5.78E-05,0.000129,0.001165
Bacteria;Chrysiogenetes;NA;NA;NA;NA;NA;,0.000377471,0.000251025,6.09E-05,0.000178,0.001199
Bacteria;Candidatus Riflebacteria;NA;NA;NA;NA;NA;,0.000368647,0.000329507,7.99E-05,0.000129,0.001372
Bacteria;Candidatus Falkowbacteria;NA;NA;NA;NA;NA;,0.000368235,0.000190282,4.62E-05,0.000159,0.000989
Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;NA;,0.000357176,0.000144002,3.49E-05,0.000153,0.000745
Eukaryota;Zoopagomycota;NA;NA;NA;NA;NA;,0.000341353,0.000236751,5.74E-05,8.00E-05,0.000892
Eukaryota;Haptista;NA;NA;NA;NA;NA;,0.000330941,0.000315185,7.64E-05,2.80E-05,0.000912
Bacteria;Candidatus Uhrbacteria;NA;NA;NA;NA;NA;,0.000320059,0.000239964,5.82E-05,7.00E-05,0.001202
Eukaryota;Bacillariophyta;NA;NA;NA;NA;NA;,0.000315765,0.000235039,5.70E-05,8.40E-05,0.00088
Bacteria;Caldiserica;NA;NA;NA;NA;NA;,0.000304765,0.00017264,4.19E-05,8.50E-05,0.000701
Bacteria;Candidatus Poribacteria;NA;NA;NA;NA;NA;,0.000302294,0.000148719,3.61E-05,9.80E-05,0.000691
Archaea;Candidatus Woesearchaeota;NA;NA;NA;NA;NA;,0.000278353,0.000195902,4.75E-05,6.40E-05,0.000768
Bacteria;Candidatus Nomurabacteria;NA;NA;NA;NA;NA;,0.000270706,0.000188804,4.58E-05,6.80E-05,0.000811
Bacteria;Candidatus Roizmanbacteria;NA;NA;NA;NA;NA;,0.000269471,0.000179996,4.37E-05,8.00E-05,0.000673
Bacteria;Candidatus Fermentibacteria;NA;NA;NA;NA;NA;,0.000265059,0.000237177,5.75E-05,5.10E-05,0.001042
Bacteria;Candidatus Hydrogenedentes;NA;NA;NA;NA;NA;,0.000254471,0.000270842,6.57E-05,8.10E-05,0.001261
Bacteria;Candidatus Bipolaricaulota;NA;NA;NA;NA;NA;,0.000251588,0.000109452,2.65E-05,0.00011,0.000502
Bacteria;Candidatus Cryosericota;NA;NA;NA;NA;NA;,0.000234059,8.62E-05,2.09E-05,0.00014,0.00045
Bacteria;Candidatus Kaiserbacteria;NA;NA;NA;NA;NA;,0.000227824,9.24E-05,2.24E-05,0.000113,0.000465
Bacteria;Candidatus Aerophobetes;NA;NA;NA;NA;NA;,0.000225588,8.06E-05,1.95E-05,0.000122,0.000416
Bacteria;Dictyoglomi;NA;NA;NA;NA;NA;,0.000223235,0.000102824,2.49E-05,9.10E-05,0.000502
Bacteria;candidate division WWE3;NA;NA;NA;NA;NA;,0.000219824,5.72E-05,1.39E-05,0.000119,0.000324
Bacteria;Candidatus Wallbacteria;NA;NA;NA;NA;NA;,0.000210294,0.00023134,5.61E-05,5.00E-05,0.001073
Archaea;Crenarchaeota;NA;NA;NA;NA;NA;,0.00021,8.24E-05,2.00E-05,8.60E-05,0.000434
Bacteria;candidate division WOR-3;NA;NA;NA;NA;NA;,0.000205353,8.06E-05,1.95E-05,9.00E-05,0.000394
Bacteria;candidate division NC10;NA;NA;NA;NA;NA;,0.000198,0.000134603,3.26E-05,7.20E-05,0.000684
Bacteria;Candidatus Kapabacteria;NA;NA;NA;NA;NA;,0.000189176,0.000125433,3.04E-05,6.70E-05,0.000579
Bacteria;Candidatus Doudnabacteria;NA;NA;NA;NA;NA;,0.000186471,9.05E-05,2.19E-05,5.80E-05,0.000367
Bacteria;Candidatus Taylorbacteria;NA;NA;NA;NA;NA;,0.000180412,0.00019854,4.82E-05,2.20E-05,0.000723
Bacteria;Candidatus Kryptonia;NA;NA;NA;NA;NA;,0.000175824,6.06E-05,1.47E-05,8.20E-05,0.000277
Archaea;Candidatus Lokiarchaeota;NA;NA;NA;NA;NA;,0.000174529,7.35E-05,1.78E-05,0.000115,0.000401
Eukaryota;Heterolobosea;NA;NA;NA;NA;NA;,0.000173235,0.000146256,3.55E-05,2.40E-05,0.000486
Bacteria;Candidatus Kerfeldbacteria;NA;NA;NA;NA;NA;,0.000172529,9.24E-05,2.24E-05,4.10E-05,0.000394
Archaea;Thaumarchaeota;NA;NA;NA;NA;NA;,0.000170588,8.68E-05,2.10E-05,5.40E-05,0.000388
Bacteria;Candidatus Gottesmanbacteria;NA;NA;NA;NA;NA;,0.000167471,8.15E-05,1.98E-05,5.40E-05,0.000354
Bacteria;Candidatus Eisenbacteria;NA;NA;NA;NA;NA;,0.000163353,7.46E-05,1.81E-05,6.60E-05,0.00036
Bacteria;Candidatus Hydrothermae;NA;NA;NA;NA;NA;,0.000161471,8.75E-05,2.12E-05,5.60E-05,0.00037
Archaea;Candidatus Thorarchaeota;NA;NA;NA;NA;NA;,0.000160941,6.30E-05,1.53E-05,7.00E-05,0.000308
Bacteria;Candidatus Schekmanbacteria;NA;NA;NA;NA;NA;,0.000158588,0.000127296,3.09E-05,6.10E-05,0.000576
Bacteria;Candidatus Gracilibacteria;NA;NA;NA;NA;NA;,0.000156059,0.000166311,4.03E-05,3.60E-05,0.000778
Bacteria;Candidatus Sumerlaeota;NA;NA;NA;NA;NA;,0.000154471,8.17E-05,1.98E-05,5.60E-05,0.000333
Bacteria;Candidatus Buchananbacteria;NA;NA;NA;NA;NA;,0.000154176,0.000129084,3.13E-05,4.20E-05,0.000582
Eukaryota;Perkinsozoa;NA;NA;NA;NA;NA;,0.000144941,0.000177227,4.30E-05,1.00E-05,0.000787
Bacteria;Candidatus Vogelbacteria;NA;NA;NA;NA;NA;,0.000143529,0.000151359,3.67E-05,1.40E-05,0.000507
Bacteria;candidate division CPR2;NA;NA;NA;NA;NA;,0.000143,0.000199353,4.84E-05,3.70E-05,0.000867
Bacteria;Candidatus Nealsonbacteria;NA;NA;NA;NA;NA;,0.000142529,8.39E-05,2.03E-05,1.30E-05,0.000392
Bacteria;Candidatus Desantisbacteria;NA;NA;NA;NA;NA;,0.000137294,6.64E-05,1.61E-05,3.70E-05,0.000282
Bacteria;Candidatus Woesebacteria;NA;NA;NA;NA;NA;,0.000130765,4.97E-05,1.20E-05,3.50E-05,0.000226
Bacteria;Candidatus Shapirobacteria;NA;NA;NA;NA;NA;,0.000129765,9.76E-05,2.37E-05,3.20E-05,0.000431
Bacteria;Candidatus Zambryskibacteria;NA;NA;NA;NA;NA;,0.000126765,0.00018092,4.39E-05,1.60E-05,0.000736
Archaea;Candidatus Altiarchaeota;NA;NA;NA;NA;NA;,0.000126294,0.000108984,2.64E-05,1.60E-05,0.000401
Bacteria;Candidatus Staskawiczbacteria;NA;NA;NA;NA;NA;,0.000126176,0.00011876,2.88E-05,1.90E-05,0.000395
Bacteria;Candidatus Yanofskybacteria;NA;NA;NA;NA;NA;,0.000123588,7.43E-05,1.80E-05,4.40E-05,0.000373
Bacteria;Candidatus Handelsmanbacteria;NA;NA;NA;NA;NA;,0.000122176,0.000112802,2.74E-05,1.60E-05,0.000398
Bacteria;Candidatus Pacebacteria;NA;NA;NA;NA;NA;,0.000121882,7.91E-05,1.92E-05,4.80E-05,0.000305
Bacteria;Candidatus Harrisonbacteria;NA;NA;NA;NA;NA;,0.000120529,0.000170831,4.14E-05,1.40E-05,0.000707
Bacteria;Candidatus Raymondbacteria;NA;NA;NA;NA;NA;,0.000117765,8.75E-05,2.12E-05,2.70E-05,0.000376
Bacteria;Candidatus Berkelbacteria;NA;NA;NA;NA;NA;,0.000115882,6.02E-05,1.46E-05,3.80E-05,0.00028
Bacteria;Candidatus Abyssubacteria;NA;NA;NA;NA;NA;,0.000115588,7.07E-05,1.71E-05,3.00E-05,0.000311
Bacteria;Coprothermobacterota;NA;NA;NA;NA;NA;,0.000113353,7.43E-05,1.80E-05,2.80E-05,0.000324
Bacteria;Candidatus Eremiobacteraeota;NA;NA;NA;NA;NA;,0.000110882,0.000147907,3.59E-05,3.40E-05,0.000669
Eukaryota;Discosea;NA;NA;NA;NA;NA;,0.000103176,8.19E-05,1.99E-05,1.40E-05,0.000339
Bacteria;Candidatus Aureabacteria;NA;NA;NA;NA;NA;,0.000101706,0.000214493,5.20E-05,1.30E-05,0.000925
Bacteria;Candidatus Delongbacteria;NA;NA;NA;NA;NA;,0.000100353,6.28E-05,1.52E-05,3.50E-05,0.000253
Bacteria;Candidatus Komeilibacteria;NA;NA;NA;NA;NA;,9.89E-05,9.40E-05,2.28E-05,3.00E-06,0.000311
Bacteria;Candidatus Daviesbacteria;NA;NA;NA;NA;NA;,9.66E-05,5.37E-05,1.30E-05,3.40E-05,0.000228
Bacteria;Candidatus Levybacteria;NA;NA;NA;NA;NA;,9.66E-05,4.34E-05,1.05E-05,3.70E-05,0.000175
Bacteria;Candidatus Firestonebacteria;NA;NA;NA;NA;NA;,9.61E-05,7.26E-05,1.76E-05,1.80E-05,0.000277
Archaea;Candidatus Heimdallarchaeota;NA;NA;NA;NA;NA;,9.44E-05,5.86E-05,1.42E-05,2.30E-05,0.000205
Eukaryota;Cryptomycota;NA;NA;NA;NA;NA;,9.17E-05,8.84E-05,2.14E-05,7.00E-06,0.000373
Bacteria;Candidatus Wolfebacteria;NA;NA;NA;NA;NA;,9.15E-05,9.72E-05,2.36E-05,7.00E-06,0.000326
Bacteria;Candidatus Goldbacteria;NA;NA;NA;NA;NA;,7.12E-05,6.80E-05,1.65E-05,9.00E-06,0.000251
Eukaryota;Blastocladiomycota;NA;NA;NA;NA;NA;,6.94E-05,6.40E-05,1.55E-05,1.10E-05,0.000218
Archaea;Candidatus Aenigmarchaeota;NA;NA;NA;NA;NA;,6.63E-05,0.000113397,2.75E-05,1.10E-05,0.000493
Bacteria;Candidatus Ryanbacteria;NA;NA;NA;NA;NA;,6.55E-05,5.86E-05,1.42E-05,5.00E-06,0.000263
Eukaryota;Endomyxa;NA;NA;NA;NA;NA;,6.51E-05,6.28E-05,1.52E-05,7.00E-06,0.000209
Bacteria;Candidatus Coatesbacteria;NA;NA;NA;NA;NA;,6.46E-05,4.23E-05,1.03E-05,3.50E-05,0.000222
Bacteria;Candidatus Kuenenbacteria;NA;NA;NA;NA;NA;,6.26E-05,6.23E-05,1.51E-05,2.00E-06,0.000213
Bacteria;Candidatus Edwardsbacteria;NA;NA;NA;NA;NA;,6.17E-05,3.53E-05,8.56E-06,2.10E-05,0.000158
Archaea;Candidatus Micrarchaeota;NA;NA;NA;NA;NA;,6.14E-05,3.31E-05,8.02E-06,2.50E-05,0.000139
Bacteria;Candidatus Campbellbacteria;NA;NA;NA;NA;NA;,5.84E-05,5.27E-05,1.28E-05,3.00E-06,0.000182
Bacteria;Candidatus Dormibacteraeota;NA;NA;NA;NA;NA;,5.73E-05,3.22E-05,7.80E-06,1.40E-05,0.000116
Eukaryota;Foraminifera;NA;NA;NA;NA;NA;,5.67E-05,4.75E-05,1.15E-05,1.10E-05,0.000205
Bacteria;Candidatus Portnoybacteria;NA;NA;NA;NA;NA;,5.55E-05,3.44E-05,8.35E-06,8.00E-06,0.000131
Bacteria;Candidatus Giovannonibacteria;NA;NA;NA;NA;NA;,5.33E-05,4.49E-05,1.09E-05,7.00E-06,0.000164
Bacteria;Candidatus Woykebacteria;NA;NA;NA;NA;NA;,5.11E-05,3.32E-05,8.05E-06,1.90E-05,0.000151
Bacteria;candidate division KD3-62;NA;NA;NA;NA;NA;,5.09E-05,3.44E-05,8.36E-06,9.00E-06,0.000125
Bacteria;Abditibacteriota;NA;NA;NA;NA;NA;,4.85E-05,4.81E-05,1.17E-05,4.00E-06,0.000184
Bacteria;candidate division LCP-89;NA;NA;NA;NA;NA;,4.83E-05,3.73E-05,9.05E-06,2.00E-06,0.000166
Bacteria;Candidatus Jorgensenbacteria;NA;NA;NA;NA;NA;,4.46E-05,3.82E-05,9.26E-06,2.00E-06,0.000166
Archaea;Candidatus Korarchaeota;NA;NA;NA;NA;NA;,4.43E-05,2.88E-05,7.00E-06,1.30E-05,0.000105
Bacteria;Candidatus Sungbacteria;NA;NA;NA;NA;NA;,4.40E-05,2.85E-05,6.90E-06,1.00E-05,9.90E-05
Bacteria;Candidatus Amesbacteria;NA;NA;NA;NA;NA;,4.11E-05,4.72E-05,1.15E-05,7.00E-06,0.000192
Bacteria;Candidatus Collierbacteria;NA;NA;NA;NA;NA;,4.11E-05,5.86E-05,1.42E-05,4.00E-06,0.000257
Bacteria;Candidatus Lloydbacteria;NA;NA;NA;NA;NA;,4.02E-05,3.20E-05,7.75E-06,8.00E-06,0.000121
Bacteria;Candidatus Beckwithbacteria;NA;NA;NA;NA;NA;,3.86E-05,2.22E-05,5.39E-06,6.00E-06,8.80E-05
Bacteria;Candidatus Fischerbacteria;NA;NA;NA;NA;NA;,3.72E-05,6.66E-05,1.62E-05,0,0.000267
Bacteria;Candidatus Microgenomates;NA;NA;NA;NA;NA;,3.39E-05,3.18E-05,7.71E-06,2.00E-06,0.000126
Bacteria;candidate division CPR3;NA;NA;NA;NA;NA;,2.91E-05,2.41E-05,5.84E-06,0,8.80E-05
Bacteria;Candidatus Wildermuthbacteria;NA;NA;NA;NA;NA;,2.66E-05,2.35E-05,5.69E-06,0,7.90E-05
