"AUC","Number","ID","Season","Sex","Antibiotics","Substrate","Diet","Mom","Mom_Location","BodyMass","BodyTemp","Ketones"
-0.0239153396000032,4043,"S24","Summer","Male","No","Saline",1,"3954","Tumbledown",175,36,NA
-2.72766666571499,4038,"S31","Summer","Female","Yes","Saline",1,"3956","Tumbledown",207,31,NA
-0.749500001189999,4036,"S32","Summer","Female","No","Saline",1,"3956","Tumbledown",211,34,NA
-3.96600000823,4019,"S39","Summer","Female","Yes","Saline",1,"3947","Tumbledown",211,33.5,NA
4.62916667561,4126,"S47","Summer","Female","No","Saline",2,"4065","AgStation",162,36,0.6
-2.875916671835,4142,"S48","Summer","Male","No","Saline",2,"4061","AgStation",143,34,0.3
-3.187166674395,4081,"S53","Summer","Female","Yes","Saline",2,"4072","AgStation",160.8,35,0.6
-3.721833341355,4097,"S54","Summer","Female","Yes","Saline",2,"4067","AgStation",159.2,37,0.4
-1.698666672125,4089,"S56","Summer","Male","Yes","Saline",2,"4064","AgStation",166.2,37,0
-2.281000000825,4056,"W04","Winter","Male","Yes","Saline",1,"3945","AgStation",157.5,37,2.4
-0.917166666874997,3986,"W08","Winter","Female","Yes","Saline",1,"3961","AgStation",142,38,2.1
-0.565166666790004,4042,"W15","Winter","Female","Yes","Saline",1,"3956","AgStation",137.3,37.5,2.8
-0.371999999084999,4035,"W17","Winter","Male","Yes","Saline",1,"3949","AgStation",150.3,38,1.3
-0.507500000734998,3997,"W20","Winter","Female","No","Saline",1,"3948","AgStation",128.6,37,1.3
1.130166675155,4011,"W21","Winter","Male","No","Saline",1,"3957","AgStation",141.8,36.5,1.2
-1.195333332235,3970,"W22","Winter","Male","No","Saline",1,"3958","AgStation",185.8,36,1.2
0.635500004150002,4017,"W36","Winter","Female","No","Saline",1,"3947","AgStation",133.6,37,1.4
-0.305499995024998,4004,"W37","Winter","Male","No","Saline",1,"3955","AgStation",134.6,36,1.5
2.937416668765,4152,"W41","Winter","Female","No","Saline",2,"4063","AgStation",101.5,36.5,5.5
-4.86266667255,4117,"W47","Winter","Female","Yes","Saline",2,"4070","AgStation",132.5,37,1.4
