"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"29","Bacteria;Thermotogae;Thermotogae;NA;NA;NA;NA;","0.003349","0.003303","0.00243","0.002797","0.002234","0.002408","0.00243","0.003902","0.003118","0.002304","0.002346","0.002922","0.002849","0.002777","0.002559","0.001047","0.002598","0.002532"
"30","Archaea;Euryarchaeota;Thermoplasmata;NA;NA;NA;NA;","0.003305","0.003434","0.002675","0.003103","0.002482","0.002497","0.002026","0.002721","0.001514","0.002489","0.003241","0.003542","0.00337","0.002899","0.002564","0.000372","0.002611","0.001732"
"31","Bacteria;Chlamydiae;Chlamydiia;NA;NA;NA;NA;","0.003141","0.003541","0.003245","0.004465","0.003235","0.002588","0.003724","0.009542","0.003301","0.004248","0.003566","0.004273","0.003406","0.004612","0.002891","0.009007","0.005467","0.004113"
"32","Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;","0.002525","0.004086","0.00684","0.003719","0.003619","0.001435","0.002423","0.011582","0.003546","0.003098","0.003412","0.003376","0.002954","0.00279","0.00166","0.001391","0.003356","0.003555"
"33","Bacteria;Deinococcus-Thermus;Deinococci;NA;NA;NA;NA;","0.002486","0.001008","0.001651","0.001777","0.001391","0.001379","0.001426","0.004327","0.00201","0.0017","0.00187","0.001685","0.001695","0.00129","0.001306","0.000781","0.001577","0.002067"
"34","Archaea;Euryarchaeota;Methanobacteria;NA;NA;NA;NA;","0.002472","0.001904","0.001957","0.002716","0.002526","0.004103","0.001415","0.001985","0.002235","0.001469","0.001923","0.002154","0.002542","0.001927","0.002706","0.000591","0.002313","0.001016"
"35","Bacteria;Planctomycetes;Planctomycetia;NA;NA;NA;NA;","0.002287","0.003462","0.002824","0.002466","0.003098","0.002072","0.001971","0.009412","0.003589","0.002498","0.002419","0.002347","0.001844","0.002036","0.001277","0.001144","0.003629","0.002856"
"36","Bacteria;Ignavibacteriae;Ignavibacteria;NA;NA;NA;NA;","0.002196","0.003007","0.002759","0.003811","0.002077","0.002232","0.002132","0.003421","0.003321","0.001914","0.003419","0.002726","0.00162","0.003317","0.002309","0.001497","0.005406","0.004002"
"37","Bacteria;Chloroflexi;Dehalococcoidia;NA;NA;NA;NA;","0.00193","0.001461","0.001589","0.002509","0.001562","0.001355","0.002199","0.000746","0.001311","0.002213","0.001489","0.002506","0.00236","0.002237","0.00081","0.000209","0.001632","0.000663"
"38","Bacteria;Proteobacteria;Oligoflexia;NA;NA;NA;NA;","0.001842","0.00144","0.001305","0.001837","0.001039","0.000764","0.000882","0.004068","0.00163","0.001419","0.001503","0.001366","0.001494","0.00103","0.000579","0.000438","0.002842","0.002465"
