"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"35","Eukaryota;Basidiomycota;NA;NA;NA;NA;NA;","0.001361","0.002132","0.002386","0.001024","0.001598","0.000692","0.001757","0.000527","0.001263","0.000541","0.000801","0.002121","0.00062","0.002915","0.000847","0.000413","0.000646","0.000883"
"36","Bacteria;Candidatus Marinimicrobia;NA;NA;NA;NA;NA;","0.001333","0.000872","0.000596","0.001114","0.000708","0.000384","0.000603","0.002037","0.001132","0.001113","0.001024","0.001161","0.000987","0.001604","0.000472","0.000322","0.001477","0.001334"
"37","Bacteria;Balneolaeota;NA;NA;NA;NA;NA;","0.001296","0.000875","0.001248","0.001861","0.001185","0.000926","0.00114","0.002469","0.00138","0.002238","0.001958","0.000954","0.0012","0.001759","0.001293","0.000466","0.003106","0.001735"
"38","Bacteria;Armatimonadetes;NA;NA;NA;NA;NA;","0.001245","0.000634","0.00067","0.00144","0.000741","0.000652","0.001026","0.002971","0.002012","0.001207","0.001594","0.000818","0.000807","0.000947","0.000418","0.000669","0.000922","0.0011"
"39","Bacteria;Gemmatimonadetes;NA;NA;NA;NA;NA;","0.001157","0.001894","0.001861","0.001471","0.001644","0.000891","0.001096","0.002909","0.001568","0.001255","0.00122","0.002043","0.001396","0.001261","0.000856","0.000472","0.001747","0.001571"
"40","Eukaryota;Apicomplexa;NA;NA;NA;NA;NA;","0.001018","0.002365","0.002816","0.000651","0.001298","0.000577","0.001007","0.000422","0.000268","0.000559","0.000825","0.002341","0.000246","0.002371","0.001118","0.000169","0.000899","0.000461"
"41","Bacteria;Aquificae;NA;NA;NA;NA;NA;","0.001","0.001113","0.001195","0.00119","0.001217","0.00136","0.000695","0.002814","0.001371","0.000856","0.000871","0.00108","0.001088","0.000947","0.00062","0.000403","0.001063","0.001044"
"42","Bacteria;Candidatus Cloacimonetes;NA;NA;NA;NA;NA;","0.000965","0.001189","0.001406","0.001055","0.001571","0.000518","0.000879","0.000811","0.001189","0.000557","0.001112","0.001044","0.000896","0.001282","0.000362","0.000928","0.000983","0.000681"
"43","Bacteria;Deferribacteres;NA;NA;NA;NA;NA;","0.000958","0.000799","0.001003","0.001017","0.000679","0.000776","0.001636","0.002527","0.001229","0.00078","0.001063","0.001183","0.000864","0.000997","0.000866","0.000444","0.00098","0.0011"
"44","Bacteria;Candidatus Peregrinibacteria;NA;NA;NA;NA;NA;","0.000949","0.000765","0.000823","0.000841","0.000471","0.000563","0.000732","0.002281","0.001075","0.000561","0.000794","0.001089","0.000737","0.001035","0.000622","0.000169","0.000697","0.001016"
