"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
59	"Bacteria"	"Candidatus Tectomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
57	"Bacteria"	"Candidatus Schekmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
56	"Bacteria"	"candidate division NC10"	"NA"	"NA"	"NA"	"NA"	"NA"
55	"Bacteria"	"Candidatus Goldbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
39	"Bacteria"	"Candidatus Fermentibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
53	"Bacteria"	"Candidatus Woesebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
49	"Eukaryota"	"Discosea"	"NA"	"NA"	"NA"	"NA"	"NA"
48	"Bacteria"	"Candidatus Giovannonibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
47	"Archaea"	"Candidatus Lokiarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
46	"Bacteria"	"Candidatus Sumerlaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
46	"Archaea"	"Candidatus Micrarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"Eukaryota"	"Endomyxa"	"NA"	"NA"	"NA"	"NA"	"NA"
45	"Bacteria"	"Candidatus Eisenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"Bacteria"	"Candidatus Gracilibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"Bacteria"	"Candidatus Raymondbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
43	"Eukaryota"	"Cryptomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
38	"Bacteria"	"Candidatus Daviesbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
38	"Bacteria"	"Candidatus Gottesmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
37	"Bacteria"	"Candidatus Berkelbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
33	"Bacteria"	"Candidatus Buchananbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
32	"Bacteria"	"Candidatus Kapabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
32	"Bacteria"	"Candidatus Lloydbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
32	"Bacteria"	"Candidatus Abyssubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Candidatus Eremiobacteraeota"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Candidatus Yanofskybacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Bacteria"	"Candidatus Ryanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
29	"Eukaryota"	"Perkinsozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Eukaryota"	"Foraminifera"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Bacteria"	"candidate division CPR2"	"NA"	"NA"	"NA"	"NA"	"NA"
27	"Bacteria"	"Candidatus Desantisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
27	"Archaea"	"Candidatus Altiarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
26	"Bacteria"	"Candidatus Sungbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
25	"Bacteria"	"Candidatus Vogelbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
25	"Bacteria"	"Candidatus Dormibacteraeota"	"NA"	"NA"	"NA"	"NA"	"NA"
23	"Bacteria"	"Candidatus Woykebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
22	"Bacteria"	"Candidatus Portnoybacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
21	"Bacteria"	"Candidatus Jorgensenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
21	"Bacteria"	"Candidatus Komeilibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
20	"Bacteria"	"Candidatus Delongbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"Bacteria"	"Candidatus Spechtbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"Bacteria"	"candidate division LCP-89"	"NA"	"NA"	"NA"	"NA"	"NA"
17	"Bacteria"	"Candidatus Amesbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
17	"Bacteria"	"Candidatus Coatesbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
16	"Bacteria"	"Candidatus Beckwithbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
16	"Bacteria"	"Candidatus Azambacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
15	"Bacteria"	"Candidatus Levybacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
14	"Bacteria"	"Candidatus Curtissbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
14	"Bacteria"	"Candidatus Handelsmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
13	"Bacteria"	"Candidatus Andersenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
13	"Archaea"	"Candidatus Verstraetearchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"Bacteria"	"candidate division KD3-62"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"Bacteria"	"Candidatus Kuenenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"Bacteria"	"Candidatus Edwardsbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"Bacteria"	"Candidatus Glassbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"Archaea"	"Candidatus Marsarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"Bacteria"	"Candidatus Aureabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
11	"Bacteria"	"Candidatus Microgenomates"	"NA"	"NA"	"NA"	"NA"	"NA"
11	"Bacteria"	"Candidatus Collierbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Cercozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
9	"Bacteria"	"Candidatus Fischerbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
9	"Bacteria"	"Candidatus Liptonbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"Archaea"	"Candidatus Korarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"Eukaryota"	"Imbricatea"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"Archaea"	"Candidatus Geothermarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
7	"Archaea"	"Candidatus Aenigmarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"Bacteria"	"Candidatus Campbellbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"Bacteria"	"Candidatus Wirthbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"Archaea"	"Candidatus Odinarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"Bacteria"	"Candidatus Wildermuthbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"Bacteria"	"Candidatus Cerribacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Bacteria"	"candidate division CPR3"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Bacteria"	"Candidatus Terrybacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Bacteria"	"Candidatus Veblenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Bacteria"	"Candidatus Yonathbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Candidatus Adlerbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Candidatus Lindowbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Candidatus Blackburnbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Candidatus Colwellbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Candidatus Niyogibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Candidatus Tagabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2	"Archaea"	"Nanoarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
2	"Archaea"	"Candidatus Diapherotrites"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Bacteria"	"Candidatus Fraserbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Bacteria"	"Candidatus Chisholmbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Bacteria"	"Candidatus Jacksonbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2562	"Viruses"	NA	NA	NA	NA	NA	NA
1970553	"cannot be assigned to a (non-viral) phylum"	NA	NA	NA	NA	NA	NA
18789953	"unclassified"	NA	NA	NA	NA	NA	NA
34974	"Bacteria"	"Firmicutes"	"Clostridia"	"NA"	"NA"	"NA"	"NA"
7255	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"NA"	"NA"	"NA"	"NA"
86	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"NA"	"NA"	"NA"	"NA"
4096	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"NA"	"NA"	"NA"	"NA"
1051	"Bacteria"	"Firmicutes"	"Bacilli"	"NA"	"NA"	"NA"	"NA"
6183	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"NA"	"NA"	"NA"	"NA"
346	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"NA"	"NA"	"NA"	"NA"
2520	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"NA"	"NA"	"NA"	"NA"
313	"Bacteria"	"Firmicutes"	"Negativicutes"	"NA"	"NA"	"NA"	"NA"
1329	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"NA"	"NA"	"NA"	"NA"
1416	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"
7	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"NA"	"NA"	"NA"	"NA"
15	"Bacteria"	"Tenericutes"	"Mollicutes"	"NA"	"NA"	"NA"	"NA"
64	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"NA"	"NA"	"NA"	"NA"
136	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"NA"	"NA"	"NA"	"NA"
1536	"Bacteria"	"Firmicutes"	"Tissierellia"	"NA"	"NA"	"NA"	"NA"
1065	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"NA"	"NA"	"NA"	"NA"
35	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"NA"	"NA"	"NA"	"NA"
198	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"NA"	"NA"	"NA"	"NA"
337	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"NA"	"NA"	"NA"	"NA"
2	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"NA"	"NA"	"NA"	"NA"
12	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"NA"	"NA"	"NA"	"NA"
217	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"NA"	"NA"	"NA"	"NA"
85	"Bacteria"	"Verrucomicrobia"	"Opitutae"	"NA"	"NA"	"NA"	"NA"
20	"Bacteria"	"Thermotogae"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"
477	"Bacteria"	"Ignavibacteriae"	"Ignavibacteria"	"NA"	"NA"	"NA"	"NA"
226	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"NA"	"NA"	"NA"	"NA"
52	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"NA"	"NA"	"NA"	"NA"
73	"Bacteria"	"Nitrospirae"	"Nitrospira"	"NA"	"NA"	"NA"	"NA"
