"Season","OTU","Mean","SD","SE"
"Summer","Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;NA;",4.83333333333333e-06,6.4005208121423e-06,2.61300167963547e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;NA;",8.33333333333333e-07,2.04124145231932e-06,8.33333333333334e-07
"Summer","Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;NA;",3.16666666666667e-06,2.85773803324704e-06,1.16666666666667e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;NA;",3.33333333333333e-06,3.44480284873702e-06,1.40633487398193e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;NA;",1.5e-06,1.97484176581315e-06,8.06225774829855e-07
"Summer","Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;NA;",1.43333333333333e-05,9.68848113311197e-06,3.95530585978435e-06
"Summer","Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus;NA;",4e-06,7.4565407529229e-06,3.0441200151549e-06
"Summer","Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus;NA;",2.5e-06,3.33166624979154e-06,1.36014705087354e-06
"Summer","Archaea;Euryarchaeota;Candidatus Methanofastidiosa;NA;NA;Candidatus Methanofastidiosum;NA;",0.000120166666666667,3.15937757583146e-05,1.28981049426306e-05
"Summer","Archaea;Euryarchaeota;Candidatus Methanoliparia;Candidatus Methanoliparales;Candidatus Methanoliparaceae;Candidatus Methanoliparum;NA;",8e-06,6.44980619863884e-06,2.63312235441753e-06
