,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Firmicutes;Clostridia;Candidatus Borkfalkiales;NA;NA;NA;,0.011825,0.029399,0.037259,0.022637,0.005811,0.007347,0.002529,0.002324,0.003070,0.033013,0.015593,0.027935,0.025901,0.022355,0.011199,0.000128,0.004253,0.002092
Bacteria;Candidatus Melainabacteria;NA;Candidatus Gastranaerophilales;NA;NA;NA;,0.011003,0.022309,0.021938,0.077393,0.048531,0.025437,0.116081,0.032718,0.117418,0.003970,0.041657,0.015312,0.024526,0.078316,0.027798,0.000244,0.028489,0.066654
Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;NA;NA;NA;,0.010107,0.009570,0.009642,0.049918,0.017464,0.007551,0.082989,0.021395,0.033591,0.002772,0.025222,0.007763,0.011464,0.020588,0.021197,0.000538,0.013997,0.025130
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA;NA;NA;,0.009705,0.006721,0.008622,0.008611,0.007237,0.005732,0.007721,0.015752,0.007876,0.009441,0.007398,0.009710,0.008882,0.008520,0.009496,0.002534,0.008081,0.007804
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;NA;NA;NA;,0.009138,0.009499,0.008858,0.012197,0.010803,0.007265,0.008206,0.014158,0.010244,0.008953,0.010233,0.009204,0.008088,0.011272,0.005726,0.007788,0.011980,0.010748
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;NA;NA;NA;,0.008552,0.009932,0.010986,0.012380,0.007885,0.009324,0.004360,0.012741,0.006744,0.015486,0.010698,0.009475,0.012278,0.008281,0.012516,0.001513,0.003816,0.003998
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;NA;NA;NA;,0.008117,0.005909,0.009528,0.008625,0.005077,0.003995,0.006787,0.018553,0.008466,0.008805,0.008856,0.008527,0.006297,0.008164,0.005281,0.003328,0.012523,0.012333
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;NA;NA;NA;,0.007159,0.020397,0.007199,0.007810,0.005842,0.005840,0.005187,0.005933,0.006544,0.009038,0.007038,0.010230,0.008148,0.006183,0.006324,0.002641,0.006809,0.004190
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA;,0.006212,0.004088,0.006993,0.006076,0.005738,0.005587,0.006846,0.020473,0.004771,0.005207,0.005472,0.006508,0.008310,0.007054,0.004457,0.002991,0.004824,0.015556
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;NA;NA;NA;,0.005953,0.008229,0.007155,0.007416,0.006145,0.006224,0.006195,0.024427,0.009543,0.008465,0.007426,0.007447,0.007405,0.006455,0.004841,0.005044,0.007095,0.007462
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;NA;NA;NA;,0.005689,0.005165,0.005535,0.005582,0.004794,0.003948,0.005202,0.007973,0.008417,0.005490,0.006122,0.004778,0.005630,0.006312,0.004009,0.003719,0.008958,0.006760
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;NA;NA;NA;,0.005416,0.005238,0.005263,0.007604,0.006465,0.003195,0.013599,0.010519,0.006362,0.006980,0.007206,0.004772,0.004986,0.006983,0.004127,0.008060,0.010445,0.009560
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA;NA;,0.004941,0.010322,0.067683,0.025921,0.003011,0.003167,0.005908,0.009819,0.017994,0.005802,0.009782,0.020006,0.010733,0.052049,0.002821,0.001163,0.008820,0.008317
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;NA;NA;NA;,0.004923,0.004206,0.004852,0.005182,0.004670,0.004133,0.004842,0.011169,0.007191,0.005674,0.004870,0.004799,0.005324,0.005089,0.003776,0.003925,0.007644,0.006170
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;NA;NA;NA;,0.004668,0.004324,0.004725,0.005909,0.005437,0.005502,0.006224,0.036795,0.010304,0.006936,0.005035,0.004917,0.004823,0.008365,0.004605,0.003131,0.005926,0.004613
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;NA;NA;NA;,0.004458,0.003986,0.004755,0.004850,0.004086,0.004569,0.004904,0.007843,0.008622,0.005079,0.004325,0.004905,0.003366,0.004377,0.002786,0.001634,0.006485,0.009400
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;NA;NA;NA;,0.004379,0.003400,0.004523,0.003990,0.004867,0.003193,0.005901,0.010423,0.006599,0.004301,0.003891,0.003340,0.004076,0.004453,0.002859,0.003447,0.007268,0.008122
Bacteria;Firmicutes;Clostridia;Halanaerobiales;NA;NA;NA;,0.003949,0.004083,0.003967,0.004949,0.003878,0.004016,0.003261,0.003627,0.003324,0.004410,0.003304,0.004137,0.004252,0.003414,0.004666,0.001409,0.003938,0.002430
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;NA;NA;NA;,0.003914,0.004348,0.007059,0.004401,0.006715,0.003791,0.004437,0.009270,0.006676,0.003831,0.004653,0.004423,0.004200,0.004226,0.003704,0.002275,0.005178,0.005999
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;NA;NA;NA;,0.003574,0.003826,0.004300,0.005135,0.004306,0.003029,0.004721,0.008232,0.005196,0.003991,0.003314,0.004528,0.005626,0.003787,0.004189,0.003084,0.003180,0.005098
Bacteria;Bacteroidetes;Saprospiria;Saprospirales;NA;NA;NA;,0.003534,0.004167,0.003481,0.003961,0.005134,0.001906,0.002500,0.004533,0.006373,0.004210,0.003996,0.003439,0.002874,0.004918,0.001652,0.002553,0.007477,0.006180
Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;NA;NA;NA;,0.003375,0.004672,0.002908,0.004144,0.003049,0.002023,0.000801,0.001282,0.002343,0.002877,0.003077,0.003638,0.003015,0.002203,0.002199,0.000119,0.000989,0.000436
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;NA;NA;NA;,0.003250,0.003054,0.004169,0.003733,0.003468,0.002426,0.005860,0.009058,0.007801,0.002772,0.003465,0.002946,0.002654,0.003380,0.002427,0.004375,0.006793,0.006673
Eukaryota;Parabasalia;NA;Tritrichomonadida;NA;NA;NA;,0.003226,0.004130,0.009349,0.003704,0.000819,0.000216,0.000647,0.000709,0.000339,0.002845,0.010321,0.002043,0.000481,0.003791,0.000743,0.000072,0.001156,0.000244
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;NA;NA;NA;,0.003201,0.002176,0.003030,0.003153,0.002273,0.001920,0.001974,0.006108,0.002970,0.001990,0.002566,0.003018,0.002622,0.002840,0.002341,0.000803,0.003106,0.002360
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;NA;NA;NA;,0.003148,0.002776,0.002877,0.002849,0.002529,0.002898,0.004129,0.007128,0.004415,0.002615,0.002916,0.003551,0.002705,0.002396,0.002400,0.002944,0.003899,0.003883
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;NA;NA;NA;,0.003002,0.003436,0.001695,0.004158,0.001158,0.002445,0.001963,0.001747,0.001981,0.003361,0.002080,0.005973,0.005455,0.002283,0.001338,0.000222,0.002056,0.001449
Bacteria;Cyanobacteria;NA;Nostocales;NA;NA;NA;,0.002710,0.001503,0.002776,0.001461,0.001537,0.002326,0.001191,0.002219,0.001140,0.000977,0.001444,0.001447,0.001898,0.002476,0.003012,0.001850,0.001587,0.000953
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;NA;NA;NA;,0.002673,0.002559,0.002058,0.001899,0.001683,0.002124,0.001449,0.001883,0.001975,0.001896,0.001297,0.002524,0.001901,0.002140,0.002076,0.000434,0.001625,0.001711
Eukaryota;Parabasalia;NA;Trichomonadida;NA;NA;NA;,0.002657,0.001996,0.008403,0.002999,0.000408,0.000176,0.000467,0.000545,0.000237,0.002362,0.008349,0.001676,0.000388,0.002249,0.000282,0.000059,0.001516,0.000203
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;NA;NA;NA;,0.002479,0.002852,0.002010,0.001982,0.001796,0.001723,0.001121,0.001455,0.000752,0.002136,0.002517,0.002585,0.002655,0.001717,0.001834,0.000153,0.000915,0.000831
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;NA;NA;NA;,0.002472,0.001904,0.001957,0.002716,0.002526,0.004103,0.001415,0.001985,0.002235,0.001469,0.001923,0.002154,0.002542,0.001927,0.002706,0.000591,0.002313,0.001016
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;NA;NA;NA;,0.002442,0.003012,0.002851,0.003961,0.002620,0.001763,0.003287,0.005985,0.002970,0.003509,0.003042,0.003364,0.002901,0.004252,0.002642,0.008732,0.004863,0.003275
Bacteria;Cyanobacteria;NA;Synechococcales;NA;NA;NA;,0.002261,0.003363,0.003385,0.002402,0.001659,0.004206,0.004426,0.003686,0.005133,0.002480,0.001783,0.001920,0.002724,0.002161,0.002457,0.000663,0.002637,0.004026
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;NA;NA;NA;,0.002143,0.002066,0.002956,0.002314,0.001507,0.002241,0.005228,0.007545,0.005649,0.001978,0.002426,0.002227,0.002528,0.002572,0.002038,0.005281,0.004966,0.004152
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;NA;NA;NA;,0.002109,0.004801,0.001813,0.002234,0.002404,0.001294,0.003761,0.004336,0.004016,0.002083,0.002304,0.001507,0.002352,0.006430,0.001703,0.003581,0.004249,0.003457
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;NA;NA;NA;,0.001979,0.001708,0.002233,0.002528,0.001886,0.001325,0.001482,0.002487,0.002292,0.002101,0.001951,0.002392,0.001510,0.002203,0.001317,0.000988,0.002753,0.002622
Eukaryota;Evosea;NA;Mastigamoebida;NA;NA;NA;,0.001956,0.002488,0.001493,0.000604,0.000355,0.000556,0.000107,0.000117,0.000633,0.000043,0.000133,0.001345,0.000051,0.001282,0.000121,0.000056,0.001140,0.000070
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;NA;NA;NA;,0.001896,0.003541,0.001515,0.002181,0.001667,0.001416,0.001985,0.003923,0.002682,0.002024,0.002105,0.002392,0.001689,0.002094,0.001365,0.000944,0.002190,0.001941
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;NA;NA;NA;,0.001893,0.001718,0.002496,0.002241,0.001703,0.001273,0.002397,0.004426,0.002642,0.001946,0.001773,0.001547,0.001491,0.002513,0.001631,0.002259,0.003279,0.002675
Bacteria;Thermotogae;Thermotogae;Petrotogales;NA;NA;NA;,0.001847,0.000760,0.000836,0.001228,0.000755,0.000755,0.000618,0.001636,0.001220,0.000753,0.000832,0.001017,0.000962,0.000959,0.000960,0.000219,0.001259,0.001082
Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;NA;NA;NA;,0.001639,0.001257,0.001642,0.000558,0.000890,0.000544,0.000717,0.000472,0.000419,0.000408,0.000972,0.000933,0.001039,0.001278,0.001864,0.000131,0.000251,0.000223
Bacteria;Cyanobacteria;NA;Oscillatoriales;NA;NA;NA;,0.001616,0.001467,0.001804,0.001730,0.000877,0.001381,0.000893,0.002348,0.002175,0.001118,0.001958,0.001228,0.001441,0.001194,0.000944,0.000538,0.001339,0.001851
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;NA;NA;NA;,0.001609,0.000335,0.000762,0.000582,0.000295,0.000356,0.000489,0.001630,0.000599,0.000703,0.000482,0.000469,0.000855,0.000457,0.000375,0.000219,0.000581,0.000667
Bacteria;Chlorobi;Chlorobia;Chlorobiales;NA;NA;NA;,0.001567,0.002190,0.001716,0.002661,0.001667,0.000942,0.000985,0.003735,0.002124,0.001723,0.002461,0.001631,0.001233,0.001944,0.001360,0.000725,0.003649,0.003178
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;NA;NA;NA;,0.001465,0.001048,0.001817,0.001597,0.000811,0.000692,0.001029,0.002684,0.001166,0.001342,0.001115,0.001264,0.001146,0.000934,0.001703,0.000472,0.001192,0.001089
Bacteria;Spirochaetes;Spirochaetia;Leptospirales;NA;NA;NA;,0.001430,0.001142,0.001401,0.001400,0.000724,0.000771,0.002570,0.001356,0.004848,0.001111,0.001189,0.000999,0.001358,0.001278,0.001352,0.000388,0.001905,0.002647
Bacteria;Verrucomicrobia;Opitutae;Opitutales;NA;NA;NA;,0.001421,0.001962,0.003604,0.002153,0.002353,0.000851,0.001408,0.005322,0.002209,0.001944,0.001794,0.001685,0.001940,0.001805,0.001081,0.000813,0.001982,0.001865
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;NA;NA;,0.001377,0.001888,0.001826,0.002079,0.001571,0.001472,0.001210,0.004527,0.001836,0.001262,0.001668,0.001935,0.001833,0.001835,0.002183,0.000525,0.001378,0.001561
Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;NA;NA;NA;,0.001366,0.001076,0.000753,0.001316,0.000645,0.000595,0.000548,0.003261,0.001097,0.000862,0.001168,0.000918,0.001037,0.000549,0.000440,0.000269,0.001956,0.001746
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;NA;NA;NA;,0.001354,0.001399,0.001322,0.001407,0.001242,0.001369,0.002202,0.002028,0.001699,0.001063,0.001119,0.001198,0.001457,0.002002,0.000847,0.001056,0.001831,0.001924
Bacteria;Balneolaeota;Balneolia;Balneolales;NA;NA;NA;,0.001248,0.000804,0.001187,0.001663,0.000914,0.000860,0.001062,0.002382,0.001328,0.002101,0.001937,0.000846,0.001013,0.001696,0.001172,0.000447,0.002817,0.001589
