KOID	P01	P07	P11	S07	S29	S34	W31	W32	W33	P03	P09	P12	S05	S08	S32	W20	W36	W37
K14262	0	0	0	0	3.46124E-06	0	0	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K14264	2.88672E-06	0	0	2.98442E-06	0	3.90016E-06	0	5.8372E-06	4.77548E-06	4.56951E-06	8.3212E-06	3.35989E-06	8.3208E-06	9.45917E-06	5.27939E-06	2.05821E-05	0	1.92955E-05
K14267	1.15469E-05	2.7468E-05	1.46158E-05	1.19377E-05	1.73062E-05	1.17005E-05	5.30895E-06	5.8372E-06	4.77548E-06	9.13901E-06	4.1606E-06	1.34396E-05	8.3208E-06	2.36479E-05	0	2.05821E-05	5.03875E-06	2.57273E-05
K14272	0	0	0	2.98442E-06	0	0	0	0	0	4.56951E-06	0	0	0	0	0	0	0	0
K14286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.43182E-06
K14287	6.35078E-05	2.7468E-05	7.30788E-05	4.77506E-05	6.23023E-05	4.29017E-05	0.000106179	7.00464E-05	3.82038E-05	6.39731E-05	4.57666E-05	5.03983E-05	4.36842E-05	5.6755E-05	1.58382E-05	3.08731E-05	7.55812E-05	7.075E-05
K14288	2.88672E-06	2.7468E-05	4.87192E-06	0	3.46124E-06	0	5.30895E-06	0	0	0	0	3.35989E-06	0	9.45917E-06	0	0	0	0
K14290	8.66016E-06	8.2404E-05	5.35911E-05	2.98442E-06	3.46124E-05	1.17005E-05	2.12358E-05	0	4.77548E-06	0	2.0803E-05	3.35989E-05	2.0802E-06	3.31071E-05	1.58382E-05	0	0	0
K14292	5.77344E-06	2.7468E-05	4.87192E-06	2.98442E-06	1.03837E-05	3.90016E-06	5.30895E-06	5.8372E-06	0	0	0	3.35989E-06	0	9.45917E-06	5.27939E-06	0	5.03875E-06	0
K14293	2.88672E-06	2.7468E-05	1.94877E-05	0	2.42287E-05	1.17005E-05	1.06179E-05	5.8372E-06	0	0	4.1606E-06	1.34396E-05	0	2.83775E-05	1.58382E-05	1.0291E-05	0	0
K14297	2.88672E-06	2.7468E-05	9.74383E-06	0	3.46124E-06	0	0	0	0	0	0	3.35989E-06	0	4.72959E-06	0	0	0	0
K14298	0	2.7468E-05	9.74383E-06	0	6.92248E-06	3.90016E-06	5.30895E-06	0	0	4.56951E-06	4.1606E-06	3.35989E-06	0	9.45917E-06	0	0	0	0
K14307	0	0	0	2.98442E-06	3.46124E-06	0	0	0	0	0	4.1606E-06	0	2.0802E-06	0	0	0	0	0
K14317	0	0	0	0	0	0	0	5.8372E-06	0	0	0	0	0	0	0	0	0	0
K14319	2.88672E-06	0	0	0	3.46124E-06	0	0	0	0	4.56951E-06	0	0	0	0	0	0	0	0
K14326	7.50547E-05	2.7468E-05	0.000146158	4.77506E-05	5.8841E-05	5.0702E-05	5.83985E-05	2.9186E-05	3.34284E-05	5.48341E-05	8.73726E-05	7.05576E-05	3.53634E-05	7.09438E-05	4.22351E-05	4.11641E-05	5.54262E-05	5.14546E-05
K14327	8.66016E-06	8.2404E-05	9.74383E-06	0	6.92248E-06	3.90016E-06	0	0	4.77548E-06	0	4.1606E-06	1.00797E-05	0	4.72959E-06	0	0	0	0
K14330	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14341	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14347	1.15469E-05	5.4936E-05	4.87192E-06	1.19377E-05	3.46124E-06	3.90016E-06	1.59269E-05	1.75116E-05	4.77548E-06	0	8.3212E-06	6.71978E-06	4.1604E-06	4.72959E-06	5.27939E-06	0	2.51937E-05	6.43182E-06
K14348	1.73203E-05	8.2404E-05	9.74383E-06	1.49221E-05	2.42287E-05	3.12012E-05	1.59269E-05	2.33488E-05	1.43264E-05	1.37085E-05	4.1606E-06	1.34396E-05	1.66416E-05	4.72959E-06	1.05588E-05	1.0291E-05	1.51162E-05	2.57273E-05
K14349	0	2.7468E-05	0	0	0	0	0	0	4.77548E-06	0	0	0	0	0	0	0	5.03875E-06	0
K14350	0	0	0	0	0	0	0	5.8372E-06	0	0	0	0	0	0	0	0	5.03875E-06	0
K14358	4.04141E-05	2.7468E-05	5.8463E-05	6.56571E-05	8.30697E-05	5.85023E-05	6.37075E-05	5.8372E-05	0.000105061	9.59596E-05	4.57666E-05	6.0478E-05	5.2005E-05	0.00010878	6.8632E-05	8.23282E-05	9.57362E-05	9.00455E-05
K14376	1.15469E-05	2.7468E-05	1.46158E-05	5.96883E-06	6.92248E-06	7.80031E-06	2.65448E-05	5.8372E-06	0	0	8.3212E-06	1.00797E-05	0	9.45917E-06	5.27939E-06	0	1.00775E-05	0
K14379	1.44336E-05	0.00013734	3.41034E-05	2.08909E-05	2.07674E-05	3.12012E-05	2.65448E-05	1.75116E-05	1.91019E-05	4.11256E-05	2.91242E-05	2.01593E-05	2.0802E-05	3.31071E-05	2.63969E-05	4.11641E-05	4.53487E-05	2.57273E-05
K14380	0	0	0	0	0	0	0	0	0	0	4.1606E-06	0	0	0	0	0	0	0
K14382	5.77344E-06	0	9.74383E-06	1.19377E-05	3.46124E-06	7.80031E-06	0	5.8372E-06	4.77548E-06	9.13901E-06	0	3.35989E-06	4.1604E-06	4.72959E-06	5.27939E-06	3.08731E-05	2.51937E-05	1.28636E-05
K14383	2.59805E-05	0.000164808	5.8463E-05	3.28286E-05	5.53798E-05	3.51014E-05	4.77806E-05	2.33488E-05	6.68567E-05	3.19865E-05	6.65696E-05	1.67994E-05	2.70426E-05	3.78367E-05	5.27939E-05	6.17462E-05	5.03875E-05	3.85909E-05
K14384	2.88672E-06	0	0	2.98442E-06	6.92248E-06	0	5.30895E-06	0	4.77548E-06	0	0	0	2.0802E-06	0	0	1.0291E-05	5.03875E-06	0
K14385	8.66016E-06	2.7468E-05	1.94877E-05	8.95325E-06	1.3845E-05	0	1.06179E-05	5.8372E-06	2.86529E-05	4.56951E-06	1.66424E-05	0	1.24812E-05	1.41888E-05	1.05588E-05	0	1.51162E-05	1.28636E-05
K14386	1.15469E-05	0	2.43596E-05	2.38753E-05	4.15349E-05	1.95008E-05	3.18537E-05	2.33488E-05	1.91019E-05	1.8278E-05	2.91242E-05	2.35192E-05	1.66416E-05	3.78367E-05	3.16763E-05	3.08731E-05	3.52712E-05	4.50227E-05
K14387	0	0	4.87192E-06	5.96883E-06	1.03837E-05	0	5.30895E-06	0	4.77548E-06	9.13901E-06	0	0	0	9.45917E-06	0	1.0291E-05	1.00775E-05	6.43182E-06
K14388	2.0207E-05	5.4936E-05	3.41034E-05	2.08909E-05	2.07674E-05	1.17005E-05	2.65448E-05	2.33488E-05	2.86529E-05	2.28475E-05	2.49636E-05	1.34396E-05	1.45614E-05	1.41888E-05	4.22351E-05	6.17462E-05	3.52712E-05	6.43182E-06
K14389	2.88672E-06	0	1.46158E-05	2.98442E-06	6.92248E-06	3.90016E-06	5.30895E-06	5.8372E-06	1.91019E-05	9.13901E-06	2.49636E-05	1.00797E-05	1.0401E-05	4.72959E-06	5.27939E-06	1.0291E-05	1.51162E-05	1.28636E-05
K14390	4.04141E-05	2.7468E-05	3.41034E-05	3.28286E-05	3.80736E-05	4.68019E-05	2.12358E-05	2.9186E-05	4.77548E-05	6.39731E-05	6.2409E-05	3.35989E-05	3.53634E-05	4.72959E-05	5.80732E-05	5.14552E-05	2.0155E-05	3.21591E-05
K14391	2.0207E-05	0	2.92315E-05	2.08909E-05	1.73062E-05	1.17005E-05	2.12358E-05	3.50232E-05	2.38774E-05	1.37085E-05	4.1606E-05	2.35192E-05	2.28822E-05	9.45917E-06	2.11175E-05	3.08731E-05	3.02325E-05	2.57273E-05
