A	B	C	D
09100	09101	00052	K01835
09100	09101	00052	K15778
09100	09101	00052	K15779
09100	09101	00052	K00844
09100	09101	00052	K12407
09100	09101	00052	K00845
09100	09101	00052	K25026
09100	09101	00052	K01084
09100	09101	00052	K01190
09100	09101	00052	K12111
09100	09101	00052	K12112
09100	09101	00052	K12308
09100	09101	00052	K12309
09100	09101	00052	K01229
09100	09101	00052	K00704
09100	09101	00052	K07966
09100	09101	00052	K07967
09100	09101	00052	K12447
09100	09101	00052	K01854
09100	09101	00052	K18819
09100	09101	00052	K06617
09100	09101	00052	K01189
09100	09101	00052	K07406
09100	09101	00052	K07407
09100	09101	00052	K00011
09100	09101	00052	K02773
09100	09101	00052	K02774
09100	09101	00052	K02775
09100	09101	00052	K00094
09100	09101	00052	K21620
09100	09101	00052	K21621
09100	09101	00052	K21622
09100	09101	00052	K00917
09100	09101	00052	K00850
09100	09101	00052	K16370
09100	09101	00052	K21071
09100	09101	00052	K01635
09100	09101	00052	K08302
09100	09101	00052	K16371
09100	09101	00052	K00035
09100	09101	00052	K22215
09100	09101	00052	K18124
09100	09101	00052	K18125
09100	09101	00052	K04618
09100	09101	00052	K01684
09100	09101	00052	K05308
09100	09101	00052	K11395
09100	09101	00052	K18127
09100	09101	00052	K00883
09100	09101	00052	K18126
09100	09101	00052	K01631
09100	09101	00052	K01819
09100	09101	00052	K01220
09100	09101	00052	K02786
09100	09101	00052	K02788
09100	09101	00052	K01193
09100	09101	00052	K06611
09100	09101	00052	K12047
09100	09101	00052	K01187
09100	09101	00052	K12316
09100	09101	00052	K12317
09100	09101	00052	K01182
09100	09101	00052	K01203
09100	09101	00052	K02744
09100	09101	00052	K02745
09100	09101	00052	K02746
09100	09101	00052	K02747
09100	09101	00052	K02079
09100	09101	00052	K02082
09100	09101	00052	K10984
09100	09101	00052	K10985
09100	09101	00052	K10986
09100	09101	00053	K00012
09100	09101	00053	K12447
09100	09101	00053	K16190
09100	09101	00053	K00699
09100	09101	00053	K01195
09100	09101	00053	K14756
09100	09101	00053	K00469
09100	09101	00053	K00002
09100	09101	00053	K01053
09100	09101	00053	K00103
09100	09101	00053	K10046
09100	09101	00053	K14190
09100	09101	00053	K10047
09100	09101	00053	K18649
09100	09101	00053	K00064
09100	09101	00053	K17744
09100	09101	00053	K00225
09100	09101	00053	K08679
09100	09101	00053	K19642
09100	09101	00053	K23003
09100	09101	00053	K23004
09100	09101	00053	K23005
09100	09101	00053	K23007
09100	09101	00053	K02821
09100	09101	00053	K02822
09100	09101	00053	K03475
09100	09101	00053	K03476
09100	09101	00053	K03078
09100	09101	00053	K03079
09100	09101	00053	K03077
09100	09101	00053	K08232
09100	09101	00053	K00434
09100	09101	00053	K21888
09100	09101	00053	K00423
09100	09101	00053	K08092
09100	09101	00053	K00880
09100	09101	00053	K00128
09100	09101	00053	K14085
09100	09101	00053	K00149
09100	09101	00053	K01706
09100	09101	00053	K01630
09100	09101	00053	K00062
09100	09101	00053	K00063
09100	09101	00053	K00107
09100	09101	00053	K19590
09100	09101	00053	K01683
09100	09101	00053	K14259
09100	09101	00053	K13873
09100	09101	00053	K19660
09100	09101	00053	K13874
09100	09101	00053	K24443
09100	09101	00053	K13875
09100	09101	00053	K13876
09100	09101	00053	K25260
09100	09101	00053	K13877
09100	09101	00053	K19588
09100	09101	00053	K01707
09100	09101	00053	K01708
09100	09101	00053	K20023
09100	09101	00053	K18981
09100	09101	00053	K18982
09100	09101	00053	K18983
09100	09101	00500	K02810
09100	09101	00500	K01193
09100	09101	00500	K00696
09100	09101	00500	K07024
09100	09101	00500	K00695
09100	09101	00500	K12047
09100	09101	00500	K01187
09100	09101	00500	K12316
09100	09101	00500	K12317
09100	09101	00500	K01203
09100	09101	00500	K20811
09100	09101	00500	K00692
09100	09101	00500	K18775
09100	09101	00500	K01212
09100	09101	00500	K05341
09100	09101	00500	K00689
09100	09101	00500	K00690
09100	09101	00500	K00963
09100	09101	00500	K01513
09100	09101	00500	K00706
09100	09101	00500	K01199
09100	09101	00500	K19891
09100	09101	00500	K19892
09100	09101	00500	K19893
09100	09101	00500	K01210
09100	09101	00500	K01188
09100	09101	00500	K05349
09100	09101	00500	K05350
09100	09101	00500	K00694
09100	09101	00500	K01179
09100	09101	00500	K19357
09100	09101	00500	K01225
09100	09101	00500	K19668
09100	09101	00500	K00702
09100	09101	00500	K02759
09100	09101	00500	K02760
09100	09101	00500	K02761
09100	09101	00500	K01222
09100	09101	00500	K01223
09100	09101	00500	K00978
09100	09101	00500	K00975
09100	09101	00500	K18447
09100	09101	00500	K00703
09100	09101	00500	K13679
09100	09101	00500	K20812
09100	09101	00500	K00693
09100	09101	00500	K00750
09100	09101	00500	K16150
09100	09101	00500	K16153
09100	09101	00500	K00700
09100	09101	00500	K16149
09100	09101	00500	K00688
09100	09101	00500	K01196
09100	09101	00500	K02438
09100	09101	00500	K01200
09100	09101	00500	K01176
09100	09101	00500	K07405
09100	09101	00500	K05343
09100	09101	00500	K01177
09100	09101	00500	K05992
09100	09101	00500	K01208
09100	09101	00500	K01178
09100	09101	00500	K21574
09100	09101	00500	K01182
09100	09101	00500	K05988
09100	09101	00500	K00705
09100	09101	00500	K22451
09100	09101	00500	K16146
09100	09101	00500	K16147
09100	09101	00500	K16148
09100	09101	00500	K00691
09100	09101	00500	K01838
09100	09101	00500	K02777
09100	09101	00500	K02791
09100	09101	00500	K20108
09100	09101	00500	K02750
09100	09101	00500	K06896
09100	09101	00500	K01232
09100	09101	00500	K00701
09100	09101	00500	K01214
09100	09101	00500	K06044
09100	09101	00500	K01236
09100	09101	00500	K13057
09100	09101	00500	K00697
09100	09101	00500	K01087
09100	09101	00500	K16055
09100	09101	00500	K22337
09100	09101	00500	K01194
09100	09101	00500	K22934
09100	09101	00500	K05342
09100	09101	00500	K02819
09100	09101	00500	K01226
09100	09101	00500	K01835
09100	09101	00500	K15778
09100	09101	00500	K15779
09100	09101	00500	K00844
09100	09101	00500	K12407
09100	09101	00500	K00845
09100	09101	00500	K25026
09100	09101	00500	K01084
09100	09101	00500	K11809
09100	09101	00500	K01810
09100	09101	00500	K06859
09100	09101	00500	K13810
09100	09101	00500	K15916
09100	09101	00500	K00847
09100	09101	00520	K01183
09100	09101	00520	K20547
09100	09101	00520	K13381
09100	09101	00520	K01207
09100	09101	00520	K12373
09100	09101	00520	K18675
09100	09101	00520	K01452
09100	09101	00520	K01233
09100	09101	00520	K15855
09100	09101	00520	K02777
09100	09101	00520	K02804
09100	09101	00520	K00884
09100	09101	00520	K01443
09100	09101	00520	K02564
09100	09101	00520	K02765
09100	09101	00520	K00844
09100	09101	00520	K18676
09100	09101	00520	K00847
09100	09101	00520	K00820
09100	09101	00520	K00621
09100	09101	00520	K01836
09100	09101	00520	K03431
09100	09101	00520	K18674
09100	09101	00520	K04042
09100	09101	00520	K11528
09100	09101	00520	K00972
09100	09101	00520	K23144
09100	09101	00520	K11192
09100	09101	00520	K07106
09100	09101	00520	K09001
09100	09101	00520	K22292
09100	09101	00520	K07102
09100	09101	00520	K00992
09100	09101	00520	K00790
09100	09101	00520	K00075
09100	09101	00520	K12409
09100	09101	00520	K08068
09100	09101	00520	K00885
09100	09101	00520	K13967
09100	09101	00520	K01787
09100	09101	00520	K01788
09100	09101	00520	K05304
09100	09101	00520	K01097
09100	09101	00520	K01654
09100	09101	00520	K01639
09100	09101	00520	K21749
09100	09101	00520	K00983
09100	09101	00520	K08080
09100	09101	00520	K00326
09100	09101	00520	K00698
09100	09101	00520	K01791
09100	09101	00520	K02472
09100	09101	00520	K13015
09100	09101	00520	K22926
09100	09101	00520	K13016
09100	09101	00520	K13020
09100	09101	00520	K13017
09100	09101	00520	K13018
09100	09101	00520	K13019
09100	09101	00520	K02473
09100	09101	00520	K02474
09100	09101	00520	K22925
09100	09101	00520	K15894
09100	09101	00520	K15895
09100	09101	00520	K15896
09100	09101	00520	K15897
09100	09101	00520	K15898
09100	09101	00520	K15899
09100	09101	00520	K15912
09100	09101	00520	K15910
09100	09101	00520	K15913
09100	09101	00520	K18429
09100	09101	00520	K18430
09100	09101	00520	K18431
09100	09101	00520	K21279
09100	09101	00520	K21055
09100	09101	00520	K21750
09100	09101	00520	K12446
09100	09101	00520	K12447
09100	09101	00520	K13379
09100	09101	00520	K01209
09100	09101	00520	K15921
09100	09101	00520	K20844
09100	09101	00520	K16190
09100	09101	00520	K10011
09100	09101	00520	K07806
09100	09101	00520	K10012
09100	09101	00520	K13014
09100	09101	00520	K08678
09100	09101	00520	K12449
09100	09101	00520	K00770
09100	09101	00520	K15920
09100	09101	00520	K01198
09100	09101	00520	K22268
09100	09101	00520	K12448
09100	09101	00520	K02779
09100	09101	00520	K02791
09100	09101	00520	K20118
09100	09101	00520	K00845
09100	09101	00520	K25026
09100	09101	00520	K12407
09100	09101	00520	K00886
09100	09101	00520	K01835
09100	09101	00520	K15778
09100	09101	00520	K15779
09100	09101	00520	K00963
09100	09101	00520	K12450
09100	09101	00520	K12451
09100	09101	00520	K00012
09100	09101	00520	K06118
09100	09101	00520	K00849
09100	09101	00520	K00965
09100	09101	00520	K01784
09100	09101	00520	K01854
09100	09101	00520	K17716
09100	09101	00520	K08679
09100	09101	00520	K18677
09100	09101	00520	K13648
09100	09101	00520	K02793
09100	09101	00520	K02794
09100	09101	00520	K02795
09100	09101	00520	K02796
09100	09101	00520	K01810
09100	09101	00520	K06859
09100	09101	00520	K13810
09100	09101	00520	K15916
09100	09101	00520	K01809
09100	09101	00520	K17497
09100	09101	00520	K01840
09100	09101	00520	K16881
09100	09101	00520	K00966
09100	09101	00520	K00971
09100	09101	00520	K16011
09100	09101	00520	K01711
09100	09101	00520	K15856
09100	09101	00520	K22252
09100	09101	00520	K13010
09100	09101	00520	K17939
09100	09101	00520	K02377
09100	09101	00520	K10046
09100	09101	00520	K00066
09100	09101	00520	K05305
09100	09101	00520	K00976
09100	09101	00520	K25314
09100	09101	00520	K25315
09100	09101	00520	K00978
09100	09101	00520	K01709
09100	09101	00520	K12452
09100	09101	00520	K00523
09100	09101	00520	K12453
09100	09101	00520	K12454
09100	09101	00520	K12455
09100	09101	00520	K19632
09100	09101	00520	K15857
09100	09101	00520	K15858
09100	09101	00520	K00975
09100	09101	00620	K01895
09100	09101	00620	K01913
09100	09101	00620	K00169
09100	09101	00620	K00170
09100	09101	00620	K00172
09100	09101	00620	K00189
09100	09101	00620	K00171
09100	09101	00620	K03737
09100	09101	00620	K00174
09100	09101	00620	K00175
09100	09101	00620	K00163
09100	09101	00620	K00161
09100	09101	00620	K00162
09100	09101	00620	K00627
09100	09101	00620	K00382
09100	09101	00620	K13997
09100	09101	00620	K00656
09100	09101	00620	K00132
09100	09101	00620	K04072
09100	09101	00620	K04073
09100	09101	00620	K18366
09100	09101	00620	K04021
09100	09101	00620	K13951
09100	09101	00620	K13980
09100	09101	00620	K13952
09100	09101	00620	K13953
09100	09101	00620	K13954
09100	09101	00620	K00001
09100	09101	00620	K00121
09100	09101	00620	K18857
09100	09101	00620	K00002
09100	09101	00620	K12957
09100	09101	00620	K13979
09100	09101	00620	K14028
09100	09101	00620	K14029
09100	09101	00620	K00114
09100	09101	00620	K04022
09100	09101	00620	K22473
09100	09101	00620	K22474
09100	09101	00620	K00925
09100	09101	00620	K00625
09100	09101	00620	K13788
09100	09101	00620	K15024
09100	09101	00620	K04020
09100	09101	00620	K00873
09100	09101	00620	K12406
09100	09101	00620	K11262
09100	09101	00620	K01946
09100	09101	00620	K01962
09100	09101	00620	K02160
09100	09101	00620	K01961
09100	09101	00620	K01963
09100	09101	00620	K11263
09100	09101	00620	K18472
09100	09101	00620	K01512
09100	09101	00620	K00128
09100	09101	00620	K14085
09100	09101	00620	K00149
09100	09101	00620	K00138
09100	09101	00620	K01067
09100	09101	00620	K18118
09100	09101	00620	K01026
09100	09101	00620	K01905
09100	09101	00620	K22224
09100	09101	00620	K24012
09100	09101	00620	K00158
09100	09101	00620	K00101
09100	09101	00620	K00016
09100	09101	00620	K00156
09100	09101	00620	K00467
09100	09101	00620	K03778
09100	09101	00620	K03777
09100	09101	00620	K21836
09100	09101	00620	K00102
09100	09101	00620	K18930
09100	09101	00620	K21618
09100	09101	00620	K17741
09100	09101	00620	K23257
09100	09101	00620	K07248
09100	09101	00620	K19266
09100	09101	00620	K01759
09100	09101	00620	K01069
09100	09101	00620	K05523
09100	09101	00620	K18881
09100	09101	00620	K22211
09100	09101	00620	K22373
09100	09101	00620	K00049
09100	09101	00620	K12972
09100	09101	00620	K00090
09100	09101	00620	K00027
09100	09101	00620	K00028
09100	09101	00620	K00029
09100	09101	00620	K01571
09100	09101	00620	K20509
09100	09101	00620	K01573
09100	09101	00620	K01003
09100	09101	00620	K01958
09100	09101	00620	K01959
09100	09101	00620	K01960
09100	09101	00620	K00025
09100	09101	00620	K00026
09100	09101	00620	K00024
09100	09101	00620	K00051
09100	09101	00620	K00116
09100	09101	00620	K01676
09100	09101	00620	K01677
09100	09101	00620	K01678
09100	09101	00620	K01679
09100	09101	00620	K01675
09100	09101	00620	K01774
09100	09101	00620	K00244
09100	09101	00620	K00245
09100	09101	00620	K00246
09100	09101	00620	K00247
09100	09101	00620	K22212
09100	09101	00620	K01595
09100	09101	00620	K01596
09100	09101	00620	K20370
09100	09101	00620	K01610
09100	09101	00620	K01006
09100	09101	00620	K01007
09100	09101	00620	K01638
09100	09101	00620	K00626
09100	09101	00620	K01649
09100	09101	00620	K01655
09100	09101	00620	K02594
09100	09101	00620	K10977
09100	09101	00630	K01637
09100	09101	00630	K01895
09100	09101	00630	K01913
09100	09101	00630	K01638
09100	09101	00630	K00025
09100	09101	00630	K00026
09100	09101	00630	K00024
09100	09101	00630	K01647
09100	09101	00630	K01681
09100	09101	00630	K01682
09100	09101	00630	K08692
09100	09101	00630	K14067
09100	09101	00630	K00626
09100	09101	00630	K00023
09100	09101	00630	K17865
09100	09101	00630	K14446
09100	09101	00630	K05606
09100	09101	00630	K14447
09100	09101	00630	K14448
09100	09101	00630	K14449
09100	09101	00630	K08691
09100	09101	00630	K14451
09100	09101	00630	K01965
09100	09101	00630	K01966
09100	09101	00630	K11263
09100	09101	00630	K18472
09100	09101	00630	K19312
09100	09101	00630	K22568
09100	09101	00630	K01964
09100	09101	00630	K15036
09100	09101	00630	K15037
09100	09101	00630	K01847
09100	09101	00630	K01849
09100	09101	00630	K01848
09100	09101	00630	K19268
09100	09101	00630	K01846
09100	09101	00630	K04835
09100	09101	00630	K19280
09100	09101	00630	K19281
09100	09101	00630	K19282
09100	09101	00630	K11517
09100	09101	00630	K00104
09100	09101	00630	K11472
09100	09101	00630	K11473
09100	09101	00630	K03781
09100	09101	00630	K00015
09100	09101	00630	K00049
09100	09101	00630	K15919
09100	09101	00630	K18121
09100	09101	00630	K12972
09100	09101	00630	K00090
09100	09101	00630	K00018
09100	09101	00630	K15893
09100	09101	00630	K22982
09100	09101	00630	K19269
09100	09101	00630	K01091
09100	09101	00630	K22223
09100	09101	00630	K01601
09100	09101	00630	K01602
09100	09101	00630	K00830
09100	09101	00630	K14272
09100	09101	00630	K00284
09100	09101	00630	K01915
09100	09101	00630	K00600
09100	09101	00630	K00281
09100	09101	00630	K00282
09100	09101	00630	K00283
09100	09101	00630	K00605
09100	09101	00630	K00382
09100	09101	00630	K02437
09100	09101	00630	K01608
09100	09101	00630	K01816
09100	09101	00630	K00042
09100	09101	00630	K00865
09100	09101	00630	K11529
09100	09101	00630	K15918
09100	09101	00630	K07248
09100	09101	00630	K00048
09100	09101	00630	K03779
09100	09101	00630	K03780
09100	09101	00630	K07246
09100	09101	00630	K01625
09100	09101	00630	K18123
09100	09101	00630	K01616
09100	09101	00630	K01569
09100	09101	00630	K00122
09100	09101	00630	K00126
09100	09101	00630	K00123
09100	09101	00630	K22515
09100	09101	00630	K00124
09100	09101	00630	K00127
09100	09101	00630	K01432
09100	09101	00630	K14263
09100	09101	00630	K07130
