KOID	S07	S29	S34	S05	S08	S32
K00459	62.0	63.0	36.0	89.0	44.0	59.0
K00514	0.0	0.0	0.0	0.0	1.0	0.0
K00525	123.0	142.0	96.0	164.0	108.0	108.0
K00526	11.0	10.0	7.0	13.0	13.0	11.0
K00528	177.0	147.0	134.0	281.0	132.0	108.0
K00529	6.0	1.0	3.0	10.0	3.0	4.0
K00532	212.0	190.0	169.0	359.0	174.0	140.0
K00537	98.0	76.0	74.0	125.0	64.0	53.0
K00547	13.0	20.0	7.0	10.0	9.0	9.0
K00548	351.0	306.0	344.0	527.0	232.0	201.0
K00549	5.0	11.0	5.0	6.0	5.0	14.0
K00551	0.0	1.0	0.0	0.0	0.0	0.0
K00554	284.0	230.0	201.0	422.0	179.0	159.0
K00555	1.0	4.0	1.0	0.0	3.0	1.0
K00556	15.0	20.0	15.0	23.0	10.0	12.0
K00557	0.0	2.0	1.0	0.0	0.0	1.0
K00558	416.0	358.0	326.0	693.0	271.0	242.0
K00560	189.0	163.0	111.0	264.0	138.0	110.0
K00561	2.0	3.0	2.0	10.0	2.0	1.0
K00563	44.0	35.0	39.0	81.0	35.0	19.0
K00564	21.0	12.0	6.0	28.0	11.0	6.0
K00565	1.0	1.0	1.0	0.0	1.0	1.0
K00566	357.0	305.0	266.0	520.0	229.0	210.0
K00567	215.0	193.0	147.0	295.0	130.0	119.0
K00568	3.0	5.0	0.0	9.0	3.0	2.0
K00571	170.0	193.0	156.0	291.0	122.0	117.0
K00573	1.0	3.0	3.0	1.0	1.0	2.0
K00574	15.0	18.0	20.0	35.0	12.0	20.0
K00575	42.0	53.0	106.0	165.0	18.0	48.0
K00586	1.0	1.0	2.0	0.0	2.0	0.0
K00587	3.0	0.0	0.0	1.0	1.0	0.0
K00588	13.0	12.0	9.0	11.0	9.0	4.0
K00591	1.0	1.0	0.0	0.0	0.0	0.0
K00595	43.0	49.0	46.0	62.0	27.0	30.0
K00597	1.0	0.0	0.0	0.0	0.0	0.0
K00598	8.0	4.0	15.0	27.0	5.0	4.0
K00599	0.0	0.0	0.0	0.0	1.0	0.0
K00600	350.0	304.0	249.0	478.0	218.0	184.0
K00601	1.0	2.0	1.0	5.0	2.0	4.0
K00602	347.0	315.0	299.0	594.0	247.0	198.0
K00604	307.0	262.0	237.0	459.0	184.0	161.0
K00605	124.0	121.0	94.0	150.0	86.0	77.0
K00606	137.0	134.0	94.0	161.0	100.0	92.0
K00609	258.0	231.0	235.0	411.0	172.0	174.0
K00610	100.0	97.0	87.0	128.0	69.0	46.0
K00611	257.0	223.0	238.0	408.0	151.0	159.0
K00612	19.0	16.0	20.0	48.0	15.0	9.0
K00613	1.0	0.0	0.0	1.0	0.0	1.0
K00615	891.0	785.0	789.0	1331.0	573.0	481.0
K00616	71.0	64.0	53.0	113.0	51.0	58.0
K00619	2.0	1.0	2.0	1.0	2.0	1.0
K00620	183.0	133.0	148.0	260.0	112.0	96.0
K00621	1.0	2.0	0.0	0.0	1.0	0.0
K00625	200.0	165.0	140.0	293.0	119.0	98.0
K00626	160.0	146.0	173.0	257.0	109.0	83.0
K00627	32.0	32.0	30.0	46.0	13.0	17.0
K00632	6.0	9.0	14.0	6.0	8.0	2.0
K00633	149.0	134.0	118.0	200.0	83.0	77.0
K00634	64.0	75.0	52.0	89.0	53.0	44.0
K00638	11.0	5.0	0.0	5.0	3.0	4.0
K00639	148.0	161.0	112.0	217.0	116.0	108.0
K00640	252.0	184.0	167.0	338.0	155.0	128.0
K00641	29.0	35.0	24.0	35.0	32.0	23.0
K00645	222.0	208.0	182.0	326.0	156.0	147.0
K00646	0.0	0.0	0.0	1.0	0.0	0.0
K00647	0.0	2.0	2.0	2.0	3.0	5.0
K00648	266.0	271.0	211.0	389.0	185.0	187.0
K00650	2.0	1.0	1.0	0.0	0.0	2.0
K00651	189.0	154.0	169.0	311.0	115.0	118.0
K00652	79.0	85.0	44.0	85.0	57.0	53.0
K00654	7.0	4.0	5.0	5.0	7.0	4.0
K00655	207.0	166.0	110.0	231.0	118.0	102.0
K00656	296.0	151.0	122.0	349.0	141.0	104.0
K00657	18.0	14.0	19.0	27.0	10.0	6.0
K00658	19.0	11.0	18.0	15.0	11.0	16.0
K00661	345.0	301.0	218.0	411.0	233.0	184.0
K00662	10.0	10.0	14.0	36.0	9.0	5.0
K00663	0.0	0.0	0.0	1.0	0.0	0.0
K00665	4.0	3.0	2.0	1.0	1.0	3.0
K00666	49.0	62.0	51.0	93.0	46.0	32.0
K00667	0.0	1.0	0.0	1.0	0.0	0.0
K00668	0.0	4.0	1.0	0.0	4.0	2.0
K00670	2.0	1.0	0.0	0.0	1.0	0.0
K00671	3.0	3.0	1.0	0.0	3.0	1.0
K00674	38.0	40.0	43.0	57.0	25.0	28.0
K00675	8.0	5.0	9.0	13.0	4.0	4.0
K00677	147.0	151.0	85.0	162.0	109.0	94.0
K00681	89.0	92.0	104.0	123.0	54.0	60.0
K00682	2.0	4.0	5.0	15.0	1.0	0.0
