KOID	S07	S29	S34	S05	S08	S32
K02431	25.0	19.0	25.0	39.0	18.0	12.0
K02433	280.0	163.0	135.0	333.0	163.0	124.0
K02434	279.0	148.0	136.0	355.0	167.0	117.0
K02435	66.0	37.0	30.0	65.0	26.0	25.0
K02436	6.0	5.0	6.0	5.0	4.0	3.0
K02437	86.0	89.0	60.0	103.0	62.0	55.0
K02438	5.0	6.0	1.0	4.0	2.0	2.0
K02440	22.0	21.0	15.0	38.0	19.0	11.0
K02443	29.0	32.0	21.0	44.0	22.0	15.0
K02444	18.0	11.0	20.0	13.0	11.0	9.0
K02445	43.0	51.0	32.0	55.0	39.0	28.0
K02446	4.0	3.0	3.0	4.0	2.0	3.0
K02453	10.0	8.0	7.0	7.0	5.0	5.0
K02454	133.0	93.0	131.0	208.0	60.0	60.0
K02455	18.0	12.0	14.0	20.0	5.0	5.0
K02464	1.0	0.0	0.0	0.0	0.0	0.0
K02467	0.0	0.0	1.0	0.0	0.0	0.0
K02468	16.0	22.0	6.0	19.0	8.0	10.0
K02469	956.0	745.0	721.0	1503.0	646.0	513.0
K02470	925.0	760.0	707.0	1407.0	627.0	525.0
K02471	0.0	3.0	2.0	0.0	0.0	2.0
K02472	30.0	52.0	70.0	92.0	36.0	46.0
K02477	189.0	178.0	131.0	227.0	122.0	125.0
K02478	131.0	116.0	92.0	124.0	82.0	96.0
K02479	103.0	53.0	45.0	73.0	38.0	30.0
K02480	22.0	11.0	10.0	14.0	10.0	3.0
K02481	40.0	42.0	41.0	58.0	27.0	32.0
K02482	38.0	29.0	23.0	32.0	17.0	12.0
K02483	953.0	816.0	765.0	1500.0	606.0	532.0
K02484	31.0	27.0	26.0	38.0	17.0	17.0
K02485	10.0	8.0	20.0	10.0	4.0	9.0
K02486	33.0	26.0	39.0	63.0	23.0	13.0
K02488	67.0	58.0	54.0	104.0	32.0	34.0
K02489	1.0	2.0	1.0	1.0	1.0	0.0
K02490	3.0	3.0	2.0	0.0	2.0	2.0
K02491	23.0	20.0	9.0	24.0	13.0	11.0
K02492	52.0	28.0	33.0	65.0	26.0	32.0
K02493	262.0	206.0	185.0	373.0	151.0	137.0
K02495	248.0	206.0	217.0	418.0	145.0	152.0
K02499	73.0	71.0	61.0	124.0	65.0	49.0
K02500	188.0	133.0	149.0	272.0	116.0	107.0
K02501	154.0	115.0	123.0	236.0	104.0	89.0
K02502	73.0	62.0	54.0	122.0	53.0	46.0
K02503	211.0	193.0	158.0	317.0	134.0	121.0
K02504	1.0	2.0	3.0	1.0	0.0	0.0
K02505	5.0	6.0	7.0	1.0	1.0	5.0
K02507	0.0	1.0	0.0	1.0	1.0	0.0
K02508	7.0	5.0	9.0	14.0	7.0	8.0
K02509	2.0	5.0	1.0	1.0	1.0	1.0
K02510	16.0	15.0	9.0	16.0	8.0	5.0
K02515	0.0	0.0	0.0	0.0	1.0	0.0
K02516	1.0	2.0	2.0	0.0	5.0	1.0
K02517	18.0	18.0	15.0	18.0	8.0	12.0
K02518	217.0	168.0	124.0	285.0	131.0	112.0
K02519	487.0	376.0	374.0	705.0	318.0	289.0
K02520	228.0	199.0	161.0	303.0	158.0	114.0
K02521	9.0	10.0	5.0	5.0	6.0	3.0
K02523	105.0	119.0	68.0	118.0	77.0	70.0
K02525	16.0	16.0	19.0	26.0	3.0	11.0
K02526	16.0	11.0	8.0	20.0	10.0	7.0
K02527	85.0	74.0	51.0	82.0	54.0	44.0
K02528	280.0	247.0	222.0	411.0	175.0	161.0
K02529	581.0	525.0	424.0	745.0	337.0	301.0
K02530	11.0	9.0	11.0	20.0	7.0	6.0
K02531	0.0	0.0	1.0	0.0	0.0	0.0
K02532	1.0	1.0	2.0	1.0	1.0	1.0
K02533	13.0	5.0	3.0	5.0	8.0	3.0
K02535	91.0	94.0	61.0	89.0	57.0	54.0
K02536	118.0	106.0	70.0	135.0	83.0	70.0
K02537	0.0	1.0	1.0	0.0	1.0	0.0
K02538	6.0	6.0	5.0	13.0	4.0	6.0
K02540	2.0	5.0	2.0	1.0	2.0	1.0
K02541	3.0	4.0	3.0	1.0	5.0	3.0
K02542	4.0	2.0	3.0	0.0	2.0	3.0
K02545	8.0	2.0	1.0	5.0	2.0	2.0
K02546	7.0	4.0	2.0	4.0	1.0	2.0
K02547	40.0	23.0	25.0	53.0	23.0	18.0
K02548	52.0	61.0	36.0	69.0	45.0	33.0
K02549	2.0	2.0	2.0	1.0	2.0	2.0
K02550	0.0	0.0	0.0	1.0	0.0	0.0
K02551	61.0	69.0	41.0	78.0	45.0	45.0
K02552	10.0	14.0	5.0	16.0	9.0	7.0
K02553	1.0	2.0	1.0	3.0	1.0	4.0
K02554	3.0	2.0	3.0	3.0	3.0	1.0
K02556	52.0	41.0	84.0	136.0	15.0	34.0
K02557	60.0	55.0	58.0	103.0	31.0	39.0
K02558	7.0	1.0	5.0	4.0	3.0	3.0
K02563	332.0	263.0	231.0	454.0	215.0	152.0
K02564	229.0	235.0	204.0	317.0	186.0	152.0
K02565	16.0	24.0	17.0	23.0	8.0	13.0
K02566	35.0	37.0	48.0	57.0	24.0	20.0
K02567	4.0	11.0	4.0	8.0	6.0	3.0
K02568	0.0	1.0	1.0	0.0	0.0	1.0
K02569	0.0	1.0	1.0	0.0	0.0	1.0
K02572	32.0	30.0	24.0	28.0	24.0	17.0
K02573	11.0	12.0	6.0	14.0	9.0	7.0
K02574	21.0	25.0	22.0	36.0	8.0	11.0
K02575	2.0	1.0	0.0	3.0	0.0	0.0
K02584	79.0	73.0	66.0	110.0	53.0	55.0
K02585	3.0	0.0	3.0	3.0	0.0	0.0
K02586	1.0	0.0	0.0	1.0	0.0	0.0
K02587	1.0	0.0	5.0	3.0	0.0	1.0
K02588	16.0	15.0	20.0	30.0	16.0	9.0
K02594	2.0	0.0	0.0	0.0	0.0	1.0
K02598	40.0	26.0	18.0	46.0	19.0	17.0
K02599	6.0	2.0	0.0	0.0	3.0	1.0
K02600	345.0	265.0	245.0	468.0	213.0	186.0
K02601	251.0	196.0	161.0	340.0	149.0	139.0
K02603	1.0	1.0	0.0	0.0	0.0	0.0
K02613	0.0	0.0	1.0	1.0	0.0	0.0
K02614	2.0	4.0	7.0	6.0	2.0	3.0
K02617	1.0	1.0	0.0	2.0	1.0	1.0
K02619	5.0	3.0	0.0	2.0	2.0	0.0
K02621	58.0	44.0	34.0	66.0	41.0	35.0
K02622	70.0	53.0	35.0	86.0	54.0	40.0
K02624	8.0	9.0	7.0	7.0	5.0	2.0
K02626	15.0	8.0	5.0	10.0	8.0	4.0
K02647	37.0	34.0	17.0	54.0	26.0	10.0
K02650	4.0	3.0	0.0	1.0	2.0	0.0
K02652	56.0	31.0	34.0	70.0	14.0	19.0
K02653	72.0	54.0	55.0	91.0	37.0	29.0
K02654	76.0	52.0	65.0	98.0	34.0	28.0
K02657	1.0	1.0	0.0	0.0	0.0	1.0
K02658	0.0	0.0	1.0	3.0	2.0	1.0
K02666	8.0	4.0	1.0	4.0	4.0	4.0
K02667	4.0	6.0	3.0	7.0	5.0	3.0
K02668	0.0	0.0	0.0	2.0	0.0	0.0
K02669	220.0	154.0	175.0	279.0	109.0	98.0
K02670	1.0	0.0	0.0	1.0	0.0	0.0
K02677	2.0	0.0	0.0	0.0	1.0	0.0
K02684	1.0	2.0	1.0	0.0	2.0	0.0
K02685	2.0	0.0	0.0	0.0	0.0	0.0
K02687	213.0	177.0	152.0	277.0	129.0	116.0
K02688	12.0	7.0	3.0	21.0	15.0	12.0
K02725	2.0	1.0	1.0	0.0	0.0	0.0
K02726	2.0	2.0	0.0	0.0	3.0	0.0
K02727	3.0	1.0	2.0	0.0	2.0	1.0
K02728	2.0	2.0	3.0	0.0	5.0	2.0
K02729	1.0	0.0	1.0	0.0	0.0	0.0
K02730	1.0	2.0	2.0	0.0	1.0	2.0
K02731	6.0	3.0	2.0	1.0	4.0	1.0
K02732	2.0	2.0	2.0	0.0	3.0	1.0
K02734	3.0	2.0	0.0	0.0	2.0	0.0
K02735	3.0	2.0	2.0	0.0	2.0	0.0
K02736	1.0	0.0	1.0	0.0	0.0	0.0
K02737	3.0	3.0	2.0	0.0	3.0	0.0
K02738	1.0	1.0	0.0	0.0	1.0	1.0
K02739	1.0	1.0	2.0	0.0	2.0	0.0
K02744	10.0	13.0	13.0	10.0	6.0	13.0
K02745	1.0	2.0	1.0	1.0	2.0	2.0
K02746	3.0	7.0	2.0	3.0	4.0	3.0
K02747	0.0	6.0	1.0	2.0	1.0	4.0
K02750	25.0	16.0	15.0	23.0	20.0	17.0
K02753	4.0	5.0	6.0	5.0	6.0	1.0
K02755	0.0	1.0	2.0	2.0	2.0	0.0
K02757	129.0	144.0	123.0	238.0	128.0	102.0
K02759	12.0	17.0	15.0	28.0	12.0	16.0
K02760	18.0	23.0	16.0	29.0	15.0	16.0
K02761	61.0	62.0	74.0	110.0	61.0	71.0
K02765	0.0	1.0	1.0	0.0	0.0	0.0
K02768	2.0	5.0	5.0	4.0	3.0	3.0
K02769	0.0	0.0	0.0	0.0	0.0	1.0
K02770	92.0	72.0	54.0	143.0	70.0	60.0
K02771	1.0	0.0	0.0	0.0	0.0	2.0
K02773	5.0	4.0	4.0	2.0	0.0	3.0
K02774	1.0	3.0	4.0	2.0	1.0	2.0
K02775	32.0	37.0	30.0	40.0	24.0	25.0
K02777	18.0	18.0	11.0	14.0	14.0	16.0
K02779	6.0	4.0	5.0	6.0	5.0	3.0
K02781	0.0	1.0	2.0	0.0	0.0	2.0
K02782	4.0	8.0	20.0	14.0	2.0	8.0
K02783	0.0	8.0	17.0	8.0	2.0	7.0
K02784	104.0	80.0	88.0	184.0	68.0	62.0
K02786	3.0	1.0	2.0	10.0	2.0	3.0
K02788	3.0	0.0	2.0	4.0	3.0	2.0
K02791	53.0	40.0	29.0	63.0	37.0	37.0
K02793	16.0	7.0	3.0	11.0	9.0	7.0
K02794	27.0	29.0	32.0	45.0	21.0	39.0
K02795	19.0	13.0	19.0	25.0	13.0	23.0
K02796	38.0	36.0	29.0	42.0	28.0	38.0
K02798	11.0	14.0	15.0	23.0	8.0	8.0
K02800	41.0	40.0	72.0	75.0	28.0	38.0
K02804	38.0	34.0	28.0	45.0	30.0	25.0
K02805	77.0	70.0	54.0	131.0	52.0	34.0
K02806	14.0	7.0	0.0	5.0	6.0	3.0
K02810	51.0	47.0	47.0	54.0	44.0	41.0
K02819	42.0	30.0	16.0	28.0	35.0	20.0
K02821	10.0	11.0	4.0	11.0	7.0	4.0
K02822	3.0	4.0	4.0	4.0	1.0	5.0
K02823	217.0	195.0	176.0	329.0	139.0	139.0
K02824	161.0	110.0	105.0	200.0	99.0	73.0
K02825	31.0	19.0	16.0	41.0	20.0	17.0
K02831	0.0	1.0	1.0	0.0	0.0	0.0
K02834	139.0	113.0	96.0	185.0	74.0	58.0
K02835	332.0	281.0	239.0	518.0	222.0	170.0
K02836	363.0	289.0	230.0	498.0	233.0	192.0
K02837	294.0	272.0	270.0	478.0	228.0	198.0
K02838	261.0	214.0	194.0	340.0	151.0	130.0
K02839	8.0	2.0	6.0	8.0	6.0	4.0
K02840	17.0	11.0	13.0	22.0	12.0	13.0
K02841	7.0	3.0	2.0	4.0	4.0	3.0
K02843	17.0	14.0	9.0	9.0	7.0	6.0
K02844	4.0	3.0	1.0	2.0	2.0	0.0
K02846	0.0	1.0	1.0	0.0	0.0	2.0
K02849	1.0	1.0	2.0	0.0	0.0	1.0
K02851	164.0	129.0	123.0	216.0	90.0	67.0
K02852	28.0	16.0	24.0	33.0	13.0	12.0
K02854	18.0	15.0	5.0	11.0	8.0	4.0
K02855	16.0	11.0	4.0	19.0	8.0	6.0
K02856	27.0	35.0	27.0	33.0	24.0	20.0
K02857	0.0	0.0	0.0	1.0	0.0	0.0
K02858	0.0	0.0	0.0	0.0	1.0	0.0
K02859	1.0	0.0	1.0	1.0	1.0	1.0
K02860	113.0	81.0	72.0	166.0	66.0	54.0
K02863	275.0	241.0	201.0	393.0	188.0	163.0
K02864	166.0	120.0	106.0	228.0	89.0	78.0
K02865	2.0	2.0	2.0	0.0	4.0	1.0
K02866	3.0	9.0	2.0	2.0	5.0	1.0
K02867	226.0	202.0	175.0	346.0	144.0	137.0
K02868	1.0	1.0	0.0	2.0	2.0	1.0
K02870	4.0	8.0	4.0	1.0	8.0	3.0
K02871	226.0	191.0	176.0	329.0	147.0	120.0
K02872	2.0	5.0	3.0	1.0	6.0	2.0
K02873	1.0	0.0	1.0	0.0	0.0	0.0
K02874	228.0	190.0	147.0	308.0	146.0	130.0
K02875	0.0	0.0	0.0	1.0	1.0	0.0
K02876	241.0	202.0	146.0	336.0	156.0	130.0
K02877	1.0	2.0	3.0	0.0	4.0	1.0
K02878	237.0	194.0	162.0	327.0	154.0	120.0
K02879	241.0	187.0	154.0	308.0	141.0	127.0
K02881	227.0	189.0	153.0	306.0	141.0	117.0
K02882	1.0	0.0	1.0	0.0	0.0	0.0
K02883	3.0	3.0	2.0	1.0	3.0	1.0
K02884	216.0	178.0	145.0	276.0	129.0	114.0
K02885	3.0	1.0	2.0	0.0	1.0	0.0
K02886	307.0	264.0	232.0	445.0	207.0	165.0
K02887	214.0	174.0	149.0	295.0	124.0	103.0
K02888	197.0	156.0	132.0	253.0	113.0	104.0
K02889	3.0	2.0	1.0	0.0	5.0	1.0
K02890	190.0	153.0	131.0	265.0	126.0	104.0
K02891	0.0	1.0	0.0	0.0	2.0	0.0
K02892	191.0	162.0	131.0	267.0	125.0	98.0
K02893	1.0	2.0	1.0	0.0	2.0	1.0
K02894	2.0	6.0	3.0	1.0	6.0	2.0
K02895	201.0	174.0	132.0	286.0	138.0	104.0
K02896	2.0	4.0	2.0	0.0	3.0	1.0
K02897	40.0	32.0	24.0	36.0	20.0	18.0
K02898	1.0	1.0	0.0	0.0	1.0	0.0
K02899	200.0	170.0	132.0	264.0	118.0	100.0
K02900	2.0	3.0	3.0	0.0	4.0	2.0
K02901	3.0	2.0	3.0	0.0	4.0	2.0
K02902	139.0	119.0	93.0	177.0	84.0	65.0
K02903	0.0	3.0	2.0	0.0	2.0	0.0
K02904	97.0	72.0	63.0	155.0	65.0	52.0
K02906	275.0	223.0	182.0	375.0	170.0	139.0
K02907	70.0	52.0	39.0	91.0	50.0	30.0
K02908	2.0	0.0	0.0	0.0	0.0	0.0
K02909	176.0	156.0	112.0	221.0	108.0	78.0
K02910	2.0	3.0	2.0	0.0	4.0	1.0
K02911	120.0	96.0	64.0	145.0	66.0	52.0
K02912	1.0	3.0	2.0	0.0	3.0	1.0
K02913	102.0	79.0	69.0	146.0	63.0	56.0
K02914	75.0	76.0	56.0	116.0	47.0	34.0
K02915	2.0	0.0	0.0	0.0	0.0	0.0
K02916	128.0	119.0	91.0	173.0	80.0	66.0
K02917	1.0	1.0	0.0	0.0	0.0	1.0
K02918	1.0	0.0	0.0	0.0	0.0	0.0
K02919	63.0	45.0	41.0	87.0	35.0	23.0
K02920	0.0	0.0	0.0	0.0	0.0	1.0
K02921	1.0	4.0	2.0	1.0	3.0	1.0
K02922	1.0	1.0	0.0	0.0	0.0	0.0
K02925	4.0	3.0	4.0	1.0	3.0	1.0
K02926	251.0	210.0	197.0	362.0	169.0	136.0
K02927	3.0	2.0	2.0	0.0	3.0	1.0
K02929	2.0	1.0	0.0	0.0	0.0	1.0
K02930	3.0	3.0	4.0	1.0	3.0	2.0
K02931	258.0	211.0	179.0	398.0	173.0	139.0
K02932	1.0	4.0	2.0	2.0	3.0	1.0
K02933	248.0	205.0	179.0	360.0	159.0	139.0
K02934	0.0	1.0	0.0	0.0	1.0	0.0
K02935	206.0	168.0	132.0	280.0	123.0	113.0
K02936	4.0	7.0	2.0	1.0	3.0	2.0
K02937	2.0	5.0	2.0	1.0	5.0	4.0
K02938	4.0	5.0	4.0	0.0	3.0	3.0
K02939	220.0	188.0	156.0	295.0	142.0	117.0
K02940	5.0	5.0	4.0	0.0	5.0	3.0
K02941	5.0	3.0	1.0	0.0	2.0	1.0
K02942	1.0	4.0	2.0	0.0	5.0	1.0
K02943	1.0	2.0	0.0	0.0	3.0	0.0
K02945	375.0	324.0	269.0	502.0	246.0	226.0
K02946	226.0	171.0	152.0	313.0	139.0	106.0
K02947	1.0	4.0	0.0	0.0	3.0	1.0
K02948	222.0	185.0	155.0	313.0	151.0	119.0
K02949	0.0	1.0	3.0	0.0	1.0	2.0
K02950	216.0	193.0	156.0	313.0	139.0	129.0
K02951	0.0	1.0	1.0	0.0	1.0	0.0
K02952	220.0	187.0	161.0	319.0	145.0	113.0
K02953	5.0	5.0	5.0	0.0	6.0	4.0
K02954	162.0	155.0	115.0	258.0	106.0	92.0
K02955	1.0	2.0	2.0	0.0	2.0	2.0
K02956	207.0	168.0	145.0	261.0	118.0	102.0
K02957	2.0	4.0	2.0	0.0	4.0	1.0
K02958	0.0	4.0	2.0	0.0	6.0	1.0
K02959	190.0	165.0	138.0	259.0	111.0	99.0
K02960	3.0	4.0	1.0	0.0	5.0	0.0
K02961	209.0	166.0	127.0	282.0	146.0	112.0
K02962	2.0	1.0	0.0	0.0	1.0	0.0
K02963	191.0	162.0	134.0	244.0	121.0	98.0
K02964	1.0	1.0	0.0	0.0	1.0	0.0
K02965	198.0	168.0	141.0	279.0	134.0	112.0
K02966	1.0	2.0	2.0	0.0	2.0	0.0
K02967	277.0	239.0	219.0	386.0	176.0	162.0
K02968	114.0	93.0	86.0	155.0	76.0	59.0
K02969	1.0	0.0	0.0	0.0	0.0	0.0
K02970	109.0	75.0	73.0	163.0	63.0	48.0
K02971	1.0	0.0	0.0	0.0	0.0	0.0
K02973	2.0	1.0	1.0	0.0	1.0	0.0
K02974	0.0	0.0	1.0	0.0	1.0	1.0
K02975	1.0	0.0	1.0	0.0	0.0	0.0
K02976	2.0	0.0	0.0	0.0	0.0	0.0
K02977	1.0	1.0	3.0	0.0	3.0	1.0
K02979	1.0	1.0	0.0	0.0	1.0	1.0
K02981	4.0	4.0	2.0	1.0	3.0	1.0
K02982	259.0	239.0	185.0	417.0	190.0	153.0
K02983	1.0	0.0	0.0	0.0	0.0	0.0
K02984	1.0	5.0	3.0	1.0	3.0	2.0
K02985	1.0	2.0	4.0	0.0	4.0	3.0
K02986	261.0	207.0	169.0	360.0	166.0	143.0
K02987	3.0	8.0	4.0	1.0	9.0	1.0
K02988	253.0	187.0	170.0	346.0	148.0	135.0
K02989	3.0	2.0	2.0	0.0	4.0	1.0
K02990	182.0	141.0	114.0	242.0	112.0	90.0
K02991	4.0	4.0	4.0	0.0	4.0	3.0
K02992	251.0	216.0	169.0	357.0	155.0	144.0
K02993	1.0	4.0	1.0	1.0	2.0	2.0
K02994	240.0	196.0	162.0	343.0	150.0	113.0
K02995	2.0	5.0	5.0	0.0	4.0	4.0
K02996	236.0	183.0	166.0	311.0	143.0	117.0
K02997	2.0	1.0	0.0	0.0	4.0	0.0
K02998	3.0	2.0	3.0	0.0	2.0	1.0
K02999	5.0	14.0	5.0	0.0	7.0	4.0
K03000	1.0	0.0	0.0	0.0	0.0	0.0
K03002	3.0	7.0	5.0	0.0	5.0	5.0
K03006	6.0	13.0	8.0	2.0	8.0	7.0
K03007	1.0	0.0	1.0	0.0	0.0	0.0
K03008	1.0	0.0	0.0	0.0	0.0	0.0
K03010	7.0	7.0	7.0	1.0	4.0	3.0
K03011	1.0	2.0	2.0	0.0	1.0	1.0
K03013	1.0	0.0	1.0	0.0	0.0	0.0
K03014	1.0	1.0	1.0	0.0	2.0	0.0
K03016	1.0	0.0	0.0	0.0	0.0	0.0
K03017	0.0	2.0	1.0	0.0	1.0	1.0
K03018	6.0	14.0	8.0	1.0	8.0	7.0
K03019	1.0	0.0	0.0	0.0	0.0	0.0
K03020	0.0	0.0	1.0	0.0	0.0	0.0
K03021	2.0	12.0	10.0	3.0	9.0	7.0
K03027	1.0	2.0	1.0	0.0	0.0	0.0
K03028	3.0	3.0	1.0	0.0	2.0	0.0
K03030	1.0	4.0	0.0	0.0	4.0	1.0
K03032	0.0	4.0	0.0	0.0	2.0	1.0
K03033	0.0	1.0	0.0	0.0	1.0	0.0
K03035	1.0	0.0	0.0	0.0	0.0	0.0
K03036	0.0	3.0	1.0	0.0	2.0	0.0
K03037	0.0	2.0	1.0	0.0	1.0	1.0
K03038	3.0	2.0	2.0	0.0	2.0	1.0
K03039	0.0	1.0	0.0	0.0	0.0	0.0
K03040	332.0	285.0	248.0	478.0	224.0	184.0
K03042	1.0	1.0	0.0	1.0	0.0	0.0
K03043	809.0	641.0	637.0	1261.0	600.0	488.0
K03046	875.0	738.0	646.0	1372.0	594.0	508.0
K03048	2.0	1.0	1.0	2.0	1.0	1.0
K03060	14.0	6.0	4.0	6.0	9.0	6.0
K03061	1.0	4.0	1.0	2.0	5.0	1.0
K03062	2.0	3.0	3.0	3.0	4.0	1.0
K03063	2.0	5.0	0.0	1.0	3.0	4.0
K03064	8.0	5.0	5.0	2.0	3.0	1.0
K03065	2.0	3.0	2.0	0.0	2.0	0.0
K03066	1.0	3.0	1.0	1.0	5.0	2.0
K03070	645.0	523.0	517.0	987.0	426.0	359.0
K03071	15.0	8.0	6.0	5.0	6.0	3.0
K03072	131.0	112.0	80.0	205.0	87.0	82.0
K03073	1.0	0.0	0.0	1.0	1.0	0.0
K03074	101.0	74.0	64.0	128.0	61.0	57.0
K03075	25.0	19.0	15.0	23.0	11.0	12.0
K03076	390.0	313.0	287.0	607.0	273.0	215.0
K03077	154.0	137.0	146.0	266.0	97.0	88.0
K03078	1.0	4.0	0.0	0.0	0.0	2.0
K03079	16.0	22.0	23.0	36.0	12.0	14.0
K03083	10.0	7.0	2.0	1.0	5.0	3.0
K03086	537.0	397.0	328.0	685.0	312.0	234.0
K03087	12.0	8.0	4.0	16.0	1.0	3.0
K03088	519.0	493.0	366.0	718.0	310.0	269.0
K03089	30.0	12.0	12.0	22.0	16.0	10.0
K03090	11.0	8.0	8.0	12.0	8.0	7.0
K03091	720.0	537.0	563.0	1198.0	430.0	388.0
K03092	135.0	150.0	117.0	169.0	106.0	112.0
K03093	1.0	0.0	2.0	2.0	0.0	0.0
K03094	0.0	7.0	0.0	0.0	2.0	0.0
K03095	2.0	1.0	1.0	2.0	2.0	1.0
K03097	10.0	11.0	3.0	2.0	11.0	4.0
K03098	12.0	13.0	11.0	14.0	7.0	7.0
K03099	0.0	1.0	0.0	1.0	1.0	1.0
K03100	392.0	300.0	205.0	476.0	208.0	186.0
K03101	140.0	114.0	103.0	182.0	79.0	70.0
K03103	5.0	7.0	2.0	6.0	5.0	4.0
K03106	401.0	343.0	300.0	594.0	276.0	232.0
K03108	0.0	0.0	0.0	0.0	1.0	0.0
K03110	279.0	252.0	218.0	438.0	196.0	158.0
K03111	317.0	246.0	221.0	449.0	186.0	177.0
K03113	14.0	13.0	13.0	15.0	11.0	9.0
K03115	5.0	19.0	7.0	0.0	13.0	4.0
K03116	5.0	4.0	5.0	3.0	3.0	3.0
K03117	1.0	1.0	0.0	1.0	1.0	1.0
K03118	99.0	103.0	69.0	102.0	71.0	65.0
K03120	1.0	2.0	0.0	0.0	4.0	4.0
K03124	0.0	2.0	0.0	0.0	0.0	1.0
K03125	0.0	10.0	1.0	0.0	8.0	2.0
K03128	0.0	0.0	0.0	0.0	2.0	0.0
K03130	4.0	1.0	2.0	0.0	2.0	0.0
K03132	1.0	0.0	0.0	0.0	1.0	0.0
K03137	0.0	0.0	0.0	0.0	1.0	0.0
K03141	0.0	1.0	0.0	0.0	1.0	1.0
K03142	1.0	3.0	1.0	0.0	2.0	1.0
K03144	0.0	1.0	0.0	0.0	2.0	1.0
K03147	105.0	114.0	76.0	176.0	95.0	85.0
K03148	29.0	19.0	16.0	30.0	15.0	17.0
K03149	76.0	76.0	56.0	97.0	60.0	62.0
K03150	207.0	166.0	142.0	309.0	138.0	131.0
K03151	165.0	134.0	146.0	323.0	119.0	98.0
K03152	146.0	138.0	108.0	207.0	109.0	86.0
K03153	0.0	1.0	0.0	0.0	0.0	1.0
K03154	0.0	0.0	0.0	1.0	0.0	0.0
K03163	0.0	5.0	1.0	0.0	6.0	3.0
K03164	5.0	12.0	6.0	0.0	4.0	2.0
K03165	8.0	11.0	5.0	2.0	10.0	5.0
K03168	558.0	425.0	394.0	801.0	392.0	301.0
K03169	431.0	411.0	415.0	791.0	345.0	334.0
K03170	1.0	0.0	0.0	0.0	0.0	0.0
K03177	275.0	229.0	200.0	406.0	197.0	154.0
K03178	14.0	50.0	27.0	6.0	32.0	26.0
K03179	4.0	11.0	8.0	8.0	5.0	7.0
K03182	16.0	24.0	14.0	23.0	19.0	13.0
K03183	59.0	60.0	29.0	52.0	41.0	35.0
K03186	19.0	30.0	15.0	24.0	13.0	14.0
K03187	2.0	2.0	1.0	4.0	2.0	1.0
K03188	6.0	3.0	3.0	5.0	4.0	1.0
K03189	20.0	28.0	20.0	27.0	19.0	20.0
K03190	3.0	3.0	3.0	1.0	3.0	3.0
K03191	3.0	3.0	4.0	4.0	3.0	2.0
K03195	1.0	1.0	0.0	0.0	0.0	1.0
K03196	12.0	6.0	5.0	4.0	7.0	8.0
K03199	17.0	7.0	10.0	10.0	8.0	6.0
K03203	1.0	1.0	1.0	1.0	0.0	0.0
K03204	0.0	0.0	1.0	0.0	0.0	0.0
K03205	243.0	204.0	247.0	427.0	138.0	133.0
K03208	5.0	3.0	8.0	6.0	4.0	2.0
K03210	92.0	88.0	57.0	119.0	56.0	47.0
K03212	1.0	0.0	0.0	1.0	0.0	0.0
K03215	465.0	348.0	334.0	696.0	284.0	237.0
K03216	197.0	134.0	125.0	272.0	112.0	78.0
K03217	214.0	173.0	127.0	263.0	130.0	109.0
K03218	291.0	213.0	192.0	400.0	175.0	158.0
K03219	1.0	1.0	1.0	0.0	0.0	2.0
K03222	1.0	1.0	1.0	0.0	0.0	1.0
K03223	0.0	0.0	1.0	0.0	1.0	0.0
K03224	2.0	3.0	2.0	2.0	0.0	1.0
K03226	1.0	1.0	1.0	1.0	0.0	1.0
K03227	3.0	2.0	4.0	4.0	2.0	2.0
K03228	3.0	1.0	3.0	4.0	0.0	1.0
K03229	3.0	1.0	2.0	0.0	0.0	2.0
K03230	7.0	5.0	10.0	9.0	5.0	8.0
K03231	16.0	8.0	6.0	3.0	11.0	5.0
K03232	1.0	3.0	1.0	0.0	3.0	1.0
K03233	0.0	5.0	2.0	0.0	3.0	3.0
K03234	10.0	8.0	7.0	2.0	10.0	3.0
K03235	0.0	1.0	0.0	0.0	0.0	0.0
K03236	2.0	2.0	0.0	0.0	1.0	1.0
K03237	2.0	4.0	0.0	0.0	3.0	1.0
K03239	1.0	0.0	0.0	0.0	0.0	0.0
K03240	0.0	2.0	1.0	0.0	2.0	0.0
K03242	3.0	2.0	2.0	0.0	6.0	2.0
K03243	2.0	3.0	2.0	1.0	2.0	2.0
K03246	1.0	0.0	0.0	0.0	0.0	0.0
K03247	0.0	1.0	0.0	0.0	0.0	0.0
K03251	0.0	1.0	0.0	0.0	2.0	0.0
K03252	0.0	4.0	1.0	0.0	2.0	1.0
K03253	1.0	3.0	0.0	0.0	1.0	0.0
K03254	0.0	1.0	0.0	0.0	1.0	0.0
K03255	0.0	0.0	0.0	0.0	0.0	1.0
K03256	0.0	0.0	1.0	0.0	0.0	0.0
K03257	2.0	18.0	4.0	1.0	10.0	4.0
K03259	2.0	1.0	1.0	0.0	3.0	2.0
K03260	0.0	3.0	0.0	0.0	3.0	0.0
K03262	1.0	0.0	1.0	0.0	0.0	0.0
K03263	2.0	4.0	1.0	2.0	4.0	1.0
K03264	6.0	4.0	1.0	0.0	8.0	4.0
K03265	2.0	4.0	4.0	0.0	3.0	1.0
K03267	2.0	2.0	2.0	0.0	2.0	3.0
K03269	34.0	46.0	30.0	45.0	26.0	26.0
